Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
TheEmpress,842227845,5,0,5,128379,Padme JKA Ahsoka GK GMY G13
Corgibuttz,335132241,0,0,0,147154,Padme JKA Ahsoka GK GMY
3CPO ConfusingHumanRelations,642448877,0,0,0,145488,Padme JKA Ahsoka GK GMY
llandro,478895559,0,0,0,140463,Padme JKA Ahsoka GK GMY
Matryckol,154613492,8,0,8,122631,Padme JKA Ahsoka GK GMY G10
The Frozen One,429155696,0,0,0,148224,Padme JKA Ahsoka GK GMY
Pkunk,925263588,3,0,3,128553,Padme JKA Ahsoka GK GMY R2
Caminator,316517664,6,0,6,121675,Padme JKA Ahsoka GK GMY G12
zohaib24,513357243,13,0,13,120504,Padme R3 JKA Ahsoka G11 GK R3 GMY R3
MiniTwodamax,849554491,0,0,0,141586,Padme JKA Ahsoka GK GMY
Rebel78,883592965,6,0,6,134038,Padme JKA Ahsoka GK GMY G12
Torin Woodle,625239834,48,0,48,64154,Padme G1 JKA G11 5* Ahsoka G10 GK G9 GMY G11
prettyhatemachine,882761145,2,0,2,136208,Padme JKA Ahsoka GK GMY R3
Tiric Thorn,122955923,7,0,7,121811,Padme JKA Ahsoka GK GMY G11
Lilboivig,531314937,3,1,2,133103,Padme JKA Ahsoka GK GMY R3
GhostSurfer,749847446,7,0,7,127828,Padme JKA Ahsoka GK GMY G11
Corepike,492187112,41,0,41,75671,Padme G10 JKA G11 Ahsoka G10 GK G7 GMY G11
Whisk,383428245,7,0,7,121747,Padme JKA Ahsoka GK GMY G11
Death2MC,766619493,4,0,4,141052,Padme R2 JKA R4 Ahsoka GK GMY
Qex,654613761,0,0,0,140035,Padme JKA Ahsoka GK GMY
Hyper Revanur,474854236,7,0,7,122508,Padme JKA Ahsoka GK GMY G11
PrimarchHades,793647289,20,0,20,115086,Padme R1 JKA G12 Ahsoka R1 GK GMY G12
Hatton,755731115,22,0,22,109201,Padme G12 JKA Ahsoka G12 GK R3 GMY G10
OriginalSin,655548929,17,0,17,127688,Padme JKA G11 Ahsoka R1 GK GMY G12
Noob,947698333,0,0,0,156580,Padme JKA Ahsoka GK GMY
Revanur,278546959,6,0,6,131596,Padme JKA Ahsoka GK GMY G12
gungan warrior,368646154,36,0,36,85282,Padme G9 JKA Ahsoka G8 GK G7 GMY G12
Richmal,414213241,6,0,6,123545,Padme JKA Ahsoka GK GMY G12
Effinsyv,887724713,2,0,2,134344,Padme JKA Ahsoka GK GMY R3
Folos,398344769,1,0,1,136878,Padme JKA Ahsoka GK GMY R4
Rugess Nome,239575313,7,0,7,122649,Padme JKA Ahsoka GK GMY G11
Vermanu Obeebis,277971264,8,0,8,120966,Padme JKA Ahsoka GK GMY G10
xXDaChipXx,217292438,28,0,28,103484,Padme G9 JKA Ahsoka G11 GK G12 GMY G12
Shalien,717273842,0,0,0,150257,Padme JKA Ahsoka GK GMY
Shadow13,822421553,6,0,6,128817,Padme JKA Ahsoka GK GMY G12
DarthCarbonara,627877888,66,0,66,28829,Padme G0 0* JKA G8 6* Ahsoka G11 GK G1 5* GMY G4
Darr Mejhan,871838931,32,0,32,98623,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G10
AtomPlays,724255859,6,0,6,126800,Padme JKA Ahsoka GK GMY G12
Magnar argorn,694122251,0,0,0,147855,Padme JKA Ahsoka GK GMY
Løck,329813995,0,0,0,148564,Padme JKA Ahsoka GK GMY
Donkles,428444836,39,0,39,73469,Padme G8 JKA G12 Ahsoka G11 GK G12 GMY G8
Branflakes,235584242,2,0,2,138680,Padme JKA Ahsoka GK GMY R3
Vertigone,255751531,16,0,16,116026,Padme G12 JKA R3 Ahsoka R3 GK GMY G12
Dixie Normus,323696396,26,0,26,95296,Padme G11 JKA Ahsoka G11 GK G12 GMY G12
DarthMacaroni,647763694,0,0,0,159767,Padme JKA Ahsoka GK GMY
crimzon,488955995,2,0,2,139601,Padme JKA Ahsoka R3 GK GMY
Turbo Mooch,289645136,22,0,22,99686,Padme G12 JKA Ahsoka R1 GK G12 GMY G12
Damask Holdings,628389113,46,0,46,70469,Padme G7 JKA G8 6* Ahsoka G8 GK G9 GMY G12
Mecha,318634765,0,0,0,133913,Padme JKA Ahsoka GK GMY
Woggex,437342655,2,0,2,139566,Padme JKA Ahsoka GK GMY R3
