Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Revanur,278546959,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Revanur,278546959,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak
Revanur,278546959,6,0,6,JMLS: JMLS JKL JKR GMY G12 HYoda
Revanur,278546959,10,0,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Starck R3
gungan warrior,368646154,25,0,25,Troopers: Veers G10 Piett Dark Trooper Range Trooper G9 Starck G10
gungan warrior,368646154,22,0,22,EP: EP R1 Mara Jade, The Emperor's Hand G11 Vader Thrawn R1 Malak G11 5*
gungan warrior,368646154,33,0,33,CLS: CLS R3 C-3PO G9 Han G11 Chewbacca G12 Chewpio G9
Branflakes,235584242,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Whisk,383428245,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Whisk,383428245,7,0,7,JMLS: JMLS JKL JKR GMY G11 HYoda
Whisk,383428245,6,0,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon
Whisk,383428245,17,0,17,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak G10 6*
Donkles,428444836,31,0,31,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader Thrawn G7 RG G7
Donkles,428444836,7,0,7,CLS: CLS R3 C-3PO R3 Han Chewbacca Chewpio R2
crimzon,488955995,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
crimzon,488955995,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
crimzon,488955995,13,0,13,EP: EP Mara Jade, The Emperor's Hand G5 4* Vader Thrawn Malak
3CPO ConfusingHumanRelations,642448877,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
3CPO ConfusingHumanRelations,642448877,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
3CPO ConfusingHumanRelations,642448877,27,0,27,EP: EP Mara Jade, The Emperor's Hand G11 3* Vader Thrawn G11 RG G5
Noob,947698333,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Noob,947698333,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Noob,947698333,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Noob,947698333,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Noob,947698333,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Noob,947698333,17,0,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
prettyhatemachine,882761145,17,0,17,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn G9 Shoretrooper G12
prettyhatemachine,882761145,32,3,29,Troopers: Veers G12 Piett Dark Trooper G9 6* Range Trooper G10 6* Gideon G12
prettyhatemachine,882761145,17,0,17,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R4 Chewpio G12
MiniTwodamax,849554491,16,0,16,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn G12 Malak
MiniTwodamax,849554491,39,0,39,Padme/BB: Padme Hunter G9 Echo G9 6* Tech G7 Wrecker G8
MiniTwodamax,849554491,20,0,20,CLS: CLS R4 C-3PO G12 Han R2 Chewbacca R3 Chewpio G10
Løck,329813995,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Løck,329813995,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Løck,329813995,11,5,6,JMLS: JMLS G12 JKL JKR GMY HYoda
Løck,329813995,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Løck,329813995,7,0,7,Troopers: Veers R3 Piett Dark Trooper Range Trooper R2 Starck R3
Matryckol,154613492,28,0,28,CLS: CLS G12 C-3PO Han G11 Chewbacca G11 Chewpio G10
Woggex,437342655,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Woggex,437342655,2,0,2,JMLS: JMLS JKL JKR GMY R3 HYoda
Woggex,437342655,8,0,8,Troopers: Veers Piett Dark Trooper R3 Range Trooper G12 Starck
Mecha,318634765,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Mecha,318634765,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Mecha,318634765,13,0,13,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn R3 Malak R3
Mecha,318634765,24,0,24,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Starck G12
Caminator,316517664,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GhostSurfer,749847446,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GhostSurfer,749847446,28,0,28,EP: EP G13 Mara Jade, The Emperor's Hand G12 Vader Thrawn G11 Shoretrooper G8 6*
Folos,398344769,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
