Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
TheEmpress,842227845,0,0,0,137918,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Corgibuttz,335132241,0,0,0,136209,Shaak Ti Fives Rex Echo (501st) ARC Trooper
3CPO ConfusingHumanRelations,642448877,22,0,22,109374,Shaak Ti G12 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
llandro,478895559,0,0,0,149925,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Matryckol,154613492,30,0,30,101406,Shaak Ti G12 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G10
The Frozen One,429155696,4,0,4,128907,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R3
Pkunk,925263588,28,0,28,92574,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10
Caminator,316517664,6,0,6,132375,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
zohaib24,513357243,35,0,35,86028,Shaak Ti G9 Fives G12 Rex G11 Echo (501st) G11 ARC Trooper G12
MiniTwodamax,849554491,27,0,27,102444,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10
Rebel78,883592965,0,0,0,135460,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Torin Woodle,625239834,39,0,39,79672,Shaak Ti G9 Fives G11 Rex G12 Echo (501st) G10 ARC Trooper G9
prettyhatemachine,882761145,48,0,48,60979,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G8 6* ARC Trooper G1 4*
Tiric Thorn,122955923,4,0,4,129876,Shaak Ti R1 Fives Rex Echo (501st) ARC Trooper
Lilboivig,531314937,57,0,57,55630,Shaak Ti G1 5* Fives R2 Rex R2 Echo (501st) G1 ARC Trooper G1 4*
GhostSurfer,749847446,0,0,0,136486,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Corepike,492187112,82,0,82,19611,Shaak Ti G1 Fives G1 Rex G1 Echo (501st) G5 ARC Trooper G0 0*
Whisk,383428245,50,0,50,63348,Shaak Ti G8 Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G8
Death2MC,766619493,0,0,0,137421,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Qex,654613761,0,0,0,119920,Shaak Ti Fives Rex Echo (501st) ARC Trooper
