Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Yasie Qui",347197687,6290549,3695662,2594887,142,-67,334,397,1924325,1770886,135,8,391,3,221,55,76,96,115,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,15,3,5
"Snipesum",355457861,6201945,3697534,2504411,147,-3,364,432,1984219,1713315,146,13,447,3,200,72,78,101,134,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,18,7,8
"Timber",273814442,7325814,4075829,3249985,125,-176,240,421,2011821,2064008,139,10,443,2,239,53,99,121,141,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,21,9,9
"Cenistan",316195644,6857104,3798444,3058660,124,-67,184,455,1978283,1820161,147,7,442,3,226,62,100,124,144,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,22,8,9
"Killbaza",276969236,6002631,3664030,2338601,156,-70,44,326,1902996,1757359,124,7,276,1,200,40,52,89,110,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,16,7,8
"Lone Starr",461368524,6492029,3820858,2671171,143,154,251,406,2199816,1621042,160,5,385,3,230,50,82,105,122,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,21,8,10
"Th3 S3rg34nt",343993697,7007581,4057482,2950099,137,193,275,400,2376236,1681246,162,6,462,3,233,71,85,103,129,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,21,7,7
"Boshund",476923873,7401523,4290531,3110992,137,-29,237,363,2274140,2016391,176,8,380,2,250,47,80,113,147,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,24,8,11
"Sammy TF1",866892379,4179820,2571088,1608732,159,92,42,263,1439539,1128641,94,3,130,0,157,16,35,49,62,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4
"Pacojonezl40",556288426,7648896,4443769,3205127,138,162,225,392,2566274,1875070,178,7,397,2,248,51,81,140,166,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,23,8,10
"Pale Mandius",297974276,7820190,4733696,3086494,153,61,605,476,2607882,2109595,213,13,512,4,254,73,101,169,185,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,29,9,12
"Grampa Tim",743537648,8416204,5221709,3194495,163,36,171,508,2852408,2366693,225,12,616,5,253,70,137,168,185,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,23,9,12
"Nd volk",647746167,8035153,4770383,3264770,146,81,168,367,2654888,2103999,184,12,310,0,260,38,68,165,207,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,24,12,11
"Quidamlefou",461462591,6173587,3609122,2564465,140,146,106,337,2070517,1537929,116,3,268,2,224,28,56,99,126,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,21,9,10
"Scorn",881485362,8509397,5307317,3202080,165,-62,336,537,2765071,2533060,185,11,778,5,256,116,139,163,178,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,22,4,9
"DarthGideon",588758768,4881925,2917082,1964843,148,-83,174,259,1498704,1402064,97,7,188,0,184,30,39,50,72,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,9,4
"ぱんどら",832179698,4859040,2875666,1983374,144,244,100,190,1720003,1154976,72,7,82,0,191,13,19,57,92,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,14,8,8
"Goob",451421324,7198002,4271204,2926798,145,131,94,317,2429808,1831876,163,7,258,1,229,30,61,116,147,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,18,9,8
"ᜎའดཧดཀاᜎཛ",856871329,9116605,5430233,3686372,147,-33,261,461,2866693,2550466,197,10,645,6,288,98,122,170,209,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,28,8,12
"Bad Fish",314563379,6857241,3986487,2870754,138,-83,276,384,2056619,1924144,106,10,447,3,244,66,80,94,117,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,20,3,10
"Alexandder",266693162,5421316,3005648,2415668,124,-127,447,389,1519973,1485675,106,9,316,1,186,49,60,88,103,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,15,5,7
"Phdrlord",933247926,6856496,4041170,2815326,143,226,72,316,2395876,1639320,157,7,274,1,236,43,62,100,137,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,19,11,9
"Battlelord",597311355,7076796,4179146,2897650,144,71,149,441,2320056,1858414,153,6,328,3,263,39,98,149,164,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,23,9,11
"Walliamen",121156657,6475047,3941479,2533568,155,196,147,421,2310672,1630131,137,5,411,3,234,60,82,109,129,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,20,11,9
"EvolutionX",457734974,8352200,4907362,3444838,142,59,216,392,2702180,2191112,204,12,470,3,278,62,95,139,170,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,26,10,11
"SliickMoose",493737815,4201017,2463106,1737911,141,-468,233,357,1037260,1425846,76,9,200,2,158,27,42,68,83,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,11,6,5
"JeyLuckiDarkLord",835762411,5474587,3017584,2457003,122,-522,106,287,1228342,1786584,69,5,223,1,172,32,42,71,95,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11,6,7
"Bly",359469122,6628426,3790582,2837844,133,-29,289,384,2008987,1780919,158,6,290,2,262,37,60,137,147,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,25,10,7
"Wayne brady",636166686,6050024,3576979,2473045,144,-43,65,264,1881877,1692219,130,6,185,1,209,13,46,77,109,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,14,6,8
"Veskasa Starblazer",987221192,5756858,3518576,2238282,157,-92,85,284,1807323,1705891,101,12,200,1,198,22,46,78,116,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,17,11,9
"Kamu Teeltoo",711928393,9891722,5706464,4185258,136,18,619,517,3087267,2608124,209,11,859,3,285,114,158,182,197,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,26,9,10
"Swinny",216875298,3590595,2093113,1497482,139,-232,71,193,1003703,1088669,29,5,97,1,131,12,18,32,58,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,1
"DragonGodC16",965759793,4424724,2633707,1791017,147,-94,113,321,1353195,1279836,90,2,176,1,195,19,43,64,86,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,11,9,5
"Jayson Bourne",838351578,9158372,5379588,3778784,142,-34,476,514,2843632,2532787,216,7,772,7,285,111,150,167,188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,7,10
"AJ",134248776,4808355,2811148,1997207,140,-79,93,216,1455211,1355261,83,4,131,1,204,14,28,50,97,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,14,10,8
"Mando Dalrissian",538342162,5909229,3524271,2384958,147,166,266,407,2039873,1484398,119,5,360,1,204,49,78,91,109,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,16,5,7
"Reylo Jakkusolo",959357135,6917490,4086293,2831197,144,193,61,306,2386982,1688192,147,5,279,3,242,39,60,96,125,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,16,9,9
"Bort Moddler",875657132,7419352,4341392,3077960,141,238,177,376,2586195,1746269,200,11,403,2,237,59,77,122,146,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,20,8,8
"okeefechris",463248232,5851331,3456654,2394677,144,230,280,387,2055600,1400378,116,7,335,1,200,43,70,90,106,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,18,10,7
"TomServo3K",691942843,7869641,4522318,3347323,135,29,360,392,2463403,2058915,174,11,494,4,244,65,92,118,155,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,21,6,9
