Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Merc,618651132,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 4* Vader Thrawn RG R3
Merc,618651132,18,0,18,Troopers: Veers R3 Piett Dark Trooper G11 4* Range Trooper G11 4* Starck R3
ARCNiNjai,682233137,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
ARCNiNjai,682233137,41,0,41,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader G12 Thrawn G7 6* RG G7
Dobbz,692459781,24,0,24,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn G9 Malak G9 5*
Dobbz,692459781,31,0,31,Troopers: Veers G11 Piett Dark Trooper G10 Range Trooper G10 Starck G10
Dobbz,692459781,26,0,26,CLS: CLS G12 C-3PO Han G12 Chewbacca G12 Chewpio G10
Loypop's HTroopers,985227814,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Loypop's HTroopers,985227814,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Loypop's HTroopers,985227814,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Shoretrooper
Loypop's HTroopers,985227814,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Loypop's HTroopers,985227814,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Loypop's HTroopers,985227814,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Loypop's HTroopers,985227814,3,0,3,JMK: JMK CAT GK GAS Ahsoka R2
BD 1,945441983,32,0,32,EP: EP G11 Mara Jade, The Emperor's Hand G11 5* Vader Thrawn G11 RG G7
SonofGrisha,761968935,0,0,0,JMK: JMK CAT GK GAS Ahsoka
SonofGrisha,761968935,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
SonofGrisha,761968935,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SonofGrisha,761968935,6,3,3,EP: EP Mara Jade, The Emperor's Hand R2 Vader Thrawn Malak
SonofGrisha,761968935,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Gideon R3
Dr Pepper,214958952,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Dr Pepper,214958952,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Dr Pepper,214958952,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Dr Pepper,214958952,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dr Pepper,214958952,14,0,14,Troopers: Veers R3 Piett Dark Trooper R1 Range Trooper R1 Gideon R1
Dr Pepper,214958952,21,0,21,Padme/BB: Padme Hunter G12 Echo R2 Tech G12 Wrecker G12
Zeta Sigma 74,644932613,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zeta Sigma 74,644932613,16,0,16,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G9 Malak
Zeta Sigma 74,644932613,28,0,28,Troopers: Veers G11 Piett Dark Trooper G11 Range Trooper G10 Gideon G12
Jeager,288811679,23,0,23,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn G9 Malak G11 6*
Jeager,288811679,28,0,28,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G9 6* Gideon G11
BenBen,423837513,32,0,32,EP: EP G11 Mara Jade, The Emperor's Hand G11 Vader R1 Thrawn G11 RG G11
BAI,488844648,0,0,0,JMK: JMK CAT GK GAS Ahsoka
BAI,488844648,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
BAI,488844648,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
BAI,488844648,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn RG R3
BAI,488844648,21,0,21,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G8 Starck R3
Stryker,171969987,24,0,24,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Shoretrooper G7 4*
Stryker,171969987,29,0,29,CLS: CLS G13 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
loypop13,223946436,0,0,0,JMK: JMK CAT GK GAS Ahsoka
loypop13,223946436,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
loypop13,223946436,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
loypop13,223946436,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
loypop13,223946436,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
loypop13,223946436,15,0,15,Troopers: Veers R3 Piett Dark Trooper R1 Range Trooper G12 Gideon R2
QuilaCaz,453185837,21,0,21,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader Thrawn G12 RG G12
Dimitris,181287221,24,0,24,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn G11 5* Shoretrooper G8 5*
