Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Dark One",353788573,5234854,3276283,1958571,167,58,128,252,1809014,1467269,93,1,120,0,189,19,25,83,132,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,9,11
"HDS15",857258731,5101271,3193749,1907522,167,-16,52,263,1700721,1486871,66,1,128,0,180,16,36,73,96,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,9,5
"ChiefPheonix1",284131911,4197881,2312938,1884943,122,-94,60,214,1189225,1123037,72,6,106,1,211,15,25,44,61,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,7,4,2
"Nick Steele",279647222,3304154,2124875,1179279,180,172,53,126,1233151,891048,22,0,14,0,184,0,10,29,59,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,3
"Styckeey Battle",663976847,4520847,2645407,1875440,141,-81,28,129,1364740,1272462,42,7,67,0,161,11,13,32,52,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,5
"Chris Anderson 05051982",165559824,5164731,2974124,2190607,135,61,56,195,1644044,1329404,63,5,136,0,213,22,23,51,73,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,10,6
"Ronju Terds",464722161,5322582,3099070,2223512,139,154,98,240,1785336,1313058,77,6,150,0,215,22,36,62,94,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,15,8,9
"RBS",572837322,4439488,2519374,1920114,131,139,47,161,1441796,1076902,63,3,54,0,201,5,20,41,59,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11,9,5
"OldManDan",679213617,4481888,2449192,2032696,120,91,26,124,1370792,1075063,47,5,43,0,189,6,9,38,61,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,8,6,3
"Terdz 2",772418442,4368609,2565585,1803024,142,7,66,258,1383624,1181285,70,4,124,0,191,17,32,56,71,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,5
