Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Lillyanna",938276726,5763055,3597288,2165767,166,257,69,238,2159016,1429740,82,5,161,1,221,25,30,75,100,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,16,9,9
"Omega99",394524611,1120345,672383,447962,150,-305,130,194,309917,361790,6,1,19,0,40,3,3,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Ethan Geilvta",671426777,2015700,1339902,675798,198,254,11,134,803141,533680,18,1,11,0,65,0,4,21,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
"TheRobertEquation",477473882,1855499,1125656,729843,154,199,42,51,660738,464918,14,2,3,0,83,0,1,8,45,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"Vegas Vic",151842775,1557420,945831,611589,154,-64,50,169,492728,452427,13,2,12,0,64,1,3,21,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
"GeneralMarkus",789995519,3096771,1779880,1316891,135,-256,51,135,842967,936237,20,1,35,0,123,3,9,26,46,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
"GamingChips",958661216,4415287,2419159,1996128,121,-244,88,295,1152990,1266169,84,1,168,2,159,21,35,62,81,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,10,8,6
"DarthHoratius",899145955,1262437,766555,495882,154,-142,52,47,384867,381688,6,0,0,0,53,0,0,6,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"FinalKryptonian",144826213,1111925,724664,387261,187,-30,11,71,383666,340322,4,0,0,0,43,0,0,8,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"extra hihi",327242484,467978,343786,124192,276,71,0,0,183088,146237,1,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerberus567",145897793,2812123,1676591,1135532,147,179,38,116,974558,699402,21,0,39,0,86,6,8,17,37,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Porg",325919928,2737814,1791030,946784,189,97,18,120,1003512,782922,18,0,40,0,70,6,7,18,36,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DarthGutty",357188912,4917495,2988815,1928680,154,92,56,211,1674053,1313150,66,4,84,0,197,13,20,67,86,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,7
"HannibalHunter",669271694,1427087,867252,559835,154,-95,18,56,445587,421665,5,1,0,0,36,0,0,8,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Miketoker",125899287,2132274,1234914,897360,137,182,6,42,718957,514732,5,0,0,0,81,0,0,9,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"PotatoKing",775888331,2163422,1304493,858929,151,-72,12,63,672894,622881,11,1,9,0,74,1,3,9,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Razak",521844241,1171073,742255,428818,173,162,0,42,428479,313068,5,1,0,0,52,0,0,5,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"RedEyeJedi",449715953,2151867,1398302,753565,185,-132,54,139,704952,692674,17,4,20,0,69,3,4,22,40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Tuftydragon",218965475,275525,178158,97367,182,547,0,0,118712,56968,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coolman6456",568778898,1776041,1226869,549172,223,-118,34,91,623232,603637,12,0,6,0,61,0,3,12,29,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Tronibrall",177621662,1165917,715751,450166,158,-92,0,51,367920,347155,4,1,5,0,39,1,1,4,19,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"TCLincoln",193327199,5529346,3324714,2204632,150,-94,273,410,1708523,1616191,132,7,349,1,173,49,69,88,102,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,13,8,7
"natebzta",994951475,2005002,1172565,832437,140,157,47,152,675768,496121,13,3,3,0,78,0,1,29,39,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Feline ALT",192822636,77284,59705,17579,339,-555,0,0,23909,35796,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mightyone",258922997,2106115,1145163,960952,119,-46,20,62,602149,543014,23,0,11,0,88,2,2,9,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Cylo Jr",942814391,1512862,922345,590517,156,-237,30,54,441224,481121,3,0,6,0,51,0,2,5,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
