Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Proxinia,416217429,32,0,32,Vader+Nute 12%: Vader G11 Nute G11 Thrawn G12 Wat Tambor G9 5* Traya R2
Ukaiden Wyrs,444777315,26,0,26,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G8 Wat Tambor R4 Traya G11
Geno,759237922,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
BountyHunterSlave1,441851933,28,0,28,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G9 5* Traya G8
Pervis the Chisler,422163964,20,0,20,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor G11 5* Traya G12
JOEFIEND419,546132624,25,0,25,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G7 5* Traya R3
Bobimus Prime,377489587,31,0,31,Vader+Nute 12%: Vader Nute G12 Thrawn G8 Wat Tambor G7 5* Traya R1
Rivem,726615128,22,0,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya G12
Vogel,486754244,20,0,20,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 5* Traya G11
DarthBinks,453229764,20,0,20,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 5* Traya G12
CaptainAshton,437239219,9,0,9,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 4* Piett
CorpseGrinderUSA,762819711,13,0,13,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G11 6* Traya G12
vynle,423513725,32,1,31,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G7 Wat Tambor G11 5* Traya G13
Soundwave Superior,438187725,37,0,37,Vader P1 10%: Vader G12 KRU Wat Tambor G2 5* C-3PO G9 6* Shaak Ti G12
DjangoFett,184168414,24,0,24,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G9 5* Traya G12
Thunder,163682498,29,0,29,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G11 6* Traya G9
