Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Bytor Snowdog",656997348,8662012,5048728,3613284,139,-15,381,496,2695198,2352854,192,10,685,5,266,97,133,160,182,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,29,9,12
"Jan Dodonna GAT",482748136,8141442,4727649,3413793,138,-39,203,393,2483238,2221907,174,10,541,2,284,90,91,121,141,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,21,12,8
"CptBlackBush",888364832,7714636,4368684,3345952,130,89,134,442,2444571,1921463,194,11,526,4,262,73,100,136,145,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,23,8,9
"DarkCoitus",825389354,8325054,4923814,3401240,144,-97,411,504,2525686,2392311,200,7,681,5,272,99,131,153,164,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,25,8,9
"tallon karrde",623616269,7006083,4129718,2876365,143,164,264,420,2380610,1731968,127,7,433,2,261,64,96,112,143,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,22,7,9
"Jaycop",322352622,6812146,3963553,2848593,139,81,114,307,2208933,1749594,129,4,299,2,241,44,60,90,124,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,17,12,10
"Leo the lion",312994299,8623196,5013593,3609603,138,73,232,468,2782170,2222204,162,10,544,4,277,72,134,161,185,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,26,9,12
"TheMonikon",423522555,7414504,4422218,2992286,147,78,68,355,2459519,1954934,181,7,318,2,244,38,78,122,149,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,21,13,11
"Ozzy",574547774,7659441,4459933,3199508,139,35,68,353,2434138,2019324,204,4,364,2,265,50,81,117,147,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,20,12,10
"Cruzman",962295923,6433647,3990774,2442873,163,153,288,401,2295370,1691243,172,11,371,3,211,50,78,106,125,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,17,7,8
"Hashslingingslasher",778222546,6720096,3944836,2775260,142,45,162,414,2165411,1779425,141,6,402,4,235,50,87,111,131,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,16,8,8
"Hoyt Nitrum",428494676,7629793,4694106,2935687,159,50,138,379,2575426,2104675,192,6,421,3,266,58,81,124,154,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,23,9,12
"Crazaig",689688922,7945834,4655649,3290185,141,63,109,396,2575169,2076858,190,12,466,4,254,61,93,129,146,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,22,7,10
"JasTarter Too",234764733,7424566,4369979,3054587,143,195,233,328,2558919,1805831,177,5,344,2,258,57,63,112,132,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,19,9,7
"Jastarter",476181546,7418139,4362742,3055397,142,188,221,340,2547912,1809508,171,6,347,2,254,57,64,119,137,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,20,9,7
"Crusader5454",884293376,6587349,3882124,2705225,143,-120,286,424,1971109,1911015,145,9,442,3,226,61,91,100,122,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,20,5,9
"Thux Kraç",146561726,5940676,3609786,2330890,154,319,134,407,2227484,1381626,144,4,324,1,215,50,71,106,124,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,19,10,7
"Tad",418829766,7770220,4654093,3116127,149,237,86,369,2771952,1872790,179,4,369,3,264,56,80,133,167,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,24,9,11
"Haus Junge",687721517,8557455,5075467,3481988,145,140,215,417,2898086,2162506,199,6,478,2,279,60,94,168,192,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,25,11,11
"Six",992469319,5809036,3405224,2403812,141,-47,429,367,1791201,1614023,106,0,317,1,217,45,69,81,112,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,20,13,11
"MrsBlueprints",651313237,5868744,3497283,2371461,147,164,161,328,2021718,1472915,115,2,275,0,195,41,56,82,103,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,11,8
"JakeBum",554665654,7699569,4343991,3355578,129,78,128,400,2415515,1918450,163,11,495,2,268,80,86,123,143,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,23,9,9
"Delmon Enz",467248887,7634362,4613179,3021183,152,-44,179,455,2427196,2181303,152,8,504,5,251,68,108,139,170,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,23,6,11
"Will Shakespeare",863487143,8841638,5261835,3579803,146,17,83,452,2840821,2399249,209,14,640,4,283,99,113,159,196,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,24,8,8
"SWfan114",551549951,6956474,4189761,2766713,151,75,102,399,2331976,1857785,147,8,428,3,231,58,86,106,141,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,22,7,10
"Andhur P'hul",625285383,7219235,4164216,3055019,136,257,385,457,2505123,1658642,158,5,487,4,261,68,102,131,152,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,24,8,9
"Crocodile Dundee",354318791,7191805,4319803,2872002,150,90,90,361,2417088,1896811,169,13,361,1,231,58,79,109,135,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,19,7,7
"Tyson",358865491,6147998,3573455,2574543,138,7,439,400,1928027,1645428,121,5,367,2,220,55,77,96,117,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,24,12,11
"Bato Kido",464953624,6212320,3691871,2520449,146,99,66,312,2073604,1613611,145,2,236,1,231,33,49,98,121,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,17,10,8
"Papadapalous",782987592,8037614,4814836,3222778,149,-185,326,494,2363396,2444348,182,11,623,4,249,87,120,153,168,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,25,7,10
"ReveNeveR",436444241,7379777,4367908,3011869,145,97,241,460,2454106,1912296,158,13,493,3,245,71,111,130,154,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,27,7,12
"DarthDarth",169543185,8335829,4926810,3409019,144,-109,203,444,2512150,2409733,202,9,532,2,264,82,113,151,178,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,22,11,12
"The Dude",668946646,7942604,4824538,3118066,154,86,142,429,2693744,2122973,176,13,535,5,250,77,104,130,148,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,23,5,10
"DarthDado",773529376,5867336,3382608,2484728,136,76,262,402,1883346,1499262,139,6,306,3,197,38,69,106,115,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,15,5,7
"Darthraki",884776838,6479709,3782360,2697349,140,-5,333,337,2027936,1753748,141,8,272,1,216,38,64,100,152,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,20,11,11
