Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Bytor Snowdog,656997348,0,0,0,158833,Padme JKA Ahsoka GK GMY
Jan Dodonna GAT,482748136,0,0,0,154064,Padme JKA Ahsoka GK GMY
CptBlackBush,888364832,1,0,1,153305,Padme R4 JKA Ahsoka GK GMY
DarkCoitus,825389354,0,0,0,151126,Padme JKA Ahsoka GK GMY
tallon karrde,623616269,0,0,0,144558,Padme JKA Ahsoka GK GMY
Jaycop,322352622,3,0,3,144304,Padme JKA R2 Ahsoka GK GMY
Leo the lion,312994299,0,0,0,158462,Padme JKA Ahsoka GK GMY
TheMonikon,423522555,0,0,0,137225,Padme JKA Ahsoka GK GMY
Ozzy,574547774,2,0,2,135056,Padme JKA R3 Ahsoka GK GMY
Cruzman,962295923,0,0,0,151721,Padme JKA Ahsoka GK GMY
Hashslingingslasher,778222546,7,0,7,141142,Padme G13 JKA Ahsoka R3 GK GMY
Hoyt Nitrum,428494676,0,0,0,155820,Padme JKA Ahsoka GK GMY
Crazaig,689688922,1,0,1,138574,Padme JKA Ahsoka GK GMY R4
JasTarter Too,234764733,0,0,0,139632,Padme JKA Ahsoka GK GMY
Jastarter,476181546,6,0,6,137997,Padme JKA G12 Ahsoka GK GMY
Crusader5454,884293376,0,0,0,153940,Padme JKA Ahsoka GK GMY
Thux Kraç,146561726,0,0,0,144591,Padme JKA Ahsoka GK GMY
Tad,418829766,0,0,0,154620,Padme JKA Ahsoka GK GMY
Haus Junge,687721517,2,0,2,145080,Padme R4 JKA Ahsoka R4 GK GMY
Six,992469319,6,0,6,136359,Padme JKA Ahsoka GK GMY G12
MrsBlueprints,651313237,0,0,0,158293,Padme JKA Ahsoka GK GMY
JakeBum,554665654,0,0,0,145415,Padme JKA Ahsoka GK GMY
Delmon Enz,467248887,3,0,3,151779,Padme JKA Ahsoka R2 GK GMY
Will Shakespeare,863487143,0,0,0,157842,Padme JKA Ahsoka GK GMY
SWfan114,551549951,2,0,2,149060,Padme JKA Ahsoka R3 GK GMY
Andhur P'hul,625285383,0,0,0,153892,Padme JKA Ahsoka GK GMY
Crocodile Dundee,354318791,0,0,0,147759,Padme JKA Ahsoka GK GMY
Tyson,358865491,5,0,5,142503,Padme JKA Ahsoka GK GMY G13
Bato Kido,464953624,0,0,0,147011,Padme JKA Ahsoka GK GMY
Papadapalous,782987592,0,0,0,157021,Padme JKA Ahsoka GK GMY
ReveNeveR,436444241,0,0,0,151994,Padme JKA Ahsoka GK GMY
DarthDarth,169543185,0,0,0,141606,Padme JKA Ahsoka GK GMY
The Dude,668946646,0,0,0,157447,Padme JKA Ahsoka GK GMY
DarthDado,773529376,3,0,3,143507,Padme R4 JKA Ahsoka R3 GK GMY
Darthraki,884776838,0,0,0,148602,Padme JKA Ahsoka GK GMY
Pilgrims Plague,756648931,0,0,0,159826,Padme JKA Ahsoka GK GMY
Bobby0350,414725423,0,0,0,146256,Padme JKA Ahsoka GK GMY
Obi Bonz Kenobie,948124219,2,0,2,144656,Padme R4 JKA R4 Ahsoka GK GMY
Alias Nome,113955439,0,0,0,136590,Padme JKA Ahsoka GK GMY
Makashi II,145923722,0,0,0,145132,Padme JKA Ahsoka GK GMY
maddoghansen,352978245,0,0,0,161109,Padme JKA Ahsoka GK GMY
Marka Ragnos,777799968,2,0,2,144660,Padme JKA Ahsoka R4 GK R4 GMY
Hima Glowbin,529813421,0,0,0,139845,Padme JKA Ahsoka GK GMY
SMKBlueprints,446175187,18,0,18,118712,Padme G12 JKA G12 Ahsoka G12 GK GMY
