Player,Offense,Defense,GP,Name,Squad,Viable
"jack0",1,1,79309,Ewoks,"zChirpa Elder Paploo Scout Logray",1
"jack0",1,1,128872,zEP,"zzEP zzzVader zTarkin zKrennic Sion G9",1
"jack0",0,1,99854,Phoenix,"zHera Zeb Sabine Kanan zEzra",1
"jack0",0,1,98534,padme,"zzPadme GK zJKA Ahsoka Fives",1
"jack0",,,73401,Phasma,"Phasma FOE FOO KRU G8, Kylo G8",0
"jack0",0,1,78863,Geonosians Omicron,"GBA 5* Sun Fac G8, Geo Soldier, Geo Spy, Poggle",0
"jack0",0,1,77096,Grievous,"GG G8, B2 G8, MagnaGuard G9, zDooku IG-88 G9",0
"jack0",1,1,63280,NS,"MT G7, zAV Daka G9, Zombie Spirit G5",0
"jack0",,,43968,Mon Mothma,"Mon Mothma 4* G8, Lando G6, Hoth Rebel Scout G7, Biggs G8, Wedge G7",0
"jack0",0,1,79475,BH,"Bossk 4* G8, Boba Jango G8, Greedo Cad",0
"jack0",1,0,94748,Troopers,"Veers Starck Stormtrooper Gideon G9, zPiett",0
"TacopMark",,,118833,Phasma,"zPhasma zFOTP FOSFTP FOST Kylo",1
"TacopMark",,,311695,HansMF,"Home One, Han's MF, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"TacopMark",1,0,91691,Troopers,"zVeers zPiett Gideon Dark Trooper, Range Trooper",1
"TacopMark",,,86386,Disintegration,"Aurra Greef G9, Boba Bossk The Mandalorian",1
"TacopMark",1,1,98625,Revan,"zzJKR BS zGMY zJolee GK G9",1
"TacopMark",1,1,88890,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"TacopMark",1,1,75494,Carth,"zCarth Onasi, Mission G8, Zaalbar Juhani Canderous G8",1
"TacopMark",1,1,107148,zEP,"zEP zVader Tarkin TFP G9, zSith Trooper",1
"TacopMark",0,1,76695,Phoenix,"Hera Zeb G8, Kanan G8, Ezra Chopper",1
"TacopMark",,,49014,Admiral Raddus,"Admiral Raddus 4* G8, Cassian G9, Jyn G8, K-2SO G8, Chirrut G8",0
"TacopMark",1,0,92718,CLS,"zzzCLS zHan Chewbacca 6* R2-D2 Chewpio",0
"TacopMark",,,56064,Grievous Omicron,"zGG B2 G7, B1 G8, MagnaGuard G7, Droideka G8",0
"TacopMark",0,1,94063,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"TacopMark",1,1,55577,NS_Alt,"MT G8, AV G8, Spirit G8, Talia G8, Daka G9",0
