Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
tobster,569316171,66,0,66,30876,Padme G1 5* JKA G5 2* Ahsoka G10 GK G8 GMY G0 0*
Thehighground420,661933162,7,0,7,114839,Padme JKA Ahsoka GK GMY G11
Iluvatar,367597549,45,0,45,70674,Padme G1 JKA G12 Ahsoka G12 GK G8 GMY G12
Yeti no kles,483657413,30,0,30,90044,Padme G8 JKA Ahsoka G11 GK G12 GMY G11
Jed,492425346,42,0,42,76243,Padme G8 JKA G9 Ahsoka G11 GK G8 GMY G12
dicksharpe,175858197,47,0,47,64961,Padme G8 JKA G8 5* Ahsoka G8 GK G7 GMY G12
TacopMark,961927581,35,0,35,94104,Padme G10 JKA G12 Ahsoka G12 GK G9 GMY G12
Bo Diddle,627568373,20,0,20,111032,Padme G12 JKA R3 Ahsoka G12 GK GMY G12
TheHighGround,911996617,82,0,82,16773,Padme G1 JKA G1 4* Ahsoka G5 GK G1 GMY G0 0*
Kelattt,384197343,27,0,27,100828,Padme G12 JKA G12 Ahsoka G12 GK R2 GMY G12
Kristian45,713547513,41,0,41,70374,Padme G9 JKA G11 Ahsoka G10 GK G8 GMY G11
SitOnMySith,727179611,27,0,27,99701,Padme G12 JKA G11 Ahsoka G13 GK R3 GMY G11
Ta152,474737449,53,0,53,46797,Padme G3 JKA G7 5* Ahsoka G9 GK G7 GMY G11
BallistaShan,221463986,27,0,27,95390,Padme G12 JKA R4 Ahsoka G11 GK G12 GMY G11
xXDarth YetiXx,879719549,18,0,18,112056,Padme G12 JKA Ahsoka G12 GK GMY G12
Tomb,644419262,33,0,33,85745,Padme G10 JKA R3 Ahsoka G10 GK G10 GMY G11
spyinglyfe,798345146,44,0,44,60526,Padme G7 JKA G9 5* Ahsoka G12 GK G6 6* GMY G12
Delmon,963988395,33,0,33,87389,Padme G11 JKA G12 Ahsoka G12 GK G11 GMY G11
ThePatience,536653765,28,0,28,98820,Padme G11 JKA Ahsoka G11 GK G11 GMY G11
JSchill,342467647,46,0,46,59533,Padme G7 JKA G4 2* Ahsoka G10 GK G11 GMY G12
Elon Muscle,274334641,34,0,34,84985,Padme G11 JKA G11 Ahsoka G11 GK G12 GMY G11
Kichler10,945937226,27,0,27,104279,Padme G12 JKA G12 Ahsoka G12 GK R2 GMY G12
Raven3199,716952923,49,0,49,54519,Padme G2 6* JKA G8 5* Ahsoka G9 GK G11 GMY G11
e4embo,651266171,16,0,16,108275,Padme R3 JKA Ahsoka G12 GK G12 GMY R3
Toby18,523572162,41,0,41,73199,Padme G10 JKA G12 Ahsoka G12 GK G9 GMY G6
DarthWampa,519796236,33,0,33,85056,Padme G10 6* JKA G11 2* Ahsoka G12 GK G12 GMY G12
ElJediDasCouvesJr,715728792,30,0,30,93854,Padme G8 6* JKA R3 Ahsoka G12 GK G12 GMY G12
Classy Squirrel,277557845,69,0,69,30461,Padme G1 JKA G3 1* Ahsoka G8 GK G8 GMY G1
BluntSkull,979223516,34,0,34,80929,Padme G12 JKA G11 6* Ahsoka G12 GK G9 GMY G12
VikingKoala,431562251,0,0,0,130685,Padme JKA Ahsoka GK GMY
Ferran Jubei,151173958,9,0,9,122604,Padme JKA Ahsoka G12 GK R3 GMY R4
beanboi,776711776,39,0,39,64778,Padme G8 6* JKA G11 5* Ahsoka G11 GK G11 6* GMY G10
toaster1241,388951769,8,0,8,130960,Padme R3 JKA Ahsoka G12 GK GMY
GeneralZab,229646639,29,0,29,89734,Padme G9 JKA R3 Ahsoka G12 GK G12 GMY G12
DarthWilli,228477644,41,0,41,72197,Padme G8 JKA G10 Ahsoka G11 GK G8 GMY G12
Xnalanx,136637536,32,0,32,94431,Padme G12 JKA G12 Ahsoka G11 GK G11 GMY G12
Smurf24,648873927,1,0,1,132059,Padme JKA R4 Ahsoka GK GMY
ThEeSSs,647418233,8,0,8,123356,Padme R3 JKA Ahsoka R3 GK R3 GMY R3
Wolffe Pack,787254278,0,0,0,149019,Padme JKA Ahsoka GK GMY
Ryan xoxo,119543872,64,0,64,30758,Padme G1 5* JKA G8 5* Ahsoka G9 GK G0 0* GMY G8
creen,677923662,57,0,57,36443,Padme G7 JKA G8 5* Ahsoka G8 GK G0 0* GMY G10
SUMPTER THE HUT,786696155,26,0,26,91214,Padme G9 JKA R3 Ahsoka G12 GK R1 GMY G13
Sankster10,196872712,14,0,14,122311,Padme G12 JKA R4 Ahsoka G12 GK R4 GMY
jex222,821134319,40,0,40,79558,Padme G9 JKA G9 5* Ahsoka G8 GK G12 GMY G12
Belisarius,362364277,29,0,29,101418,Padme G12 JKA G12 Ahsoka G12 GK G9 GMY R3
Ah Loi,122661345,0,0,0,149196,Padme JKA Ahsoka GK GMY
jack0,342891997,34,0,34,93471,Padme G10 JKA Ahsoka G12 GK G9 GMY G7
HendoSon,221154482,41,0,41,68038,Padme G1 JKA Ahsoka G12 GK G0 0* GMY
DarthEf2Pee,588329247,65,0,65,42001,Padme G1 JKA G8 Ahsoka G8 GK G1 6* GMY G7
