Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Biggles",786886424,8156988,4789298,3367690,142,-16,156,366,2551560,2232656,172,9,434,2,272,59,81,131,162,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,23,9,11
"AtillaDX",476411885,6380884,3977144,2403740,165,77,219,393,2209475,1759172,157,11,287,1,219,29,80,114,128,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,18,11,8
"Lasman starguard",714143532,6604208,3817388,2786820,136,80,78,358,2128125,1689263,166,6,338,2,237,42,78,91,115,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,16,11,7
"DarthCephalus",164743168,6348313,3789737,2558576,148,-66,68,360,1972330,1814757,148,7,298,2,220,41,65,104,121,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,14,6,6
"Loreck Avery",945628811,7186181,4118258,3067923,134,90,60,247,2299647,1806454,140,9,186,0,254,28,39,102,145,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,22,11,13
"wilbr",594392214,6169210,3707236,2461974,150,71,58,306,2053500,1644991,98,0,240,1,214,34,56,85,98,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,14,9,8
"Waiter",619831899,7436340,4433195,3003145,147,45,134,275,2427054,1995799,132,8,238,0,265,23,52,105,188,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,22,10,10
"tacomansir",585681935,4982778,3084891,1897887,162,-91,230,440,1587602,1497289,96,5,292,2,176,27,72,89,103,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,12,6,7
"Matthew Darkstar",523332526,5867507,3249803,2617704,124,-1,63,345,1745034,1504093,116,3,99,0,257,5,80,103,108,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,18,11,9
"IIISunDownIII",323563219,5678107,3468240,2209867,156,255,47,342,2082163,1381697,109,8,191,0,207,17,60,96,121,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,9,12
"HK71",458914434,5968646,3571214,2397432,148,89,105,277,1996125,1569925,125,2,174,0,224,25,54,77,102,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,15,10,6
"Gul Ski",723993198,7636598,4368382,3268216,133,12,236,354,2361211,2006495,183,13,353,3,264,36,80,120,151,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,24,9,11
