Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Sans,156217258,5,0,5,Grievous: GG B2 B1 G11 2* Droideka MagnaGuard G8
Sans,156217258,5,0,5,Dooku+Asajj: Dooku G11 AV G8 6*
lnquisitor Saldag,618688236,5,0,5,Geos: GBA G11 6* Poggle Geo Soldier G11 6* Sun Fac G10 Geo Spy G11
Mini Noah Boat,698942577,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
znub,913947995,13,0,13,Dooku+Asajj: Dooku G5 6* AV G6
znub,913947995,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Belrosa,983233755,16,0,16,Troopers: Veers G11 Piett G8 5* Gideon G8 Dark Trooper G9 5* Range Trooper G8 4*
Belrosa,983233755,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Belrosa,983233755,3,0,3,Geos: GBA G11 Poggle G10 Geo Soldier Sun Fac Geo Spy
HostileHunter,135614982,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8 6*
HostileHunter,135614982,13,0,13,Geos: GBA G10 5* Poggle G10 Geo Soldier G9 6* Sun Fac G9 Geo Spy G9 6*
lolxd,177442627,8,0,8,Dooku+Asajj: Dooku G9 AV G7 3*
lolxd,177442627,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Gonzaleez12,122593812,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Vinerax,978892464,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Ethan Owens,443949414,2,0,2,Dooku+Asajj: Dooku AV G10
FlightingPig,324911882,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Nitz,991936212,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nitz,991936212,0,0,0,Dooku+Asajj: Dooku AV
Nitz,991936212,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nitz,991936212,3,0,3,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G9 6*
The World Champ,367296627,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
The World Champ,367296627,12,0,12,Geos: GBA G10 Poggle G10 Geo Soldier G10 Sun Fac G9 Geo Spy G9
Edd Vadah,752936177,5,0,5,Troopers: Veers Piett G9 Gideon G11 Dark Trooper G11 Range Trooper
VoidedSouls24,896149329,2,0,2,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper G11
VoidedSouls24,896149329,20,0,20,Dooku+Asajj: Dooku G1 3* AV G3 6*
VoidedSouls24,896149329,8,0,8,Geos: GBA G11 Poggle G11 Geo Soldier G11 Sun Fac G9 Geo Spy G10
Nitz'd,961325798,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nitz'd,961325798,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nitz'd,961325798,7,0,7,Dooku+Asajj: Dooku G5 AV
Crovax,873218834,5,0,5,Troopers: Veers Piett G9 6* Gideon Dark Trooper G11 6* Range Trooper G11 6*
Crovax,873218834,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Sidonplays,192852549,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
AesirCon,625939589,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
AesirCon,625939589,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
JediLukeSkywalker Alt,873328237,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JediLukeSkywalker Alt,873328237,7,0,7,Dooku+Asajj: Dooku G9 AV G8
Nütshot,541627491,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nütshot,541627491,6,0,6,Dooku+Asajj: Dooku G6 6* AV
BigKopsing,532597427,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
DragonDeezNutts,245541138,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Hdwolf,445881368,6,0,6,Dooku+Asajj: Dooku G10 AV G8 5*
Chaotik,726473466,11,0,11,Dooku+Asajj: Dooku G8 6* AV G5 4*
Fallen,961276461,10,0,10,Dooku+Asajj: Dooku G7 AV G7
Oberon Calad,771197337,5,0,5,Dooku+Asajj: Dooku G10 AV G9 6*
Oberon Calad,771197337,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy G11
Itzcoatl,755865424,20,0,20,Troopers: Veers G9 Piett G7 Gideon G8 Dark Trooper G8 Range Trooper G8
Itzcoatl,755865424,7,0,7,Geos: GBA G10 Poggle G11 Geo Soldier G11 Sun Fac G10 Geo Spy G11
Zenithier,443596224,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Zenithier,443596224,0,0,0,Dooku+Asajj: Dooku AV
Zenithier,443596224,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zenithier,443596224,4,0,4,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G9
Chewbacca37,874844686,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
The force,686882798,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8 6*
allidrA,673329616,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
allidrA,673329616,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
allidrA,673329616,0,0,0,Dooku+Asajj: Dooku AV
allidrA,673329616,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthShade,612692916,6,0,6,Geos: GBA G11 Poggle G10 Geo Soldier G11 Sun Fac G10 Geo Spy
