Player,Offense,Defense,GP,Name,Squad,Viable
"Joshua I K Wilson",,,105194,Phasma,"zPhasma zFOTP FOO zzKRU zKylo",1
"Joshua I K Wilson",,,170928,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Joshua I K Wilson",0,1,98260,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Joshua I K Wilson",1,1,104772,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Joshua I K Wilson",,,163444,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Joshua I K Wilson",1,0,145988,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Joshua I K Wilson",0,1,141853,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Joshua I K Wilson",,,517407,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Joshua I K Wilson",0,1,100713,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Joshua I K Wilson",,,432853,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Joshua I K Wilson",1,1,131673,JTR,"zzzJTR zzR2-D2 zzBB-8 zRH Finn, zRH Poe",1
"Joshua I K Wilson",1,0,128598,Traya,"zzTraya zzDN zSion Sith Empire Trooper, zzThrawn",1
"Joshua I K Wilson",0,1,113415,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Joshua I K Wilson",1,0,113459,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Joshua I K Wilson",,,110866,Mon Mothma,"zzMon Mothma, zCara Dune, Biggs zPao Wedge",1
"Joshua I K Wilson",1,1,92926,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Joshua I K Wilson",1,0,129921,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
