Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Shadowtrap",337228443,7770071,4483091,3286980,136,-54,249,416,2347380,2133061,186,4,465,4,250,63,99,132,153,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,24,10,11
"sharks198",449632632,5341198,3225384,2115814,152,180,88,253,1876019,1345533,107,9,143,0,205,12,46,61,88,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,12,8,5
"Joshua I K Wilson",172459436,7414269,4272522,3141747,135,0,378,339,2297115,1975407,175,10,323,2,250,40,64,123,168,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,25,11,11
"Cade Doneeta",619547922,8499221,4772872,3726349,128,17,447,437,2577662,2180251,192,11,536,4,259,76,118,147,174,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,25,9,11
"микаким",292677973,6304575,3681704,2622871,140,-108,47,316,1878754,1802274,134,4,252,1,219,27,57,92,126,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,20,12,12
"Odog916",568143631,7451393,4449768,3001625,148,65,121,370,2459285,1981132,187,9,335,2,239,39,88,121,143,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,22,11,10
"KillerKemphfer",249539328,7735400,4588433,3146967,145,22,183,258,2484891,2089804,192,6,175,0,267,28,28,137,187,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,24,11,12
"Gundy",234294868,5551432,3220039,2331393,138,106,199,403,1815367,1403996,130,1,299,1,194,35,66,98,113,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,19,12,10
"Revenant SubZero",217859353,4686940,2807438,1879502,149,-227,290,314,1350071,1457367,93,5,206,0,138,32,39,67,91,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,9,7
"MeMeItsMe",213144715,7342152,4246341,3095811,137,106,56,317,2394064,1851601,155,9,362,3,240,48,69,92,129,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,19,11,11
"Jadenhawke",797846433,6512057,3855596,2656461,145,110,67,170,2171351,1672167,148,3,96,0,268,13,25,67,107,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,15,9,6
"Ashla Bogan",378192553,7983431,4668113,3315318,140,141,78,381,2667665,1990784,178,8,488,0,235,69,81,126,156,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,21,11,10
"halfwayhook",486729994,6838283,3773023,3065260,123,-5,331,336,2021769,1749202,129,3,326,1,236,42,69,96,128,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,18,6,7
"Mandigo Duco",938411964,6024112,3634598,2389514,152,157,159,342,2095062,1538860,145,1,258,1,232,35,64,91,114,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,13,7,6
"Tflynn4141",967139667,5619395,3372920,2246475,150,-35,241,331,1782914,1589330,115,3,276,1,208,35,59,72,98,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,14,7,7
"Chaarisma",226344937,9306096,5639826,3666270,153,-65,447,551,2927981,2690844,222,6,839,7,285,116,156,189,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,9,10
"QuarterwayHook",367747775,4712332,2564032,2148300,119,-112,308,279,1305293,1256872,88,2,149,0,171,13,37,65,90,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,12,6,6
"J Croft",741411986,5805083,3488713,2316370,150,143,42,170,1994494,1485189,107,7,129,0,214,25,26,47,68,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,8
"Talin Vandor",777742531,8003681,4675760,3327921,140,-39,68,345,2461048,2204418,185,6,358,2,267,56,64,141,170,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,25,10,12
"Rhînò",338841631,4183687,2441316,1742371,140,120,48,171,1385360,1055956,86,5,84,0,176,9,20,35,59,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,7,6
"T B3AR 14",391652249,5314034,3071762,2242272,136,38,371,386,1680065,1391697,123,2,283,2,173,34,59,90,112,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,19,9,9
