Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Fosachi Walker,295449912,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Fosachi Walker,295449912,0,0,0,Dooku+Asajj: Dooku AV
Fosachi Walker,295449912,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zeta,999133947,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Zeta,999133947,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zeta,999133947,4,0,4,Dooku+Asajj: Dooku G8 AV
Dawnstriker,716135386,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dawnstriker,716135386,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Dawnstriker,716135386,4,0,4,Dooku+Asajj: Dooku G8 AV
The Hawk 28,238562913,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
The Hawk 28,238562913,0,0,0,Dooku+Asajj: Dooku AV
The Hawk 28,238562913,20,0,20,Troopers: Veers G9 Piett G7 5* Gideon G9 Dark Trooper G8 5* Range Trooper G7 6*
The Hawk 28,238562913,6,0,6,Geos: GBA Poggle Geo Soldier Sun Fac G9 Geo Spy G9
Gorgatron,369351434,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Gorgatron,369351434,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Gorgatron,369351434,0,0,0,Dooku+Asajj: Dooku AV
Gorgatron,369351434,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
FrogMan,687277858,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
FrogMan,687277858,1,0,1,Dooku+Asajj: Dooku G11 AV
FrogMan,687277858,2,0,2,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy G11
White Devil,834598883,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
White Devil,834598883,0,0,0,Dooku+Asajj: Dooku AV
White Devil,834598883,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Beats4dayz,738694156,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Beats4dayz,738694156,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Beats4dayz,738694156,0,0,0,Dooku+Asajj: Dooku AV
Beats4dayz,738694156,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tau Beta,454169494,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Tau Beta,454169494,0,0,0,Dooku+Asajj: Dooku AV
Tau Beta,454169494,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tau Beta,454169494,6,0,6,Troopers: Veers Piett Starck Dark Trooper G10 Range Trooper G8
Ryzilio,626639748,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ryzilio,626639748,9,0,9,Grievous: GG G9 B2 G10 B1 Nute G10 MagnaGuard G10
Ryzilio,626639748,1,0,1,Dooku+Asajj: Dooku G11 AV
serChetnik,279986735,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
serChetnik,279986735,0,0,0,Dooku+Asajj: Dooku AV
serChetnik,279986735,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Whitezilla,123158749,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Whitezilla,123158749,1,0,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Whitezilla,123158749,0,0,0,Dooku+Asajj: Dooku AV
Whitezilla,123158749,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Enterthez,667311672,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Enterthez,667311672,0,0,0,Dooku+Asajj: Dooku AV
