Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Tamecula,577128238,2,0,2,Grievous: GG G11 B2 B1 Droideka G11 MagnaGuard
Tamecula,577128238,0,0,0,Dooku+Asajj: Dooku AV
Tamecula,577128238,4,0,4,Troopers: Veers Piett Starck Dark Trooper Range Trooper G8 6*
Tamecula,577128238,2,0,2,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy G11
Eternal sitch,522652534,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Eternal sitch,522652534,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Eternal sitch,522652534,19,0,19,Troopers: Veers G9 Piett G8 Gideon G9 Dark Trooper G8 Range Trooper G7
Eternal sitch,522652534,4,0,4,Dooku+Asajj: Dooku G8 AV
Nerve Gas,787571874,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nerve Gas,787571874,0,0,0,Dooku+Asajj: Dooku AV
Nerve Gas,787571874,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nerve Gas,787571874,8,0,8,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G7
Nomad,742228988,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Nomad,742228988,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Nomad,742228988,0,0,0,Dooku+Asajj: Dooku AV
Nomad,742228988,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Guihori,639674374,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Guihori,639674374,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Guihori,639674374,0,0,0,Dooku+Asajj: Dooku AV
Guihori,639674374,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
CóuntCrush18,277934547,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
CóuntCrush18,277934547,0,0,0,Dooku+Asajj: Dooku AV
vilanox,413347812,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
vilanox,413347812,1,0,1,Troopers: Veers Piett Starck G11 Dark Trooper Range Trooper
vilanox,413347812,0,0,0,Dooku+Asajj: Dooku AV
vilanox,413347812,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MattBerg757,864968452,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MattBerg757,864968452,0,0,0,Dooku+Asajj: Dooku AV
MattBerg757,864968452,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MattBerg757,864968452,8,0,8,Troopers: Veers Piett Starck Dark Trooper G7 6* Range Trooper G9
effewe,359844469,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
effewe,359844469,0,0,0,Dooku+Asajj: Dooku AV
effewe,359844469,5,0,5,Troopers: Veers Piett G10 Starck Dark Trooper Range Trooper G9
effewe,359844469,2,0,2,Geos: GBA Poggle Geo Soldier Sun Fac G10 Geo Spy
Gpa luis,544653239,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Gpa luis,544653239,0,0,0,Dooku+Asajj: Dooku AV
