Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
BA,285453629,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
BA,285453629,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux HYoda
BA,285453629,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
BA,285453629,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
BA,285453629,0,0,0,Seps (1%): Dooku Jango Nute Geo Spy GBA
BA,285453629,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
BA,285453629,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
BA,285453629,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Schembro,994614716,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Schembro,994614716,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Schembro,994614716,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
PV,129539635,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
PV,129539635,0,0,0,SEE P1 5%: SEE Malak Vader EP Sith Marauder
PV,129539635,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
PV,129539635,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Execute Order 69,743154738,0,0,0,Seps (1%): Dooku Jango MagnaGuard B2 GG
Execute Order 69,743154738,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Execute Order 69,743154738,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Execute Order 69,743154738,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
Execute Order 69,743154738,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pokey,839995558,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Pokey,839995558,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
Pokey,839995558,0,0,0,Seps (1%): Dooku Jango Nute GBA GG
Pokey,839995558,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
Pokey,839995558,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Pokey,839995558,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Pokey,839995558,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
CoffeeNCigarettes,343399131,0,0,0,Seps (1%): Dooku Jango Nute GBA GG
CoffeeNCigarettes,343399131,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
CoffeeNCigarettes,343399131,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
CoffeeNCigarettes,343399131,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
CoffeeNCigarettes,343399131,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
CoffeeNCigarettes,343399131,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Old Ben
CoffeeNCigarettes,343399131,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
CoffeeNCigarettes,343399131,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Aizenthalpic,921146124,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Aizenthalpic,921146124,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Aizenthalpic,921146124,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Aizenthalpic,921146124,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
Aizenthalpic,921146124,0,0,0,Seps (1%): Dooku Jango Nute GG B1
Aizenthalpic,921146124,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Aizenthalpic,921146124,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Aizenthalpic,921146124,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
TK2618,375869453,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
TK2618,375869453,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
TK2618,375869453,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
TK2618,375869453,0,0,0,Seps (1%): Dooku Jango Nute GG B1
TK2618,375869453,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
TK2618,375869453,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Yodizzle,611122258,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Yodizzle,611122258,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Yodizzle,611122258,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Yodizzle,611122258,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Yodizzle,611122258,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Yodizzle,611122258,0,0,0,SEE P1 5%: SEE Malak Darth Talon DR Sith Marauder
Yodizzle,611122258,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
MilHouse,245782881,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MilHouse,245782881,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MilHouse,245782881,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Old Ben
MilHouse,245782881,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
MilHouse,245782881,0,0,0,Seps (1%): Dooku Jango MagnaGuard Nute AV
MilHouse,245782881,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
MilHouse,245782881,0,0,0,SEE P1 5%: SEE Malak Darth Talon EP Sith Marauder
MilHouse,245782881,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MilHouse,245782881,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
MilHouse,245782881,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MilHouse,245782881,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
William Poyón,897851381,0,0,0,Seps (1%): Dooku Jango MagnaGuard GG B1
William Poyón,897851381,0,0,0,SEE P1 5%: SEE Malak Vader EP Sith Marauder
William Poyón,897851381,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
William Poyón,897851381,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
William Poyón,897851381,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
William Poyón,897851381,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Unclad,372639244,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Vader Sith Marauder
Unclad,372639244,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Starck
Unclad,372639244,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Unclad,372639244,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Unclad,372639244,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Unclad,372639244,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Unclad,372639244,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
CaptainCoom,791749373,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
CaptainCoom,791749373,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
CaptainCoom,791749373,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
CaptainCoom,791749373,0,0,0,Seps (1%): Dooku Jango Nute B2 GG
CaptainCoom,791749373,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
CaptainCoom,791749373,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
CaptainCoom,791749373,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthBolognese,139445371,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthBolognese,139445371,0,0,0,Seps (1%): Dooku Jango GBA GG AV
DarthBolognese,139445371,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
DarthBolognese,139445371,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
DarthBolognese,139445371,0,0,0,SEE P1 5%: SEE Malak EP Sith Marauder Darth Malgus
Donkey Kong,276523743,0,0,0,SEE P1 5%: SEE Malak EP DR Sith Marauder
Donkey Kong,276523743,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Donkey Kong,276523743,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Donkey Kong,276523743,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Donkey Kong,276523743,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
thcspitfire,155359364,0,0,0,Seps (1%): Dooku Jango MagnaGuard Nute GG
thcspitfire,155359364,0,0,0,SEE P1 5%: SEE Malak Vader EP Sith Marauder
Hootkins,193479255,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Hootkins,193479255,0,0,0,JKL + JML (6%): JKL JMLS JKA Mace Old Ben
Hootkins,193479255,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Hootkins,193479255,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Hootkins,193479255,0,0,0,Seps (1%): Dooku Jango Admiral Trench GBA GG
Hootkins,193479255,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hootkins,193479255,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Hootkins,193479255,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
El Capitan,114311819,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
