Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Saber Skills,436127364,14,0,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya R3
Hanshotfirst,979824842,20,0,20,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 6* Traya R1
Blazebot7000,798364712,15,0,15,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya R2
mugsy,796869384,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
dompizan,865799155,12,0,12,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor Traya G12
FRM,556111983,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
raza,344861713,9,0,9,Vader P1 10%: Vader KRU Wat Tambor G9 C-3PO Shaak Ti
C3MO,777719932,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
Mythical,493153462,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Business Time,646681643,27,0,27,Vader+Nute 12%: Vader Nute G13 Thrawn G12 Wat Tambor G12 Traya G8
DarthDoon,172176632,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Mateus Jak,382687224,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Hyrnia Strain,787129764,1,0,1,Vader+Nute 12%: Vader Nute Thrawn R4 Wat Tambor Traya
RiverCityJedi,717626934,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Gok,375636296,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Dos Tortugas,742786634,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Simph,197687411,13,0,13,Vader P1 10%: Vader KRU Wat Tambor G5 5* C-3PO Shaak Ti
Deathby1000,496365713,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Lakotnik,255771377,19,0,19,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G12
Ewokslayer,244318639,23,0,23,Vader+Wat 8%: Vader R3 EP G11 Thrawn G6 Wat Tambor Malak R3
SmallMexiFrys,686529498,8,0,8,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G10 Traya
ScoobyDooku,866981378,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Griz Man,864121897,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
E2d2,963426871,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Wes Harcrow,863582961,17,0,17,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R3 Traya G9
Dr med den Rasen,374798737,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nymeria,216667356,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Vodzkha,948833898,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor Traya G12
Ryiun,684362843,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
modestdinosaur,154874635,25,0,25,Vader+Nute 12%: Vader Nute G12 Thrawn R2 Wat Tambor G12 Traya G8
ZilloTea,461383831,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Nymeria II,759541265,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DeathComestoAll,536945656,25,0,25,Vader+Nute 12%: Vader Nute G9 Thrawn G10 Wat Tambor R3 Traya G12
DanMan1975,616179276,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Ardilla,552198166,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Donkey Kong Jr,936252887,10,0,10,Vader+Nute 12%: Vader Nute R2 Thrawn Wat Tambor G13 Traya R3
ishotfirst,463678449,16,0,16,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya R2
Starkiller3333,699566478,15,0,15,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G12 Traya G9
Haaly,537651678,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Tyler,388657195,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Crazy Skew,592863547,14,0,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya R3
Revanoch,926517113,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DarthCarmeedo,289538528,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Pyromancer,177264773,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Darדh Freeday,623218693,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Kynareth,733296396,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
mudhead3323,987664871,14,0,14,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G12 Traya
ReturnOfTheFett,889718432,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
CaptBlinky,152777395,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
NimueN,728665521,16,0,16,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G9 Traya R4
