Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
AndrewtheOtherHutt,873945644,7,0,7,127172,Shaak Ti R3 Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R3
Lepper Mesiah,164495314,33,0,33,97666,Shaak Ti G12 Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G11
Shrub R E,644735319,6,0,6,128267,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Giarny,266292125,10,0,10,124851,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Rocky94,612994668,6,0,6,138069,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Rednaxela,573577796,34,0,34,98252,Shaak Ti R1 Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G8
Ragnarock,138462562,17,0,17,112330,Shaak Ti R3 Fives Rex R3 Echo (501st) G12 ARC Trooper G11 4*
Hevy,284633488,0,0,0,136977,Shaak Ti Fives Rex Echo (501st) ARC Trooper
VicXav N201,956694922,0,0,0,139058,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Walto Dangrel,468333915,44,0,44,88544,Shaak Ti G11 Fives G9 Rex G11 Echo (501st) G8 ARC Trooper G7 4*
Xanlythe,694384282,58,0,58,43660,Shaak Ti G8 4* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Elric,883132925,53,0,53,62901,Shaak Ti G11 Fives G9 Rex G8 Echo (501st) G7 ARC Trooper G2 4*
Someguyinalabcoat,162251947,1,0,1,147024,Shaak Ti Fives Rex R4 Echo (501st) ARC Trooper
X688,675588514,70,0,70,28821,Shaak Ti G1 3* Fives G8 Rex G10 Echo (501st) G1 3* ARC Trooper G0 0*
DDizell,352755995,58,0,58,53375,Shaak Ti G1 Fives G11 Rex G11 Echo (501st) G8 ARC Trooper G1 4*
Pirate,738119284,28,0,28,109372,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
Atreus Klahan,525757151,20,0,20,109473,Shaak Ti R2 Fives G9 Rex G10 Echo (501st) ARC Trooper
Glorfindel,485438363,6,0,6,128628,Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Mort,819249838,0,0,0,143812,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bjconnell,978332594,25,0,25,111435,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
FruutSnak,934725735,6,0,6,126836,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Terus Rupesch,675942598,24,0,24,107052,Shaak Ti G12 Fives G12 Rex Echo (501st) G12 ARC Trooper G12
Staatz,313693615,0,0,0,135652,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Palo Rex,733128292,7,0,7,127101,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R4
MagicMike93,439428128,53,0,53,76031,Shaak Ti G12 Fives G10 Rex G8 Echo (501st) G7 ARC Trooper G0 0*
Jossey,216219957,55,0,55,50597,Shaak Ti G9 5* Fives G8 Rex G9 Echo (501st) G9 ARC Trooper G0 0*
Snoova,871483393,56,0,56,48922,Shaak Ti G7 5* Fives G8 Rex G10 Echo (501st) G9 ARC Trooper G0 0*
Cweneldic,591287488,6,0,6,133052,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Galaxy,137427682,45,0,45,74376,Shaak Ti G9 Fives G9 Rex G11 Echo (501st) G9 ARC Trooper G7
J Conn 79,195138126,37,1,36,87609,Shaak Ti G9 3* Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10
Jadizzo904,229724279,47,0,47,66550,Shaak Ti G8 Fives G10 Rex G8 Echo (501st) G9 ARC Trooper G8
RichiDePro,177115788,47,0,47,68550,Shaak Ti G8 5* Fives G10 Rex G8 Echo (501st) G9 ARC Trooper G8 6*
Ashoka Kessler,768869662,65,0,65,31040,Shaak Ti G4 3* Fives G9 Rex G6 Echo (501st) G6 ARC Trooper G0 0*
Danglylion,564513741,65,0,65,33758,Shaak Ti G1 3* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
DarthBac0nB1ts,222216785,22,0,22,105666,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
Stag,284335558,49,0,49,58362,Shaak Ti G8 Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G8
ozman,561499816,41,0,41,86014,Shaak Ti Fives G12 Rex G7 Echo (501st) G7 ARC Trooper G5
Z3R0,349651756,47,0,47,65647,Shaak Ti G8 Fives G8 Rex G10 Echo (501st) G9 ARC Trooper G8
Eldren,682479877,23,0,23,102256,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper G1 4*
Bowhunter49,416822923,32,0,32,84951,Shaak Ti G10 4* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
ChocolateGldNuts,881595812,63,0,63,44557,Shaak Ti G1 2* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G1
DarthVapeist,211786181,60,0,60,29706,Shaak Ti G6 2* Fives G9 Rex G7 Echo (501st) G8 ARC Trooper G0 0*
JTMoney II,525362867,58,0,58,66542,Shaak Ti G5 Fives G7 Rex G10 Echo (501st) G5 ARC Trooper G5
AndrewtheHutt,932895421,0,0,0,139568,Shaak Ti Fives Rex Echo (501st) ARC Trooper
