Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
O iTz LuCaS x,985738122,6,0,6,129771,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Ru Baruba Maral,441497244,30,0,30,98678,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Dannycool1987,757793912,55,0,55,59816,Shaak Ti G1 4* Fives G9 Rex G8 Echo (501st) G9 ARC Trooper G8
Jeff29,946424347,55,0,55,59780,Shaak Ti G10 Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Shaun,434694638,40,0,40,77994,Shaak Ti G9 Fives G10 Rex G12 Echo (501st) G11 ARC Trooper G8
Skinwalker,366878499,16,0,16,119827,Shaak Ti Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Slanted eyes,422784646,15,0,15,115723,Shaak Ti G9 Fives R4 Rex Echo (501st) R3 ARC Trooper R2
predator159,746531619,30,0,30,105380,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Kryshoff,336658674,40,0,40,89394,Shaak Ti G7 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G7
Barfolomew,745245749,50,0,50,60569,Shaak Ti G8 6* Fives G9 Rex G8 Echo (501st) G7 ARC Trooper G8
BassOdin,976321971,57,0,57,58906,Shaak Ti G1 5* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G7
MINIGoody,566753157,26,0,26,106822,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G11
Chance Stryker,672569894,23,0,23,111280,Shaak Ti G11 Fives R1 Rex R3 Echo (501st) R2 ARC Trooper G11
victorim,562154933,38,0,38,80196,Shaak Ti G11 6* Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G7 4*
San Holo,292321178,24,0,24,106079,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
BenHanSolo,833437735,17,0,17,113330,Shaak Ti G12 Fives R4 Rex R3 Echo (501st) G12 ARC Trooper R3
DarthCicatrices,178613736,54,0,54,55548,Shaak Ti G1 5* Fives G9 Rex G10 Echo (501st) G12 ARC Trooper G4 4*
Agent 47,918148185,36,0,36,92933,Shaak Ti G8 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
