Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Gman3D 2,369548148,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Anton360247,757167173,19,0,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Ro'bi wan,124599552,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
oogway,736683126,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Wolfenstien,431257189,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
GravelSK,496916323,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ThanosLeftHand,386556243,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Al Greaf,778479137,35,0,35,Vader+Nute 12%: Vader Nute G11 Thrawn R3 Wat Tambor G9 Traya G1
KailonTheGrey,445222445,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Walan Lamor,181994418,27,0,27,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 6* Traya G12
Ke Ke Mar,943347694,16,0,16,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R1 Traya G12
Curren,995319291,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Vaders Fist,128286681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DAGGOBILI,786851589,2,0,2,Vader P1 10%: Vader KRU Wat Tambor C-3PO R3 Shaak Ti
Shamgar,514487916,20,0,20,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya R3
HR dpt Chatty's division,959622351,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
FlibbidyDoo,872314944,22,0,22,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor R1 Traya G8
Da Conquering One,765966569,15,0,15,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G10 Traya G11
David,451567767,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Jader,446271891,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DarthScrimm,695948683,18,0,18,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G10 Traya
Frednerk,655585354,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor Traya G12
Schmuckk007,858274497,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
ClintonKilledEpstein,923593274,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Acesoka,668136538,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ATX ONE,659226473,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Rendash Arend,557291511,22,0,22,Vader+Nute 12%: Vader R3 Nute G10 Thrawn R1 Wat Tambor Traya G10
darthAnology,268848548,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Rui Vuusen,829415495,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Flyt,831894956,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Zem Malda,527394568,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthKailon,933888673,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
9th DOGG of SWAG,987179658,9,0,9,Vader+Nute 12%: Vader Nute Thrawn R4 Wat Tambor G11 Traya R4
Lars Quell,151487741,29,0,29,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G8 Wat Tambor Traya G7
ItsTurtleTime,876758471,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Ewoks Goin In Dry,448434423,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Mandalorion Jrnyman,126964277,33,0,33,Vader+Nute 12%: Vader Nute G5 Thrawn G8 6* Wat Tambor G8 Traya
Boyk Jhaatim,919177443,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Quiet killers,264181348,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya
RP,524758942,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Jcerillo70,177357652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Mordhelm,562791448,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BazookaJoe,282763552,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Holmahnootz,375133234,14,0,14,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya R3
knaggs1120,722718646,63,0,63,Vader+Nute 12%: Vader G13 Nute G1 Thrawn G11 Wat Tambor G1 Traya G1
Griffin,236743442,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kibleh Toht,512685275,21,0,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 Traya G12
Wrongfulpuppet,232337688,16,0,16,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya R3
