Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Belikeyeet610,519383251,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Enderhanced,736288516,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
ThatSwimmyBoi,773375616,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Oma Desala,512337883,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Oma Desala,512337883,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
FilthyFrogDog,422739188,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
FilthyFrogDog,422739188,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
JoeP,731186187,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
JoeP,731186187,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
JoeP,731186187,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
JoeP,731186187,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
JoeP,731186187,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
JoeP,731186187,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
E Rod,623687665,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
E Rod,623687665,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
E Rod,623687665,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
E Rod,623687665,0,0,0,SEE P1 5%: SEE Malak EP Sidious Sith Marauder
Xaven,779993281,0,0,0,SEE P1 5%: SEE Malak DR Dooku Sith Marauder
Xaven,779993281,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Xaven,779993281,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Xaven,779993281,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Xaven,779993281,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Xaven,779993281,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Hego Damask,573371427,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Hego Damask,573371427,0,0,0,SEE P1 5%: SEE Malak DR Darth Talon Sith Marauder
Dark Yoga,372413721,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Dark Yoga,372413721,0,0,0,SEE P1 5%: SEE Malak DR Sith Trooper Sith Marauder
Dark Yoga,372413721,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Dark Yoga,372413721,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Dark Yoga,372413721,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
TwoRedOneBlonde,391958232,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
TwoRedOneBlonde,391958232,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
TwoRedOneBlonde,391958232,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
TwoRedOneBlonde,391958232,0,0,0,Seps (1%): Dooku Jango B1 Droideka GBA
Infinity,532926137,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Lanke,414296723,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Lanke,414296723,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Jonnington,148748464,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Jonnington,148748464,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jonnington,148748464,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Jonnington,148748464,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
