Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
JoeP,731186187,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Vagabond12,957436722,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Tanis3463,891879236,17,0,17,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 Traya
Silver Skull,288223315,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Barsellius,154731479,24,0,24,Vader P1 10%: Vader KRU G8 5* Wat Tambor G10 6* C-3PO G12 Shaak Ti
Darker Saberlight,416992573,25,0,25,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G11 Traya G11
RobMaul226,964183179,10,0,10,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R1 Traya
dferb,146328566,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
MINI Marlex678,388278741,38,0,38,Vader+Nute 12%: Vader Nute G6 Thrawn G9 Wat Tambor G9 6* Traya G10
Ghana,824222598,12,0,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya R2
Leebo,898914357,16,0,16,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya R1
adamclark52,586229869,19,0,19,Vader+Nute 12%: Vader Nute G9 Thrawn R1 Wat Tambor Traya G12
Hego Damask,573371427,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Kaspa,217422451,24,0,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
Nihil Awakening,278136235,21,0,21,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G11 4* Traya G12
Oma Desala,512337883,9,0,9,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 6* Piett
Bearsfan4life34,347549235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Jonnington,148748464,21,0,21,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G8 6* Traya G7
Infinity,532926137,19,0,19,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G11 6* Traya R3
Gunner,443344877,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Enderhanced,736288516,39,0,39,Vader P1 10%: Vader G12 KRU G7 Wat Tambor G10 5* C-3PO G11 6* Shaak Ti G11 5*
Dark Yoga,372413721,9,0,9,Vader+Nute 12%: Vader Nute R1 Thrawn Wat Tambor R2 Traya R3
FilthyFrogDog,422739188,12,0,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Manhofung,564738937,8,0,8,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R3 Traya
Xaven,779993281,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ThatSwimmyBoi,773375616,13,0,13,Vader P1 10%: Vader G11 KRU Wat Tambor C-3PO G12 Shaak Ti
DLT35,969465438,14,0,14,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G12 Traya
lefty2,312726569,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
ObiWanWasabi,831946982,27,0,27,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor G10 Traya G12
Bex,968556754,17,0,17,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G12 Traya
Mol Slash,499445554,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya
Øzymandias Kîng of Kîngs,481592625,27,0,27,Vader P1 10%: Vader KRU G9 Wat Tambor G9 5* C-3PO BB-8 G9
AndyGoldsworthy,671862646,25,0,25,Vader P1 10%: Vader KRU Wat Tambor G1 C-3PO R3 Shaak Ti G12
Tsring,548578744,23,0,23,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G8
Lanke,414296723,31,0,31,Vader+Nute 12%: Vader Nute G11 Thrawn R1 Wat Tambor G9 4* Traya G7
E Rod,623687665,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
boom,774662168,46,0,46,Vader+Nute 12%: Vader G9 Nute G8 Thrawn G9 Wat Tambor G11 6* Traya G7
TwoRedOneBlonde,391958232,12,0,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Green Manalishi,232666641,10,0,10,Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor Traya
NippleLord,397519882,39,0,39,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G2 Traya G12
