Player,Offense,Defense,GP,Name,Squad,Viable
"Jet Maxwell III",,,176763,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG Tarkin",1
"Jet Maxwell III",,,172783,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Jet Maxwell III",,,163955,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan Boba",1
"Jet Maxwell III",,,540649,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Jet Maxwell III",,,181626,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Jet Maxwell III",1,0,154141,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Jet Maxwell III",,,463523,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Jet Maxwell III",,,330917,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Jet Maxwell III",0,1,114671,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Jet Maxwell III",,,405983,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Jet Maxwell III",1,0,125771,Traya,"zzTraya zDN zSion Sith Empire Trooper, zzThrawn",1
"Jet Maxwell III",0,1,128151,Grievous,"zzGG zB2 zB1 zMagnaGuard IG-88",1
"Jet Maxwell III",1,1,118111,JTR,"zzzJTR Scav Rey, BB-8 zzR2-D2 Finn G9",1
"Jet Maxwell III",1,1,83300,Ewoks,"zChirpa Elder Paploo Wicket G8, Logray",1
"Jet Maxwell III",1,0,145405,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Jet Maxwell III",0,1,138191,BH,"zzBossk zFennec Shand, Dengar Greedo Zam",1
"Jet Maxwell III",1,0,104867,Troopers,"zVeers zStarck Gideon zDark Trooper, Shoretrooper",1
"Jet Maxwell III",0,1,69126,Phoenix,"Hera G8, Kanan G8, Zeb G8, Sabine G8, Ezra",1
"Jet Maxwell III",1,1,66588,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"Jet Maxwell III",1,0,118835,QGJ,"QGJ Aayla zJKA zGK zAhsoka",1
"Jet Maxwell III",1,0,124229,EP (Counter, Rebel),"zzEP Krennic DT zzWampa zNest",1
"Jet Maxwell III",1,0,86657,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Jet Maxwell III",,,78273,Phasma,"Phasma G8, FOE FOO KRU Kylo G8",0
"Jet Maxwell III",1,1,88790,NS,"MT G8, zzAV Daka Zombie Spirit",0
"Jet Maxwell III",,,116724,Mon Mothma,"zMon Mothma, zKyle Katarn, Wedge Biggs Lando",0
"Jet Maxwell III",1,1,84514,Carth,"Carth Onasi, Mission zZaalbar Juhani Canderous G7",0
"Jet Maxwell III",0,1,114243,BH,"Jango Aurra Cad Greef Embo",0
"Jet Maxwell III",,,121845,Bad Batch,"zHunter zEcho zzOmega G9, zTech zWrecker",0
"Jet Maxwell III",0,1,130378,BS,"BS zzGMY zJolee Old Ben, zzHYoda",0
"Chatty",1,0,129082,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Chatty",0,1,120802,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"Chatty",0,1,127159,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Chatty",,,494694,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Chatty",0,1,105580,Grievous,"zzGG zB2 zB1 zDroideka IG-88",1
"Chatty",1,0,111178,Troopers,"zVeers zPiett Gideon Dark Trooper, Range Trooper",1
"Chatty",,,103964,Mon Mothma,"zzMon Mothma, zCara Dune, zPao Hoth Rebel Scout, Lando",1
"Chatty",1,1,163335,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Chatty",1,1,123182,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Chatty",1,1,70573,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray G9",1
"Chatty",0,1,103516,BH,"zBossk Jango Dengar Boba zGreef",1
"Chatty",1,1,93511,Carth,"Carth Onasi, zMission Zaalbar zJuhani Canderous",1
"Chatty",1,1,118380,zEP,"zzEP zzzVader Tarkin TFP zMara Jade, The Emperor's Hand",1
"Chatty",0,1,67862,Phoenix,"Hera G8, Kanan G8, Chopper G8, Zeb G8, Ezra G8",1
"Chatty",,,60691,Phasma,"Phasma G8, FOTP 4* FOSFTP 5* G7, FOST 5* G8, zKylo",0
"Chatty",0,1,91428,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Chatty",,,316606,HansMF,"Home One, Han's MF, Rebel Y-wing 4*, Bistan's U-wing 4*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Chatty",1,0,83883,Traya,"zzTraya DN Sion 5* G9, Dooku Thrawn",0
"Chatty",1,1,80110,NS,"MT G8, AV Daka Zombie Spirit",0
"Chatty",,,280861,Executrix,"Executrix Tie Adv, Emperor's Shuttle 5*, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter 4*, FOSF TIE Fighter 4*, FO TIE Fighter",0
"Chatty",,,63812,Iden Troopers,"zIden Versio, Shoretrooper 6* G8, Snowtrooper G8, Magma G7, DT G8",0
"Chatty",1,1,53429,Rogue1,"Jyn G8, Chirrut 5* G8, Baze 6* G8, K-2SO G8, Cassian G8",0
"Chatty",,,91365,Mando,"zzThe Mandalorian (Beskar Armor), Dash Rendar, Nest 4* G9, IG-11 zKuiil",0
