Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Chatty",623332958,5012735,3071367,1941368,158,48,238,336,1677926,1375386,84,1,209,0,176,24,49,78,99,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,14,10,7
"ManõWar",718134452,4123951,2410982,1712969,140,13,493,387,1303961,1107021,97,7,233,2,138,32,49,64,95,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,14,10,8
"T boy 3",259354979,5454733,3196625,2258108,141,-78,218,386,1655264,1540685,125,9,279,2,178,39,60,95,121,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,19,7,7
"mystic kai",895242639,5678870,3555148,2123722,167,-90,146,474,1831086,1724062,121,12,403,3,195,55,86,103,120,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,21,10,10
"Lex Naga",744987494,5908481,3324554,2583927,128,-224,367,373,1600835,1723719,112,4,328,2,200,45,64,91,109,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,17,7,7
"Dakaf Fyrewalker",319311646,11169485,6807876,4361609,156,-10,447,689,3622827,3150048,185,14,1525,7,301,222,231,234,239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,9
"Nall1986",557293475,8428686,4901499,3527187,138,103,418,461,2759874,2140949,191,7,644,5,272,97,117,143,176,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,25,9,12
"Nova51",713489383,7485118,4230933,3254185,130,-158,270,371,2106777,2124156,167,9,434,2,259,61,90,101,129,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,22,11,11
"AndySkywalker",347134145,7144758,4405301,2739457,160,-30,599,469,2333860,2070765,161,10,519,4,242,78,102,130,147,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,20,7,11
"Giran Kenor Twitchin",441134558,6008031,3118675,2889356,107,-137,290,387,1563713,1543873,107,3,373,2,204,56,67,91,101,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,16,4,6
