Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
乂ιρ,691737775,1,0,1,Grievous: GG B2 B1 Nute G11 MagnaGuard
乂ιρ,691737775,0,0,0,Dooku+Asajj: Dooku AV
乂ιρ,691737775,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
乂ιρ,691737775,1,0,1,Troopers: Veers Piett Starck Dark Trooper G11 6* Range Trooper
Neko,449267729,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Neko,449267729,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Neko,449267729,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Neko,449267729,2,0,2,Dooku+Asajj: Dooku AV G10
JRobertson12,221913824,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
JRobertson12,221913824,0,0,0,Dooku+Asajj: Dooku AV
JRobertson12,221913824,4,0,4,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
Bearzerker,224595239,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Bearzerker,224595239,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Bearzerker,224595239,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bearzerker,224595239,0,0,0,Dooku+Asajj: Dooku AV
Metatron72,588623761,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Metatron72,588623761,0,0,0,Dooku+Asajj: Dooku AV
Metatron72,588623761,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Metatron72,588623761,3,0,3,Troopers: Veers Piett Starck Dark Trooper Range Trooper G9
Ghost Nappa,365784761,0,0,0,Dooku+Asajj: Dooku AV
Ghost Nappa,365784761,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ghost Nappa,365784761,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Azza 2017,525689438,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Azza 2017,525689438,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Azza 2017,525689438,0,0,0,Dooku+Asajj: Dooku AV
Azza 2017,525689438,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ralthor,639153363,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ralthor,639153363,0,0,0,Dooku+Asajj: Dooku AV
Ralthor,639153363,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
KoninginKonan,968292886,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
KoninginKonan,968292886,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
KoninginKonan,968292886,0,0,0,Dooku+Asajj: Dooku AV
KoninginKonan,968292886,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Orion,951862265,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Orion,951862265,0,0,0,Dooku+Asajj: Dooku AV
Orion,951862265,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Orion,951862265,5,0,5,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G10
Zack,426488714,3,0,3,Grievous: GG B2 G10 B1 Nute G11 MagnaGuard
Zack,426488714,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zack,426488714,8,0,8,Troopers: Veers G11 Piett Gideon G9 Dark Trooper G11 6* Range Trooper G9
Zack,426488714,2,0,2,Dooku+Asajj: Dooku G10 AV
MasterShep2,332979431,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
MasterShep2,332979431,7,0,7,Troopers: Veers G11 Piett Starck G9 Dark Trooper Range Trooper G9
MasterShep2,332979431,3,0,3,Dooku+Asajj: Dooku G10 AV G11
