Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
esmith1153,736978576,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BenSwoloOnDBOL,871833824,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BenSwoloOnDBOL,871833824,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
TheMeanDean,579355186,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Orca,527193378,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Orca,527193378,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Orca,527193378,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MrTomChase24,674818227,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Mitsuki,844775351,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Mitsuki,844775351,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Yabba,439127848,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Coop,972228286,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Δ Vitiaté Δ,634879281,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Δ Vitiaté Δ,634879281,0,0,0,JKL + JML (6%): JKL JMLS Mace Ezra Old Ben
Δ Vitiaté Δ,634879281,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Sith Trooper
Δ Vitiaté Δ,634879281,0,0,0,SLKR+Wat (9%): SL Kylo Hux Wat Tambor KRU Thrawn
Δ Vitiaté Δ,634879281,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Δ Vitiaté Δ,634879281,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Δ Vitiaté Δ,634879281,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Δ Vitiaté Δ,634879281,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Δ Vitiaté Δ,634879281,0,0,0,Seps (1%): Dooku Jango Nute GG Sun Fac
MINI SgtGingerbeard,211844511,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MINI SgtGingerbeard,211844511,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
MINI SgtGingerbeard,211844511,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Chantelle Vetacious,842688545,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Chantelle Vetacious,842688545,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Chantelle Vetacious,842688545,0,0,0,Seps (1%): Dooku Jango GG B2 MagnaGuard
Chantelle Vetacious,842688545,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Chantelle Vetacious,842688545,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
Chantelle Vetacious,842688545,0,0,0,SEE P1 5%: SEE Malak DR Vader Sith Marauder
Chantelle Vetacious,842688545,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
theLeskiss,626646537,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Amaterasu,935596991,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Amaterasu,935596991,0,0,0,Seps (1%): Dooku Jango GG GBA B1
Amaterasu,935596991,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
Amaterasu,935596991,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Amaterasu,935596991,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Amaterasu,935596991,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Amaterasu,935596991,0,0,0,SEE P1 5%: SEE Malak EP Sith Marauder Darth Malgus
Xander,762457673,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Xander,762457673,0,0,0,JKL + JML (6%): JKL JMLS HYoda JKR Old Ben
WilsonJason,327282478,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
WilsonJason,327282478,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
SleepyKiIIer666,456111931,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Kate,483591584,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
TheMeanDean,579355186,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
GeneralBraxer'sio,773582248,37,0,37,p3: Imperial Troopers 5%: Veers G11 5* Piett G10 4* Starck G12 Range Trooper G11 5* Dark Trooper G9
Orca,527193378,7,0,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
Orca,527193378,6,0,6,p1: Padme 3%: Padme JKA GK Ahsoka C-3PO G12
BenSwoloOnDBOL,871833824,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
Yabba,439127848,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
Shayna Vetacious,391637392,9,0,9,p3: Imperial Troopers 5%: Veers Piett Gideon R2 Starck R3 Dark Trooper R1
Zephyr,297528578,10,0,10,p4: GG (2%): GG B1 R3 Droideka G12 B2 R3 MagnaGuard
Mitsuki,844775351,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
DumbNugget,755976984,22,0,22,p4: Rebels (2%): CLS R3 Chewbacca G12 Han R3 Chewpio G12 C-3PO G12
Coop,972228286,9,0,9,p1: Padme 3%: Padme R3 JKA R2 GK R3 Ahsoka R3 C-3PO
Barraza,479721254,26,0,26,p3: Vader+Wat 8%: Vader R4 EP Thrawn G9 Wat Tambor G9 4* Malak G11
Pickle rick,266133985,30,0,30,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G12 C-3PO G12
Pickle rick,266133985,30,0,30,p3: Imperial Troopers 5%: Veers G12 Piett G12 Starck G12 Range Trooper G12 Dark Trooper G12
Pickle rick,266133985,32,0,32,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G10 C-3PO G12
Galeforce,284743495,14,0,14,p1: Padme 3%: Padme R3 JKA R3 GK R3 Ahsoka R3 GMY G12
Galeforce,284743495,10,0,10,p2: Shaak 6%: Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Poppa Nugget,947679913,7,0,7,p4: Rebels (2%): CLS Chewbacca Han Chewpio G11 6* C-3PO
Megaroutte,899878853,22,0,22,p3: Vader+Wat 8%: Vader EP G12 Thrawn G11 Wat Tambor G9 4* Piett
theLeskiss,626646537,10,0,10,p4: Rebels (2%): CLS Chewbacca R3 Han Chewpio G12 C-3PO R3
theLeskiss,626646537,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Citizen Juicer,562445426,8,0,8,p4: Rebels (2%): CLS R4 Chewbacca R4 Han R3 Chewpio R3 C-3PO R3
Citizen Juicer,562445426,6,0,6,p1: Padme 3%: Padme R3 JKA GK Ahsoka R3 C-3PO R3
MINI SgtGingerbeard,211844511,19,0,19,p2: Imperial Troopers 5%: Veers R3 Piett Gideon G9 Range Trooper G12 Starck R3
Forsaken,757795424,34,0,34,p3: Vader+Wat 8%: Vader R3 EP G12 Thrawn G9 Wat Tambor G7 5* Malak G12
Forsaken,757795424,34,0,34,p1: Padme 3%: Padme G8 6* JKA G11 GK R1 Ahsoka G11 GMY G12
OnyXavier,637663384,26,0,26,p4: Rebels (2%): CLS R3 Chewbacca G12 Han G12 Chewpio G12 C-3PO G12
Obi Shinobi,399864143,32,0,32,p4: Rebels (2%): CLS R4 Chewbacca G11 Han G11 Chewpio G10 6* C-3PO G9 6*
Obi Shinobi,399864143,34,0,34,p3: Imperial Troopers 5%: Veers G11 Piett Gideon G9 Starck G9 Dark Trooper G9
Amaterasu,935596991,10,0,10,p3: Imperial Troopers 5%: Veers R3 Piett Gideon G12 Starck R3 Dark Trooper
Xander,762457673,19,0,19,p1: Vader P1 10%: Vader KRU G8 Wat Tambor G9 6* C-3PO Shaak Ti
mar5hmn9,294825966,19,0,19,p3: Shaak 6%: Shaak Ti G12 Fives R4 Rex R3 Echo (501st) G12 ARC Trooper R1
Szerahk,958343253,9,0,9,p4: Rebels (2%): CLS R4 Chewbacca Han Chewpio G12 C-3PO R3
Blackwing,654686582,35,0,35,p4: GG (2%): GG G12 B1 G11 6* Droideka G11 B2 G10 MagnaGuard G11
Blackwing,654686582,34,0,34,p3: BH 2%: Aurra G11 Greef G11 Bossk G11 Jango G12 Boba G11
Blackwing,654686582,33,0,33,p1: Padme 3%: Padme G9 JKA G12 GK G12 Ahsoka G12 GMY G12
Kate,483591584,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
esmith1153,736978576,11,0,11,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G7
MrTomChase24,674818227,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
MrTomChase24,674818227,5,0,5,p1: Padme 3%: Padme JKA GK Ahsoka R3 C-3PO R2
Desimo,642239495,40,0,40,p4: Seps (1%): Dooku G7 Jango G7 Geo Spy G12 GBA G12 Sun Fac G12
Bills Mafia,441664365,24,0,24,p1: Padme 3%: Padme G12 JKA G12 GK Ahsoka G12 GMY G12
Smashburger,776444483,23,0,23,p4: Rebels (2%): CLS Chewbacca G11 Han R3 Chewpio G10 5* C-3PO G12
Smashburger,776444483,21,0,21,p1: Padme 3%: Padme G12 JKA R3 GK Ahsoka G11 GMY G12
PJMaster,377989166,8,0,8,p4: Rebels (2%): CLS Chewbacca R3 Han R3 Chewpio R3 C-3PO R3
PJMaster,377989166,6,0,6,p1: Padme 3%: Padme R3 JKA GK Ahsoka R3 C-3PO R3
Peu Trid,631967535,10,0,10,p1: Padme 3%: Padme R3 JKA GK G12 Ahsoka GMY R3
JadenRaven,329564557,4,0,4,p4: Rebels (2%): CLS R3 Chewbacca Han Chewpio R3 R2-D2
Jotar0Kujoh,973886778,14,0,14,p3: Shaak 6%: Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Jotar0Kujoh,973886778,14,0,14,p1: Padme 3%: Padme R3 JKA GK Ahsoka G12 C-3PO G12
MINI Leskiss,112892133,15,0,15,p4: Rebels (2%): CLS Chewbacca R4 Han Chewpio G12 R2-D2 G10
Mol Ace,473196354,16,0,16,p3: Imperial Troopers 5%: Veers R3 Piett Gideon G12 Starck R3 Dark Trooper G12
Visigoth83,491397777,6,0,6,p4: Rebels (2%): CLS Chewbacca R3 Han Chewpio R3 C-3PO R3
GeneralSkywalker,628775779,37,0,37,p4: Seps (1%): Dooku G8 5* Jango G9 Geo Spy G12 GBA G12 Sun Fac G12
WastedNugget,478123696,45,0,45,p1: Padme 3%: Padme G9 JKA G10 GK G8 6* Ahsoka G10 R2-D2 G8
Hoshiyomi Gaming,729762928,38,0,38,p4: Rebels (2%): CLS G12 Chewbacca G11 Han G12 Chewpio G8 3* R2-D2 G9
Hoshiyomi Gaming,729762928,41,0,41,p1: Padme 3%: Padme G9 JKA G11 GK G9 5* Ahsoka G11 GMY G9
Jak Frey,692973843,23,0,23,p4: Rebels (2%): CLS R2 Chewbacca G13 Han G13 Chewpio G13 C-3PO G13
WilsonJason,327282478,24,0,24,p2: Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor G9 4* Traya
Prolox150,784616867,30,0,30,p1: Padme 3%: Padme G9 JKA R4 GK G11 Ahsoka G11 GMY G12
Darkside Dad,551997198,14,0,14,p3: BH 2%: Aurra G12 Greef G12 Bossk Jango R3 Boba
Darkside Dad,551997198,1,0,1,p4: Rebels (2%): CLS R4 Chewbacca Han Chewpio R2-D2
SleepyKiIIer666,456111931,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
