Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Leon Ren,985954318,0,0,0,Dooku+Asajj: Dooku AV
Leon Ren,985954318,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
sergio,836754695,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
sergio,836754695,19,0,19,Grievous: GG G9 B2 G7 B1 G8 Droideka G8 MagnaGuard G9
sergio,836754695,2,0,2,Dooku+Asajj: Dooku G11 AV G11
TheFoilGuy,386266546,0,0,0,Dooku+Asajj: Dooku AV
TheFoilGuy,386266546,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheFoilGuy,386266546,2,0,2,Grievous: GG G10 B2 B1 Nute MagnaGuard
TheFoilGuy,386266546,6,0,6,Troopers: Veers Piett G11 6* Starck Dark Trooper G7 5* Range Trooper
noobhemingway,374693456,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
noobhemingway,374693456,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
noobhemingway,374693456,11,0,11,Troopers: Veers G11 Piett G9 Gideon G10 Dark Trooper G10 Range Trooper G9
noobhemingway,374693456,1,0,1,Dooku+Asajj: Dooku G11 AV
Jangboba,947252962,4,0,4,Dooku+Asajj: Dooku AV G8
Jangboba,947252962,8,0,8,Geos: GBA G11 Poggle Geo Soldier Sun Fac G9 Geo Spy G8
Enderz,884897336,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Enderz,884897336,0,0,0,Dooku+Asajj: Dooku AV
Enderz,884897336,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Lightning12368,735129825,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8 5*
Vorok,414553355,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Vorok,414553355,0,0,0,Dooku+Asajj: Dooku AV
Vorok,414553355,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Wonkee,541196571,0,0,0,Dooku+Asajj: Dooku AV
