Player,Offense,Defense,GP,Name,Squad,Viable
"L0RD SAVITAR",0,1,137514,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"L0RD SAVITAR",0,1,116854,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8",1
"L0RD SAVITAR",,,391059,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"L0RD SAVITAR",0,1,91695,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"L0RD SAVITAR",1,0,95072,Traya,"zzTraya DN G8, zSion Sith Empire Trooper G8, zzThrawn",1
"L0RD SAVITAR",0,1,109210,Grievous,"zGG zB2 zB1 zDroideka zMagnaGuard",1
"L0RD SAVITAR",,,94908,Nute-Wat,"zNute G9, zDooku zWat Tambor G9, zJango zNest G9",1
"L0RD SAVITAR",1,1,136376,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda",1
"L0RD SAVITAR",1,1,88054,Ewoks,"zChirpa Elder zPaploo G9, zWicket zLogray",1
"L0RD SAVITAR",0,1,97466,BH,"zzBossk Dengar G9, Boba Greedo G9, Cad",1
"L0RD SAVITAR",1,1,94248,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"L0RD SAVITAR",1,1,125509,zEP,"zzEP zzzVader Tarkin TFP G8, zzMara Jade, The Emperor's Hand",1
"L0RD SAVITAR",0,1,71201,Phoenix,"zHera G8, Ezra G8, Zeb G8, Kanan G8, Sabine G8",1
"L0RD SAVITAR",,,75097,Phasma,"Phasma G9, FOTP G9, FOSFTP G7, FOST G9, zKylo",0
"L0RD SAVITAR",,,422198,Negotiator,"Negotiator 5* BTL-B Y-wing 5*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"L0RD SAVITAR",1,0,115956,CLS,"zzzCLS zHan zzChewbacca zR2-D2 zChewpio",0
"L0RD SAVITAR",1,1,90998,NS,"zMT zzAV Daka G9, Zombie Spirit G8",0
"L0RD SAVITAR",,,257188,Malevolence,"Malevolence 6* Hyena Bomber, Vulture Droid 2*, Sun Fac SF, Soldier SF, Spy SF",0
"L0RD SAVITAR",,,380531,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"L0RD SAVITAR",1,0,66039,Troopers,"zVeers Piett 6* G8, zzGideon G8, Dark Trooper 5* G4, Range Trooper 6* G6",0
"L0RD SAVITAR",1,1,86340,GAS,"zGAS 5* G8, zRex zEcho (501st) G8, zzFives ARC Trooper G8",0
