Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Pkunk",925263588,4508544,2616716,1891828,138,44,108,141,1450685,1164357,48,0,48,0,206,5,12,42,74,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,9,6
"Noob",947698333,9078598,5403471,3675127,147,-3,358,502,2926615,2465689,227,5,724,6,279,103,138,173,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,10,10
"OriginalSin",655548929,4858199,2862089,1996110,143,2,88,212,1553723,1301349,85,2,85,0,189,11,24,62,76,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,12,9,4
"Rebel78",883592965,4564557,2608333,1956224,133,2,92,318,1419289,1188368,71,2,202,1,184,31,41,64,82,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,12,10,5
"SUMPTER THE HUT",786696155,2091339,1348019,743320,181,-178,11,200,673123,674896,17,3,35,0,65,2,12,23,37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"Magnar argorn",694122251,4796018,2689590,2106428,127,231,301,365,1616384,1073206,89,5,272,1,176,40,55,66,84,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,15,7,6
"Corepike",492187112,3024022,1610229,1413793,113,-411,265,275,711110,899119,31,5,126,1,117,19,24,34,56,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,4,4
"bobafett69",213332326,3151736,1788175,1363561,131,-575,112,255,716625,1071550,49,3,117,1,102,17,23,34,48,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,6,5,3
"The Frozen One",429155696,5283058,2878511,2404547,119,-261,202,272,1377563,1500272,81,7,206,1,178,23,44,59,84,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,17,8,9
"Joshkj",491324291,4252035,2566829,1685206,152,-123,44,252,1315221,1249183,62,4,97,1,159,11,29,59,80,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12,8,7
"Damask Holdings",628389113,3180531,1931943,1248588,154,218,122,202,1154879,777064,33,5,82,0,129,13,18,30,50,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9,6,3
"Caminator",316517664,3048184,1815565,1232619,147,27,242,386,999178,816387,46,1,154,0,117,27,29,58,68,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,11,8,5
"Pluto",913562976,3326291,1838008,1488283,123,-253,216,263,883805,954203,57,1,114,1,122,14,23,42,59,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,8,5,4
"DarthCarbonara",627877888,2905051,1541280,1363771,113,284,193,327,946547,594733,35,3,156,2,100,24,30,34,42,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,3,2
"PrimarchHades",793647289,6835328,3987098,2848230,139,-114,113,331,2050377,1929179,172,7,244,1,250,32,63,115,129,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,24,13,10
