Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Vermanu Obeebis,277971264,3,0,3,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior G7 URoRRuR'R'R
OriginalSin,655548929,2,0,2,L0 BAM: The Mandalorian (Beskar Armor) Jango G6 Cad The Mandalorian Embo
OriginalSin,655548929,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7
Hatton,755731115,4,0,4,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R G7
Corepike,492187112,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) Jango G11 Cad The Mandalorian G11 Greedo G9
Shadow13,822421553,12,0,12,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G11 Cad G11 The Mandalorian G10 Greedo G8
xXDaChipXx,217292438,7,0,7,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G1
Donkles,428444836,6,0,6,L1 Tuskens: Tusken Chieftain G10 5* Tusken Raider G10 Tusken Shaman Tusken Warrior G11 6* URoRRuR'R'R G11
Donkles,428444836,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) Jango G9 Cad The Mandalorian Greedo G8 6*
Death2MC,766619493,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G8
Death2MC,766619493,1,0,1,L0 Maul: Maul Sabine Bo-Katan Canderous Armorer G7 5*
Death2MC,766619493,2,0,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa G7
Folos,398344769,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Folos,398344769,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G8 Greedo
prettyhatemachine,882761145,6,0,6,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G10 Greedo G8
prettyhatemachine,882761145,10,0,10,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G2 Tusken Shaman G6 6* Tusken Warrior G6 3* URoRRuR'R'R
