Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Folos,398344769,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Folos,398344769,17,17,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Folos,398344769,11,11,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Folos,398344769,34,34,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rebel78,883592965,6,6,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Rebel78,883592965,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Rebel78,883592965,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Rebel78,883592965,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
xXDaChipXx,217292438,2,2,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
zohaib24,513357243,12,12,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
llandro,478895559,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
llandro,478895559,50,50,0,Padme 3%: Padme JKA GK Ahsoka GMY
llandro,478895559,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
llandro,478895559,46,46,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Shalien,717273842,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Shalien,717273842,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Shalien,717273842,3,3,0,Padme 3%: Padme JKA GK Ahsoka CAT
Corepike,492187112,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Rugess Nome,239575313,28,28,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Rugess Nome,239575313,51,51,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
AtomPlays,724255859,1,1,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lilboivig,531314937,7,7,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Donkles,428444836,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Qex,654613761,26,26,0,Padme 3%: Padme JKA GK Ahsoka GMY
Qex,654613761,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
Qex,654613761,39,39,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
