Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mecha,318634765,34,9,25,Vader+Nute 12%: Vader Nute G10 Thrawn R3 Wat Tambor G9 5* Traya G12
Torin Woodle,625239834,42,33,9,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 Piett
Matryckol,154613492,13,7,6,Vader P1 10%: Vader KRU Wat Tambor G12 C-3PO BB-8
Shadow13,822421553,29,2,27,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G7 5* Traya G9
Woggex,437342655,28,5,23,Vader+Nute 12%: Vader Nute G11 Thrawn R1 Wat Tambor G12 Traya G12
DarthTalon,387869794,24,6,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Løck,329813995,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Corgibuttz,335132241,24,12,12,Vader P1 10%: Vader KRU G12 Wat Tambor G12 C-3PO Shaak Ti
zohaib24,513357243,36,12,24,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G7 Traya G12
gungan warrior,368646154,30,7,23,Vader+Wat 8%: Vader EP R1 Thrawn R1 Wat Tambor G3 5* Piett
crimzon,488955995,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
llandro,478895559,24,11,13,Vader P1 10%: Vader KRU Wat Tambor G5 C-3PO Shaak Ti
Folos,398344769,41,18,23,Vader+Nute 12%: Vader Nute G9 Thrawn G11 Wat Tambor Traya G11
Dixie Normus,323696396,27,0,27,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G8 5* Traya G12
Pkunk,925263588,31,2,29,Vader+Nute 12%: Vader R4 Nute G9 Thrawn G12 Wat Tambor G12 Traya G11
3CPO ConfusingHumanRelations,642448877,20,5,15,Vader P1 10%: Vader KRU Wat Tambor G9 C-3PO Shaak Ti G12
Corepike,492187112,21,2,19,Vader P1 10%: Vader KRU Wat Tambor G9 6* C-3PO BB-8 G8
Tiric Thorn,122955923,27,4,23,Vader P1 10%: Vader KRU G8 5* Wat Tambor G9 6* C-3PO Shaak Ti R1
Turbo Mooch,289645136,28,2,26,Vader+Nute 12%: Vader Nute G6 Thrawn Wat Tambor G10 Traya G12
Whisk,383428245,43,3,40,Vader+Nute 12%: Vader Nute G7 Thrawn G9 Wat Tambor G8 6* Traya G8
xXDaChipXx,217292438,30,0,30,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G9 6* Traya G7
Magnar argorn,694122251,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Revanur,278546959,22,0,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 Traya G12
GamerXD246,221338795,48,18,30,Vader+Nute 12%: Vader Nute G5 Thrawn G9 Wat Tambor G10 6* Traya
AtomPlays,724255859,34,4,30,Vader+Nute 12%: Vader Nute G11 Thrawn G9 Wat Tambor G10 5* Traya G12
Damask Holdings,628389113,43,10,33,Vader+Nute 12%: Vader Nute G1 Thrawn G11 Wat Tambor G9 6* Traya
prettyhatemachine,882761145,23,6,17,Vader P1 10%: Vader KRU Wat Tambor G12 C-3PO R3 BB-8 G9
Rugess Nome,239575313,36,1,35,Vader+Nute 12%: Vader Nute G10 Thrawn G7 Wat Tambor G8 6* Traya G12
Qex,654613761,20,1,19,Vader P1 10%: Vader KRU G8 Wat Tambor G9 6* C-3PO Shaak Ti
Effinsyv,887724713,32,1,31,Vader+Nute 12%: Vader Nute G9 Thrawn R2 Wat Tambor G9 Traya G8
DarthMacaroni,647763694,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Noob,947698333,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Donkles,428444836,35,13,22,Vader P1 10%: Vader KRU Wat Tambor G9 6* C-3PO G12 BB-8 G11
MiniTwodamax,849554491,43,13,30,Vader+Nute 12%: Vader Nute G8 Thrawn G8 Wat Tambor Traya G8
OriginalSin,655548929,48,14,34,Vader+Nute 12%: Vader G12 Nute G12 Thrawn G12 Wat Tambor G8 Traya G12
Darr Mejhan,871838931,30,0,30,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G11 6* Traya G9
Hatton,755731115,32,1,31,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G8 Traya G7
Death2MC,766619493,36,15,21,Vader+Nute 12%: Vader Nute G11 Thrawn G13 Wat Tambor Traya G9
TheEmpress,842227845,24,7,17,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya G12
PrimarchHades,793647289,16,2,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R1 Traya R1
GhostSurfer,749847446,36,6,30,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor G10 Traya G9
Shalien,717273842,24,4,20,Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor G12 Traya R1
The Frozen One,429155696,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
