Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
PrimarchHades,793647289,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Revanur,278546959,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Revanur,278546959,59,51,8,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma G10 Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Matryckol,154613492,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Matryckol,154613492,57,57,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
SUMPTER THE HUT,786696155,54,15,39,Sith Eternal Emperor: EP R5 Vader RG Piett G12 Krennic G12 Sidious G13 Darth Maul Dooku R2 Sith Marauder G12 Imperial TIE Bomber 5* JKA R3 Thrawn R3 Tarkin Veers Starck
Donkles,428444836,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Hyper Revanur,474854236,55,45,10,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper G12 Vet Han G12 EP Finalizer 0*
llandro,478895559,32,32,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Death2MC,766619493,52,0,52,Jedi Master Kenobi: GK R7 Bo-Katan G9 5* Aayla G12 Mace G12 Negotiator GG R5 Wat Tambor G11 6* MagnaGuard R2 Clone Sergeant G12 QGJ GMY R7 Jango R2 Shaak Ti R5 Cad Cody G12
Death2MC,766619493,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Magnar argorn,694122251,52,0,52,Jedi Master Kenobi: GK R7 Bo-Katan G12 Aayla G12 Mace G12 Negotiator GG Wat Tambor R5 MagnaGuard Clone Sergeant G10 QGJ G12 GMY R5 Jango G12 Shaak Ti R5 Cad Cody G8
Magnar argorn,694122251,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
DarthCarbonara,627877888,46,46,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
DarthCarbonara,627877888,58,58,0,Rey: JTR R2-D2 C-3PO 0* BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
