Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
The Frozen One,429155696,10,10,0,GAS Special: GAS Ahsoka
The Frozen One,429155696,14,14,0,CLS: CLS Han Chewbacca Chewpio C-3PO
The Frozen One,429155696,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Qex,654613761,8,8,0,GAS Special: GAS Ahsoka
Qex,654613761,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
TheEmpress,842227845,9,9,0,GAS Special: GAS Ahsoka
TheEmpress,842227845,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
TheEmpress,842227845,0,0,0,JKL: JKL HYoda JMLS JKR GK
TheEmpress,842227845,2,2,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
TheEmpress,842227845,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Shadow13,822421553,5,0,5,GAS Special: GAS G11 6* Ahsoka
Shadow13,822421553,16,0,16,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
Turbo Mooch,289645136,20,19,1,Finn: Finn RT RH Finn RH Poe JTR
Vermanu Obeebis,277971264,7,7,0,GAS Special: GAS Ahsoka
Vermanu Obeebis,277971264,20,2,18,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G10 C-3PO
Vermanu Obeebis,277971264,16,14,2,Shaak Ti: Shaak Ti Rex Echo (501st) R2 ARC Trooper R2 Fives
Revanur,278546959,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Revanur,278546959,0,0,0,JKL: JKL HYoda JMLS JKR GK
Revanur,278546959,16,8,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Caminator,316517664,9,9,0,GAS Special: GAS Ahsoka
Caminator,316517664,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Caminator,316517664,15,7,8,JKL: JKL HYoda GMY G12 Jolee G12 GK
Caminator,316517664,20,16,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Noob,947698333,0,0,0,GAS Special: GAS Ahsoka
Noob,947698333,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Noob,947698333,0,0,0,JKL: JKL HYoda GMY Jolee GK
Noob,947698333,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
