Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Pkunk,925263588,29,26,3,129239,Padme JKA Ahsoka GK GMY R2
Noob,947698333,0,0,0,156686,Padme JKA Ahsoka GK GMY
OriginalSin,655548929,29,5,24,115613,Padme G12 JKA G10 Ahsoka R1 GK GMY G12
Rebel78,883592965,40,34,6,133969,Padme JKA Ahsoka GK GMY G12
SUMPTER THE HUT,786696155,68,41,27,90294,Padme G9 JKA R3 Ahsoka G12 GK R1 GMY G12
Magnar argorn,694122251,0,0,0,136128,Padme JKA Ahsoka GK GMY
Corepike,492187112,42,1,41,74201,Padme G10 JKA G11 Ahsoka G10 GK G7 GMY G11
bobafett69,213332326,36,3,33,98271,Padme G8 JKA Ahsoka G12 GK G8 GMY G11
The Frozen One,429155696,35,33,2,136815,Padme JKA Ahsoka R3 GK GMY
Joshkj,491324291,47,32,15,116853,Padme R3 JKA R4 Ahsoka R2 GK R2 GMY G12
Damask Holdings,628389113,54,1,53,54880,Padme G1 JKA G8 5* Ahsoka G8 GK G9 GMY G11
Caminator,316517664,68,62,6,121465,Padme JKA Ahsoka GK GMY G12
Pluto,913562976,33,27,6,130430,Padme JKA Ahsoka GK GMY G12
DarthCarbonara,627877888,69,3,66,27689,Padme G0 0* JKA G8 5* Ahsoka G11 GK G1 5* GMY G4
PrimarchHades,793647289,31,5,26,108385,Padme R1 JKA G12 Ahsoka G12 GK R1 GMY G12
prettyhatemachine,882761145,55,52,3,134997,Padme JKA Ahsoka R4 GK GMY R3
Qex,654613761,26,26,0,130948,Padme JKA Ahsoka GK GMY
Torin Woodle,625239834,84,29,55,51853,Padme G1 JKA G11 4* Ahsoka G10 GK G8 GMY G5
GhostSurfer,749847446,13,6,7,127867,Padme JKA Ahsoka GK GMY G11
3CPO ConfusingHumanRelations,642448877,34,34,0,133596,Padme JKA Ahsoka GK GMY
Shalien,717273842,7,7,0,150257,Padme JKA Ahsoka GK GMY
Mecha,318634765,14,14,0,133798,Padme JKA Ahsoka GK GMY
TheEmpress,842227845,10,5,5,128694,Padme JKA Ahsoka GK GMY G13
Jubba,748169754,60,50,10,121620,Padme JKA R4 Ahsoka R4 GK GMY G10
Revanur,278546959,15,9,6,131535,Padme JKA Ahsoka GK GMY G12
Hatton,755731115,58,28,30,99145,Padme G10 JKA Ahsoka G11 GK G11 GMY G10
Turbo Mooch,289645136,40,11,29,89135,Padme G8 JKA Ahsoka G11 GK G12 GMY G12
Whisk,383428245,58,51,7,121922,Padme JKA Ahsoka GK GMY G11
zohaib24,513357243,50,35,15,118591,Padme R3 JKA Ahsoka G11 GK R2 GMY R2
llandro,478895559,69,62,7,133323,Padme JKA Ahsoka GK GMY G11
Death2MC,766619493,6,0,6,133950,Padme R2 JKA R4 Ahsoka R3 GK GMY
Løck,329813995,0,0,0,148465,Padme JKA Ahsoka GK GMY
MiniTwodamax,849554491,45,45,0,130117,Padme JKA Ahsoka GK GMY
Matryckol,154613492,24,16,8,122663,Padme JKA Ahsoka GK GMY G10
Folos,398344769,23,17,6,126370,Padme JKA Ahsoka GK GMY G12
Pell,936476514,48,42,6,130830,Padme JKA Ahsoka GK GMY G12
gungan warrior,368646154,52,16,36,85191,Padme G9 JKA Ahsoka G8 GK G7 GMY G12
Tiric Thorn,122955923,57,49,8,118970,Padme JKA Ahsoka GK GMY G10
Richmal,414213241,54,48,6,123305,Padme JKA Ahsoka GK GMY G12
L0RD SAVITAR,767465911,0,0,0,136233,Padme JKA Ahsoka GK GMY
Rugess Nome,239575313,65,57,8,121819,Padme JKA Ahsoka GK GMY G10
Effinsyv,887724713,15,13,2,134278,Padme JKA Ahsoka GK GMY R3
Jabbaa Da Shrutt,699467699,50,16,34,86120,Padme G11 6* JKA G8 6* Ahsoka G11 GK G9 GMY R4
GamerXD246,221338795,77,20,57,50926,Padme G7 JKA G5 3* Ahsoka G8 GK G6 GMY G7
DarthMacaroni,647763694,0,0,0,159767,Padme JKA Ahsoka GK GMY
xXDaChipXx,217292438,30,0,30,97331,Padme G9 JKA R3 Ahsoka G11 GK G12 GMY G12
Hyper Revanur,474854236,54,47,7,122510,Padme JKA Ahsoka GK GMY G11
Corgibuttz,335132241,31,22,9,121391,Padme JKA Ahsoka GK GMY G9
Lilboivig,531314937,54,48,6,126086,Padme JKA Ahsoka GK GMY G12
