Player,Offense,Defense,GP,Name,Squad,Viable
"Kushbender",,,170620,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Kushbender",,,123211,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Kushbender",1,1,157483,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Kushbender",,,159680,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Kushbender",1,1,161742,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Kushbender",1,1,106113,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Kushbender",,,175585,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Kushbender",1,0,145931,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Kushbender",,,494121,Negotiator,"Negotiator BTL-B Y-wing 6*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Kushbender",,,402148,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Kushbender",0,1,94486,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Kushbender",0,1,132010,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Kushbender",,,107850,Disintegration,"zzAurra Greef zBoba zzBossk zzThe Mandalorian",1
"Kushbender",,,109637,Mon Mothma,"zzMon Mothma, Lando Biggs Cara Dune, Wedge",1
"Kushbender",1,1,93255,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"Kushbender",1,1,92241,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"Kushbender",0,1,116196,BH,"zzJango zGreedo zzEmbo Cad Dengar G9",1
"Kushbender",1,0,129375,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"Kushbender",0,1,91746,Phoenix,"Hera Sabine zKanan zEzra Zeb",1
"Kushbender",1,0,126506,zMaul,"zDarth Maul, zDooku zSidious Savage Sith Marauder",1
"Kushbender",1,0,120832,EP (Counter, Rebel),"zzEP zKrennic DT G8, zzWampa zStarck",1
"Kushbender",,,277920,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
"Kushbender",1,0,57030,Traya,"zTraya DN G9, Sion G6, Sith Empire Trooper G5, Nest G5",0
"CommanderCattail",1,1,96509,NS,"zzMT zAV zDaka Zombie Spirit",1
"CommanderCattail",0,1,136103,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"CommanderCattail",0,1,111530,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
