Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Yasie Qui",347197687,6329966,3726910,2603056,143,-87,334,399,1927558,1798901,138,8,393,3,222,56,76,98,116,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,15,3,5
"Snipesum",355457861,6208459,3703427,2505032,147,-12,370,434,1984532,1718895,146,13,450,3,200,73,78,102,134,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,18,7,8
"Quidamlefou",461462591,6186485,3619455,2567030,140,136,108,337,2073489,1545290,118,3,268,2,224,28,56,99,126,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,21,9,10
"Cenistan",316195644,6868814,3804517,3064297,124,-70,184,456,1984356,1820161,147,7,449,3,226,63,100,124,144,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,22,8,9
"Lone Starr",461368524,6499614,3828443,2671171,143,143,250,408,2200026,1628417,160,5,388,3,230,51,82,106,123,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,21,8,10
"Th3 S3rg34nt",343993697,7039744,4088239,2951505,138,173,273,404,2379985,1708254,163,6,463,3,234,71,85,107,130,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,21,7,7
"Reylo Jakkusolo",959357135,6922325,4091128,2831197,144,186,61,305,2387320,1690694,147,5,279,3,244,39,60,96,125,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,16,9,9
"Killbaza",276969236,6006152,3667551,2338601,156,-77,44,328,1903907,1759969,124,7,278,1,200,40,52,90,110,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,16,7,8
"Boshund",476923873,7414826,4303213,3111613,138,-40,237,369,2275583,2027630,176,8,385,2,250,47,82,115,148,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,23,7,9
"Sammy TF1",866892379,4197070,2582925,1614145,160,90,41,264,1448896,1131121,95,3,131,0,158,16,35,50,62,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4
