Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Wayne brady,636166686,33,14,19,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G11 6* Traya R3
Lance,891594698,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Philly,116594681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
EvolutionX,457734974,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
ID2618,755372417,27,0,27,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G11 Traya G11
JeyLuckiDarkLord,835762411,11,11,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Phdrlord,933247926,42,9,33,Vader+Nute 12%: Vader Nute G12 Thrawn G9 Wat Tambor G10 Traya G8
Snipesum,355457861,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Pale Mandius,297974276,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nd volk,647746167,27,15,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Cenistan,316195644,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthGideon,588758768,39,7,32,Vader+Nute 12%: Vader Nute G7 Thrawn G12 Wat Tambor G9 Traya G12
Veskasa Starblazer,987221192,35,7,28,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G9 5* Traya G8
Timber,273814442,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Goob,451421324,37,13,24,Vader+Nute 12%: Vader Nute G11 Thrawn R2 Wat Tambor G10 Traya G12
TomServo3K,691942843,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Scorn,881485362,14,14,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Boshund,476923873,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
ぱんどら,832179698,50,14,36,Vader+Nute 12%: Vader Nute G8 Thrawn G7 Wat Tambor G9 Traya G12
Killbaza,276969236,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Pacojonezl40,556288426,15,2,13,Vader+Nute 12%: Vader Nute G12 Thrawn G13 Wat Tambor Traya R3
Grampa Tim,743537648,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
AJ,134248776,28,6,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya G12
JohnDakar,365993735,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Walliamen,121156657,30,12,18,Vader+Nute 12%: Vader Nute Thrawn G10 Wat Tambor G12 Traya R1
ThatOneGuy,972628741,23,1,22,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G11 6* Traya G11
Bad Fish,314563379,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Reylo Jakkusolo,959357135,37,10,27,Vader+Nute 12%: Vader R2 Nute G10 Thrawn G12 Wat Tambor Traya G8
Bly,359469122,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Kushbender,427761749,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kal Derros,874465412,31,9,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 Traya G9
SliickMoose,493737815,30,18,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor Traya G12
Th3 S3rg34nt,343993697,29,9,20,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor Traya G11
Beric,953382922,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Lone Starr,461368524,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Sammy TF1,866892379,54,4,50,Vader+Nute 12%: Vader Nute G5 Thrawn G8 5* Wat Tambor G5 Traya G4
Baron Salis,495736288,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
eleven rule,821573964,31,5,26,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G12 Traya G11
Swamp,343599234,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
CommanderCattail,359665614,6,0,6,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G12 Piett
Kamu Teeltoo,711928393,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Quidamlefou,461462591,33,13,20,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 Traya G12
Alexandder,266693162,32,12,20,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor Traya G12
Yasie Qui,347197687,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Battlelord,597311355,17,5,12,Vader+Nute 12%: Vader R3 Nute R1 Thrawn R3 Wat Tambor Traya R1
okeefechris,463248232,25,12,13,Vader+Nute 12%: Vader Nute R3 Thrawn Wat Tambor R3 Traya G9
