Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
JohnDakar,365993735,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
JohnDakar,365993735,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
JohnDakar,365993735,53,53,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
JohnDakar,365993735,59,54,5,Supreme Leader Kylo Ren: KRU Kylo FOST R4 FOE FOO R1 FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
okeefechris,463248232,58,58,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Battlelord,597311355,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Battlelord,597311355,47,47,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Battlelord,597311355,49,2,47,Supreme Leader Kylo Ren: KRU R3 Kylo G13 FOST G13 FOE R3 FOO G13 FOTP G13 Phasma G13 Hux R3 FOSFTP G13 Sith Trooper G13 Vet Han G12 EP R5 Finalizer 6*
EvolutionX,457734974,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
EvolutionX,457734974,55,29,26,Sith Eternal Emperor: EP Vader RG Piett Krennic G12 Sidious G12 Darth Maul Dooku R1 Sith Marauder G12 Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
EvolutionX,457734974,59,59,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
EvolutionX,457734974,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
eleven rule,821573964,59,59,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
eleven rule,821573964,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Goob,451421324,59,0,59,Jedi Master Luke Skywalker: Old Ben R1 JTR C-3PO Mon Mothma G12 Chewpio G10 6* JKL G10 R2-D2 G12 Han G12 Chewbacca R5 Rebel Y-wing Leia G12 HYoda R4 Wedge G12 Biggs G12 Lando R3
Goob,451421324,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Goob,451421324,59,36,23,Sith Eternal Emperor: EP Vader R5 RG Piett R3 Krennic R3 Sidious R3 Darth Maul Dooku R3 Sith Marauder R3 Imperial TIE Bomber JKA R4 Thrawn R2 Tarkin Veers Starck
Goob,451421324,44,44,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
ThatOneGuy,972628741,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
ThatOneGuy,972628741,55,51,4,Jedi Master Kenobi: GK Bo-Katan R1 Aayla Mace Negotiator 6* GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Bort Moddler,875657132,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
