Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Yasie Qui,347197687,6,6,0,149335,Padme JKA Ahsoka GK GMY
Snipesum,355457861,7,7,0,154091,Padme JKA Ahsoka GK GMY
Quidamlefou,461462591,15,6,9,134798,Padme R3 JKA Ahsoka G12 GK R4 GMY
Timber,273814442,3,3,0,139806,Padme JKA Ahsoka GK GMY
Lone Starr,461368524,8,6,2,145862,Padme R4 JKA Ahsoka R4 GK GMY
Th3 S3rg34nt,343993697,0,0,0,153925,Padme JKA Ahsoka GK GMY
Reylo Jakkusolo,959357135,8,0,8,139751,Padme JKA G12 Ahsoka R3 GK GMY
Sammy TF1,866892379,47,32,15,127193,Padme JKA G9 Ahsoka G12 GK GMY
Cenistan,316195644,6,6,0,148109,Padme JKA Ahsoka GK GMY
Pale Mandius,297974276,18,18,0,157190,Padme JKA Ahsoka GK GMY
Boshund,476923873,5,5,0,150586,Padme JKA Ahsoka GK GMY
Pacojonezl40,556288426,5,3,2,147464,Padme R3 JKA Ahsoka GK GMY
Nd volk,647746167,10,8,2,133974,Padme JKA Ahsoka R3 GK GMY
Bad Fish,314563379,6,6,0,148869,Padme JKA Ahsoka GK GMY
Killbaza,276969236,14,14,0,151493,Padme JKA Ahsoka GK GMY
Scorn,881485362,0,0,0,160321,Padme JKA Ahsoka GK GMY
EvolutionX,457734974,2,2,0,150620,Padme JKA Ahsoka GK GMY
Goob,451421324,26,15,11,125761,Padme R3 JKA R4 Ahsoka R4 GK R4 GMY G12
Grampa Tim,743537648,0,0,0,161687,Padme JKA Ahsoka GK GMY
Alexandder,266693162,0,0,0,148174,Padme JKA Ahsoka GK GMY
ぱんどら,832179698,46,29,17,112670,Padme JKA G12 Ahsoka R3 GK GMY G9
AJ,134248776,36,15,21,109667,Padme G12 JKA Ahsoka G12 GK R4 GMY G10
DarthGideon,588758768,40,12,28,102014,Padme G8 JKA Ahsoka G5 GK G13 GMY
Walliamen,121156657,0,0,0,140927,Padme JKA Ahsoka GK GMY
ᜎའดཧดཀاᜎཛ,856871329,6,6,0,156832,Padme JKA Ahsoka GK GMY
JeyLuckiDarkLord,835762411,56,37,19,115781,Padme G12 JKA Ahsoka G12 GK GMY G11
Phdrlord,933247926,44,38,6,129824,Padme JKA R2 Ahsoka GK GMY R2
SliickMoose,493737815,63,25,38,83201,Padme G0 0* JKA Ahsoka G11 GK G12 GMY G11
Bly,359469122,12,4,8,135417,Padme JKA Ahsoka G12 GK GMY R3
Wayne brady,636166686,23,17,6,130668,Padme R4 JKA Ahsoka R3 GK R4 GMY R3
Kamu Teeltoo,711928393,0,0,0,158371,Padme JKA Ahsoka GK GMY
Mando Dalrissian,538342162,0,0,0,142520,Padme JKA Ahsoka GK GMY
DragonGodC16,965759793,10,0,10,127070,Padme JKA G10 Ahsoka GK GMY R3
Veskasa Starblazer,987221192,2,2,0,139126,Padme JKA Ahsoka GK GMY
Battlelord,597311355,11,2,9,134519,Padme R3 JKA G13 Ahsoka R3 GK GMY
Philly,116594681,0,0,0,152694,Padme JKA Ahsoka GK GMY
TomServo3K,691942843,6,5,1,147402,Padme JKA Ahsoka R4 GK GMY
Swinny,216875298,26,0,26,100674,Padme G12 JKA Ahsoka G12 GK G12 GMY G10
okeefechris,463248232,10,8,2,142699,Padme JKA Ahsoka R3 GK GMY
Bort Moddler,875657132,0,0,0,147679,Padme JKA Ahsoka GK GMY
