Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
ぱんどら,832179698,13,3,10,122498,Shaak Ti Fives Rex Echo (501st) ARC Trooper G8 5*
Goob,451421324,35,4,31,107468,Shaak Ti R2 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G8
CommanderCattail,359665614,20,0,20,116024,Shaak Ti G12 Fives Rex R3 Echo (501st) G12 ARC Trooper G12
Veskasa Starblazer,987221192,39,12,27,95423,Shaak Ti R2 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Baron Salis,495736288,0,0,0,158126,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Yasie Qui,347197687,28,5,23,111578,Shaak Ti Fives R2 Rex G12 Echo (501st) G12 ARC Trooper G10 6*
Snipesum,355457861,0,0,0,155701,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Swamp,343599234,0,0,0,157810,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nd volk,647746167,25,7,18,120367,Shaak Ti Fives G12 Rex Echo (501st) G12 ARC Trooper G12
DarthGideon,588758768,63,1,62,43405,Shaak Ti G7 6* Fives G9 Rex G6 Echo (501st) G6 ARC Trooper G0 0*
Philly,116594681,0,0,0,153092,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pale Mandius,297974276,26,26,0,148789,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kamu Teeltoo,711928393,0,0,0,152960,Shaak Ti Fives Rex Echo (501st) ARC Trooper
eleven rule,821573964,51,21,30,100807,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G7 4*
Reylo Jakkusolo,959357135,37,6,31,107819,Shaak Ti Fives G11 Rex G12 Echo (501st) G10 ARC Trooper G8
ThatOneGuy,972628741,18,12,6,124995,Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Grampa Tim,743537648,9,3,6,132405,Shaak Ti Fives R3 Rex R4 Echo (501st) R4 ARC Trooper R3
okeefechris,463248232,9,9,0,136529,Shaak Ti Fives Rex Echo (501st) ARC Trooper
EvolutionX,457734974,3,3,0,138516,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Phdrlord,933247926,61,37,24,110333,Shaak Ti Fives G12 Rex R2 Echo (501st) G12 ARC Trooper G9
DragonGodC16,965759793,26,0,26,101453,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Lone Starr,461368524,17,12,5,135076,Shaak Ti Fives Rex Echo (501st) R2 ARC Trooper R3
Lance,891594698,28,2,26,112691,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
Killbaza,276969236,34,12,22,113913,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Wayne brady,636166686,43,17,26,104314,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11 6*
Scorn,881485362,36,36,0,147314,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SliickMoose,493737815,72,2,70,32055,Shaak Ti G0 0* Fives G8 Rex G5 Echo (501st) G7 ARC Trooper G0 0*
Sammy TF1,866892379,58,36,22,105406,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper G0 0*
ᜎའดཧดཀاᜎཛ,856871329,24,15,9,134598,Shaak Ti Fives G12 Rex R2 Echo (501st) ARC Trooper
Cenistan,316195644,3,3,0,138509,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Walliamen,121156657,10,6,4,134445,Shaak Ti R3 Fives R4 Rex R4 Echo (501st) ARC Trooper
JeyLuckiDarkLord,835762411,66,10,56,53767,Shaak Ti G8 Fives G8 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
Beric,953382922,0,0,0,144464,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TomServo3K,691942843,7,7,0,155754,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JohnDakar,365993735,18,6,12,126258,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper G12
Kushbender,427761749,2,0,2,135861,Shaak Ti Fives Rex Echo (501st) ARC Trooper R3
Th3 S3rg34nt,343993697,0,0,0,156145,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Timber,273814442,14,14,0,134650,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bly,359469122,24,0,24,109155,Shaak Ti G12 Fives R2 Rex R2 Echo (501st) G12 ARC Trooper G12
ID2618,755372417,0,0,0,132943,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Boshund,476923873,25,25,0,136172,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bad Fish,314563379,55,30,25,103455,Shaak Ti Fives G12 Rex Echo (501st) G9 ARC Trooper G8
Pacojonezl40,556288426,4,2,2,136099,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
Battlelord,597311355,19,2,17,120502,Shaak Ti Fives R1 Rex R1 Echo (501st) R1 ARC Trooper G13
Quidamlefou,461462591,30,4,26,101668,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
AJ,134248776,60,11,49,60798,Shaak Ti G11 Fives G11 Rex G11 Echo (501st) G8 ARC Trooper G0 0*
Kal Derros,874465412,31,29,2,135060,Shaak Ti R4 Fives Rex Echo (501st) ARC Trooper R4
Alexandder,266693162,0,0,0,138895,Shaak Ti Fives Rex Echo (501st) ARC Trooper
