Player,Offense,Defense,GP,Name,Squad,Viable
"Partyanimal",0,1,92229,DR,"zzzDR HK-47 zBSF Sith Marauder, Thrawn 5* G8",0
"Partyanimal",0,1,67581,Geonosians,"GBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Partyanimal",1,1,59112,Carth,"Carth Onasi G9, Mission 5* Zaalbar 5* Juhani Canderous G9",0
"Partyanimal",1,0,73197,501st,"Rex G9, ARC Trooper G9, Echo (501st) G9, zFives zAhsoka",0
"Partyanimal",0,1,50445,Phoenix,"Hera G7, Ezra G9, Sabine G7, Zeb G8, Kanan G7",0
"Partyanimal",0,1,69861,BS,"BS GMY Jolee 5* GK 5* JKA",0
"Hizashi Hyuga",0,1,89620,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Hizashi Hyuga",,,85299,Disintegration,"Aurra Greef Boba G8, zzBossk The Mandalorian",1
"Hizashi Hyuga",1,0,109522,CLS,"zzCLS zHan zzChewbacca R2-D2 G7, Chewpio",0
"Hizashi Hyuga",1,1,91582,zEP,"EP zzVader Tarkin BSF zTraya 6* G9",0
"Hizashi Hyuga",0,1,86868,BS,"BS G9, GMY Jolee G8, GK zAhsoka",0
"JediLukeSkywalker Alt",0,1,116768,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"JediLukeSkywalker Alt",0,1,100119,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"JediLukeSkywalker Alt",1,1,87977,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"gabou2506",0,1,93471,BH,"zBossk Boba Greef zThe Mandalorian, Jango",1
"gabou2506",1,1,97388,zEP,"zzEP zzVader Tarkin TFP G9, Sith Trooper",1
"gabou2506",0,1,115080,FO,"zzKRU zKylo FOO FOE zHux",1
"gabou2506",0,1,69981,Phoenix,"Hera G8, Chopper G8, Ezra G9, Zeb G8, Kanan",1
"gabou2506",1,0,15391,SionSolo (Counter),"Sion",1
"gabou2506",1,0,72362,CLS,"CLS G8, zHan Chewbacca G9, R2-D2 G8, Chewpio 5*",0
"gabou2506",,,267092,HansMF,"Home One, Han's MF 5*, HT Bistan's U-wing 5*, Phantom Ghost Cassian's U-wing, Biggs X-wing",0
"gabou2506",0,1,75167,Geonosians,"zGBA 5* G9, Sun Fac G8, Geo Soldier, Geo Spy, Poggle",0
"gabou2506",1,0,82776,Troopers,"zVeers zPiett Gideon Dark Trooper 6* G9, Range Trooper",0
"gabou2506",1,1,49828,NS_Alt,"MT 5* G9, AV 6* G8, Spirit 6* G8, Talia 5* Daka 6* G9",0
"gabou2506",1,0,92696,ShaakClones,"zzShaak Ti 6*, zRex Echo (501st) G9, zzFives ARC Trooper G9",0
"gabou2506",,,49757,Iden Troopers,"zIden Versio 4* G8, Stormtrooper G8, Snowtrooper G8, Magma G4, DT 5* G8",0
"gabou2506",1,1,40889,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO G8, Cassian 6* G8",0
"gabou2506",0,1,79363,BS,"BS GMY JKA GK G8, Ahsoka",0
"Lil Gap",1,0,116649,CLS,"zzCLS zHan zChewbacca C-3PO zChewpio",1
"Lil Gap",0,1,90996,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Lil Gap",,,331266,HansMF,"Home One, Han's MF 6*, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Lil Gap",1,1,85913,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Lil Gap",0,1,84555,BH,"zBossk Boba G8, Greef G8, Cad G9, Jango",1
