Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
TyTy19石头,667918273,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
TyTy19石头,667918273,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
TyTy19石头,667918273,0,0,0,Seps (1%): Dooku Jango B2 GG MagnaGuard
loypop13,223946436,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sidious Darth Talon
loypop13,223946436,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
loypop13,223946436,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
loypop13,223946436,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
loypop13,223946436,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
loypop13,223946436,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
Zeta Sigma 74,644932613,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Zeta Sigma 74,644932613,11,11,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
IMAC1780,247782748,6,6,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Shepard,915153266,25,25,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
spannerdave,546632278,0,0,0,JKL + JML (6%): JKL JMLS JKA JKR Old Ben
spannerdave,546632278,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Darth1 Daddy,318222584,7,7,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Dash Riprock,663558394,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dash Riprock,663558394,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Dash Riprock,663558394,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Dash Riprock,663558394,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Blue Moose,233146235,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Blue Moose,233146235,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
Blue Moose,233146235,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Blue Moose,233146235,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Blue Moose,233146235,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MC One,496367998,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader DR
MC One,496367998,1,1,0,JMK (8%): JMK GK Ahsoka CAT GAS
MC One,496367998,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MC One,496367998,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Danikan Skysaucer,453528849,2,2,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
DDC,414812779,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
SonofGrisha,761968935,0,0,0,Seps (1%): Dooku Jango GG GBA Nute
SonofGrisha,761968935,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
SonofGrisha,761968935,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Sith Trooper
SonofGrisha,761968935,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
SonofGrisha,761968935,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
SonofGrisha,761968935,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
SonofGrisha,761968935,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
SonofGrisha,761968935,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SonofGrisha,761968935,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
SkyBounder,158445314,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Silent,667983833,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Darkwizard126,199916727,7,7,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dobbz,692459781,41,41,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Wiz Kalifa,529558373,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BAI,488844648,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Dooku Sidious
BAI,488844648,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
BAI,488844648,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
BAI,488844648,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
BAI,488844648,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
BAI,488844648,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
markyjseph,198536458,8,8,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
PirateFTW,252624558,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dr Pepper,214958952,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sith Trooper Darth Talon
Dr Pepper,214958952,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Dr Pepper,214958952,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dr Pepper,214958952,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Dr Pepper,214958952,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Dr Pepper,214958952,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Grig,655635129,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Grig,655635129,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Grig,655635129,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Grig,655635129,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Grig,655635129,0,0,0,JKL + JML (6%): JKL JMLS Jolee Mace Old Ben
Grig,655635129,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Grig,655635129,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Grig,655635129,0,0,0,Seps (1%): Dooku Jango Sun Fac GG Geo Spy
markyjseph,198536458,14,8,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Stryker,171969987,34,4,30,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G12 C-3PO G12
Stryker,171969987,39,9,30,p3: BH 2%: Aurra G11 Greef G10 Bossk Jango G9 Boba G12
Obi,726269242,18,0,18,p3: Shaak 6%: Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper G12
Obi,726269242,18,0,18,p4: GG (2%): GG G11 B1 R4 Droideka R3 B2 R3 MagnaGuard G12
DDC,414812779,18,7,11,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G7
Dimitris,181287221,44,0,44,p1: Padme 3%: Padme G8 6* JKA G8 5* GK G7 5* Ahsoka G12 GMY G11
SPETSNAZBH05,564615724,42,20,22,p4: GG (2%): GG R3 B1 R3 Droideka G12 B2 G12 MagnaGuard G12
Danikan Skysaucer,453528849,50,13,37,p1: Padme 3%: Padme G8 JKA G12 GK G12 Ahsoka G9 GMY G12
Danikan Skysaucer,453528849,48,14,34,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G12 R2-D2 G8
TyTy19石头,667918273,34,0,34,p2: Shaak 6%: Shaak Ti Fives G8 Rex R2 Echo (501st) G9 ARC Trooper G6 6*
TyTy19石头,667918273,37,0,37,p4: Rebels (2%): CLS G12 Chewbacca G10 Han R2 Chewpio G8 6* C-3PO G8
Wiz Kalifa,529558373,42,7,35,p3: Imperial Troopers 5%: Veers G11 6* Piett G11 4* Gideon G12 Starck G12 Dark Trooper G9 5*
Wiz Kalifa,529558373,38,0,38,p4: Seps (1%): Dooku G8 5* Jango G9 Poggle G11 GBA G12 Geo Spy G12
gabou2506,752533649,37,0,37,p2: Shaak 6%: Shaak Ti G11 6* Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G9
gabou2506,752533649,40,3,37,p3: Imperial Troopers 5%: Veers G11 Piett G10 Gideon G11 Range Trooper G12 Dark Trooper G9 6*
Dr Pepper,214958952,5,0,5,p2: Shaak 6%: Shaak Ti Fives Rex R2 Echo (501st) R3 ARC Trooper
Kaze no Hi,626549968,35,4,31,p1: Padme 3%: Padme G12 JKA G11 GK G12 Ahsoka G12 R2-D2 G12
Kaze no Hi,626549968,33,4,29,p4: Seps (1%): Dooku G11 Jango G10 Sun Fac G12 GBA G12 Geo Spy R3
Savage frenzy,654386434,44,24,20,p4: Rebels (2%): CLS Chewbacca R3 Han G12 Chewpio R3 R2-D2 G8
Shepard,915153266,40,18,22,p1: Padme 3%: Padme G8 JKA G12 GK Ahsoka G12 GMY
Skippykgt,269875868,41,15,26,p4: Rebels (2%): CLS R3 Chewbacca R2 Han G11 Chewpio G10 C-3PO G12
Slartibartfast,625761274,42,6,36,p3: Vader+Wat 8%: Vader G12 EP R3 Thrawn G9 6* Wat Tambor G8 4* Starck G9
Slartibartfast,625761274,48,9,39,p4: Rebels (2%): CLS G12 Chewbacca G10 5* Han G11 Chewpio G8 6* R2-D2 G10
Jeager,288811679,34,6,28,p3: Imperial Troopers 5%: Veers G12 Piett Gideon G11 Range Trooper G9 6* Dark Trooper G12
Jeager,288811679,34,4,30,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G12 GMY G12
Jeager,288811679,35,6,29,p4: Rebels (2%): CLS Chewbacca G10 Han G12 Chewpio G12 R2-D2 G9
BD 1,945441983,51,20,31,p1: Padme 3%: Padme G12 JKA G11 6* GK G12 Ahsoka G12 GMY G12
BD 1,945441983,32,1,31,p3: Shaak 6%: Shaak Ti G11 6* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
PirateFTW,252624558,9,0,9,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G9
Tommithan,183484659,41,0,41,p3: Vader+Wat 8%: Vader R3 EP G9 Thrawn G9 Wat Tambor G12 Piett G3 6*
Tommithan,183484659,39,0,39,p4: Seps (1%): Dooku G12 Jango G12 GG G12 Poggle G10 AV G5 5*
Hizashi Hyuga,681282268,47,28,19,p4: Rebels (2%): CLS R3 Chewbacca R3 Han R3 Chewpio R3 R2-D2 G7
Silent,667983833,13,0,13,p4: GG (2%): GG G9 B1 Droideka B2 MagnaGuard R1
Silent,667983833,19,15,4,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn R1
Silent,667983833,34,25,9,p1: Padme 3%: Padme JKA G12 GK Ahsoka R3 GMY R4
spannerdave,546632278,8,0,8,p1: Padme 3%: Padme G12 JKA GK Ahsoka R3 R2-D2
Zeta Sigma 74,644932613,15,8,7,p1: Padme 3%: Padme R4 JKA GK Ahsoka GMY G12
Zeta Sigma 74,644932613,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
Economist,244796774,43,8,35,p4: Rebels (2%): CLS R3 Chewbacca G11 6* Han G12 Chewpio G8 6* R2-D2 G8
Darth1 Daddy,318222584,25,3,22,p1: Padme 3%: Padme G8 6* JKA GK G12 Ahsoka G12 R2-D2
IMAC1780,247782748,6,0,6,p3: SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn G12
Dobbz,692459781,26,0,26,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G10 C-3PO
Dash Riprock,663558394,6,2,4,p2: Shaak 6%: Shaak Ti R1 Fives Rex Echo (501st) ARC Trooper
Dash Riprock,663558394,4,0,4,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn R1
Partyanimal,257536584,32,0,32,p1: Padme 3%: Padme G12 JKA G11 GK G11 5* Ahsoka G12 GMY G12
Geekytiger,965999173,39,1,38,p4: Seps (1%): Dooku G8 5* Jango G8 Sun Fac G12 GBA G12 Geo Spy G12
JediLukeSkywalker Alt,873328237,30,14,16,p1: Padme 3%: Padme R3 JKA R3 GK R3 Ahsoka G13 C-3PO G13
Dash Riprock alt,533182519,34,6,28,p4: GG (2%): GG R1 B1 G12 Droideka G12 B2 G12 MagnaGuard G12
Slartibartfast alt,677547467,31,0,31,p1: Padme 3%: Padme G9 JKA G12 GK Ahsoka G12 C-3PO G8 5*
Slartibartfast alt,677547467,51,21,30,p3: Imperial Troopers 5%: Veers G12 Piett G12 Starck G12 Range Trooper G12 Dark Trooper G12
ARCNiNjai,682233137,33,21,12,p1: Padme 3%: Padme JKA G12 GK Ahsoka C-3PO G12
Merc,618651132,40,22,18,p3: Imperial Troopers 5%: Veers R3 Piett Gideon G11 Range Trooper G11 4* Starck R3
CT 2905,145211637,34,11,23,p1: Padme 3%: Padme JKA G12 GK G12 Ahsoka R2-D2 G7
Lil Gap,721276151,33,17,16,p4: Rebels (2%): CLS Chewbacca R3 Han G12 Chewpio G12 C-3PO R3
Darkwizard126,199916727,12,5,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
NNMSdabber,424386656,39,0,39,p4: Seps (1%): Dooku G8 5* Jango G9 GBA G10 Geo Spy G12 Geo Soldier G12
NNMSdabber,424386656,42,0,42,p1: Padme 3%: Padme G8 JKA G9 5* GK G8 Ahsoka G12 GMY G11
QuilaCaz,453185837,42,6,36,p3: Imperial Troopers 5%: Veers G12 Piett G12 Gideon G9 Starck G12 Dark Trooper G9 5*
QuilaCaz,453185837,45,11,34,p1: Padme 3%: Padme G8 6* JKA GK G9 6* Ahsoka G12 GMY G9
SkyBounder,158445314,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
