Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Darkwizard126,199916727,27,5,22,Vader+Wat 8%: Vader EP Thrawn G11 Wat Tambor G9 4* Piett G12
Lil Gap,721276151,41,1,40,Vader+Wat 8%: Vader R3 EP G11 Thrawn G8 6* Wat Tambor G8 4* Starck G7
gabou2506,752533649,43,2,41,Vader+Nute 12%: Vader R1 Nute G9 Thrawn G8 Wat Tambor G9 4* Traya G9 6*
Grig,655635129,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Slartibartfast,625761274,44,2,42,Vader+Nute 12%: Vader G12 Nute G8 Thrawn G9 Wat Tambor G8 4* Traya G11
MC One,496367998,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Dr Pepper,214958952,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
spannerdave,546632278,40,0,40,Vader+Nute 12%: Vader R3 Nute G10 Thrawn G9 5* Wat Tambor G7 6* Traya G8
Silent,667983833,39,7,32,Vader+Nute 12%: Vader Nute G10 Thrawn R1 Wat Tambor G5 5* Traya G11
Zeta Sigma 74,644932613,40,4,36,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G8 6* Traya G9
NNMSdabber,424386656,45,8,37,Vader+Wat 8%: Vader G12 EP G12 Thrawn G10 Wat Tambor G9 4* Piett G10
Kaze no Hi,626549968,42,6,36,Vader+Wat 8%: Vader G12 EP Thrawn G8 6* Wat Tambor G8 4* Starck G8
TyTy19石头,667918273,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Blue Moose,233146235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Tommithan,183484659,41,0,41,Vader+Wat 8%: Vader R3 EP G9 Thrawn G9 Wat Tambor G12 Piett G3 6*
SonofGrisha,761968935,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Merc,618651132,9,0,9,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 4* Piett
Dash Riprock,663558394,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Savage frenzy,654386434,29,3,26,Vader+Wat 8%: Vader EP Thrawn G12 Wat Tambor G10 4* Starck G6
loypop13,223946436,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Shepard,915153266,20,0,20,Vader P1 10%: Vader KRU Wat Tambor G9 4* C-3PO G7 5* Shaak Ti
BAI,488844648,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
