Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
TyTy19石头,667918273,8,3,5,GAS Special: GAS G11 6* Ahsoka
TyTy19石头,667918273,20,0,20,Shaak Ti: Shaak Ti Rex R2 Echo (501st) G9 ARC Trooper G8 Fives G12
Dr Pepper,214958952,0,0,0,GAS Special: GAS Ahsoka
Dr Pepper,214958952,0,0,0,JKL: JKL HYoda GMY JKR GK
Dr Pepper,214958952,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Dr Pepper,214958952,17,0,17,Finn: Finn G12 RT G12 RH Finn G12 RH Poe G11 JTR
Dr Pepper,214958952,6,2,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Dr Pepper,214958952,1,0,1,Shaak Ti: Shaak Ti Rex R2 Echo (501st) ARC Trooper Fives
NNMSdabber,424386656,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
JediLukeSkywalker,548318682,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JediLukeSkywalker,548318682,18,0,18,JKL: JKL HYoda GMY G12 Jolee G10 4* GK G8
Blue Moose,233146235,0,0,0,GAS Special: GAS Ahsoka
Blue Moose,233146235,0,0,0,JKL: JKL HYoda GMY Jolee GK
Blue Moose,233146235,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Blue Moose,233146235,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Blue Moose,233146235,6,0,6,ROLO: ROLO Cpt Solo Biggs Baze G10 Lando
MC One,496367998,0,0,0,GAS Special: GAS Ahsoka
MC One,496367998,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
MC One,496367998,10,3,7,ROLO: ROLO R2 Cpt Solo G11 4* Han CLS Chewbacca R2
Zeta Sigma 74,644932613,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zeta Sigma 74,644932613,16,12,4,GAS Special: GAS G12 Ahsoka
Zeta Sigma 74,644932613,20,0,20,ROLO: ROLO Cpt Solo G12 Biggs G12 Baze G8 R2-D2 G12
Zeta Sigma 74,644932613,19,10,9,Shaak Ti: Shaak Ti G11 Rex Echo (501st) G12 ARC Trooper Fives
Lil Gap,721276151,9,5,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Lil Gap,721276151,12,0,12,JKL: JKL HYoda GMY G12 Jolee G12 GK G12
Dobbz,692459781,18,0,18,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G10 C-3PO
Darth1 Daddy,318222584,20,19,1,Finn: Finn RT RH Finn RH Poe JTR
Originalt HTroopers,985227814,0,0,0,JKL: JKL HYoda GMY GK GAS
Originalt HTroopers,985227814,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Originalt HTroopers,985227814,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Originalt HTroopers,985227814,20,0,20,Finn: Finn G12 RT G12 RH Finn G9 RH Poe G11 JTR
Originalt HTroopers,985227814,5,0,5,ROLO: ROLO Cpt Solo Leia Baze G11 Lando
Grig,655635129,0,0,0,GAS Special: GAS Ahsoka
Grig,655635129,0,0,0,JKL: JKL HYoda GMY Jolee GK
Grig,655635129,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Grig,655635129,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Grig,655635129,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Grig,655635129,8,0,8,ROLO: ROLO Cpt Solo Biggs Baze G8 Lando
CT 2905,145211637,20,11,9,Shaak Ti: Shaak Ti G11 Rex Echo (501st) ARC Trooper G12 Fives
BD 1,945441983,17,5,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
SPETSNAZBH05,564615724,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
SonofGrisha,761968935,0,0,0,GAS Special: GAS Ahsoka
SonofGrisha,761968935,0,0,0,JKL: JKL HYoda GMY JKR GK
SonofGrisha,761968935,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
SonofGrisha,761968935,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
