Player,Offense,Defense,GP,Name,Squad,Viable
"Colts2ndF2P",1,0,110074,CLS,"zzzCLS zHan zChewbacca C-3PO zChewpio",1
"Colts2ndF2P",0,1,75687,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Colts2ndF2P",1,1,80533,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Colts2ndF2P",0,1,88946,BH,"zBossk Jango Boba zThe Mandalorian, zGreef",1
"Colts2ndF2P",1,1,105962,zEP,"zzEP zzzVader Tarkin BSF zMara Jade, The Emperor's Hand",1
"Colts2ndF2P",0,1,63921,Phoenix,"Hera G9, Kanan G8, Chopper G9, Zeb G8, Ezra",1
"Colts2ndF2P",1,0,78865,Troopers,"zVeers G9, zPiett Gideon Dark Trooper G9, Range Trooper G9",0
"Colts2ndF2P",1,1,86932,Revan,"zJKR BS GMY zJolee GK 6* G7",0
"Colts2ndF2P",1,1,69905,Carth,"Carth Onasi, Mission G7, zZaalbar zJuhani Canderous G7",0
"凯 天行者",1,1,143373,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G8",1
"凯 天行者",0,1,128073,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"凯 天行者",,,422786,Negotiator,"Negotiator 6* HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"凯 天行者",1,1,84012,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"凯 天行者",1,1,96852,Revan Offense,"zzzJKR zGMY BS zJolee Ezra G8",1
"凯 天行者",1,0,110910,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zFives ARC Trooper",1
"凯 天行者",1,1,88425,Carth,"Carth Onasi, zMission zZaalbar Juhani Canderous",1
"凯 天行者",0,1,83983,BH,"zJango Bossk Boba G9, The Mandalorian G8, Greef G8",1
"凯 天行者",,,115506,Phasma,"Phasma FOTP FOSFTP zFOST Kylo",0
"凯 天行者",1,0,78705,CLS,"CLS Han G8, Chewbacca G9, R2-D2 G8, Chewpio G7",0
"凯 天行者",0,1,95792,Grievous,"GG zB2 zB1 MagnaGuard Nute G9",0
"凯 天行者",1,0,88960,Traya,"Traya G7, DN G7, Sion G7, zBSF zEP",0
"Gorkken",0,1,94881,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Gorkken",,,93940,Disintegration,"Aurra Greef zBoba Bossk The Mandalorian",1
"Gorkken",1,1,102282,zEP,"zzEP zzzVader Tarkin DT G8, TFP G9",1
"Gorkken",0,1,70559,Phoenix,"Hera Kanan G8, Chopper G8, Zeb G8, Ezra",1
"Gorkken",,,40063,Phasma,"Phasma G8, FOE 5* G8, FOO G8, KRU 5* G8, Kylo 6* G8",0
"Gorkken",1,0,86219,CLS,"zzzCLS Han Chewbacca 6* G7, R2-D2 G8, Chewpio",0
