Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Ronju Terds,464722161,10,10,0,Padme 3%: Padme JKA GK Ahsoka GMY
Whale,872143324,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Whale,872143324,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Puke Clodhopper,138652831,7,7,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Puke Clodhopper,138652831,0,0,0,JKL + JML (6%): JKL JMLS HYoda JKR Old Ben
ChiefPheonix1,284131911,66,66,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ChiefPheonix1,284131911,9,9,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
SharpChaos,947247942,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BigJill,487462523,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BUSTYOAZZ99,215377213,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
BUSTYOAZZ99,215377213,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
BUSTYOAZZ99,215377213,10,10,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe BS
Jordan Halaren,474449928,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Djsenior,463522689,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
凯 天行者,198397314,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
ChiefPheonix1,284131911,35,0,35,p3: Imperial Troopers 5%: Veers G11 Piett G11 6* Gideon G11 Range Trooper G11 Starck G11
BigJill,487462523,9,2,7,p2: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
Mikki and her Ry Ry,846428398,49,9,40,p1: Padme 3%: Padme G8 JKA G11 GK G7 Ahsoka G10 R2-D2 R1
Sonny,719276917,34,4,30,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G12 GMY G12
Sonny,719276917,31,1,30,p2: Shaak 6%: Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
SharpChaos,947247942,1,0,1,p2: Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper R4
SharpChaos,947247942,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
SharpChaos,947247942,2,0,2,p4: JKR + Rey (7%): JKR R3 Rey RH Finn RH Poe GMY
SharpChaos,947247942,1,0,1,p1: Padme 3%: Padme R4 JKA GK Ahsoka GMY
Senpai,144172483,14,0,14,p4: Seps (1%): Dooku G11 Jango G11 6* Poggle GBA Sun Fac
Archator,973722152,24,0,24,p2: Shaak 6%: Shaak Ti G12 Fives Rex G12 Echo (501st) G12 ARC Trooper G12
Nema Ghyron,226226244,35,23,12,p1: DR/Malak 3%: DR Malak R4 BSF HK-47 R3 Sith Marauder G9 4*
asguardian,771325987,35,1,34,p1: Padme 3%: Padme G9 JKA G12 GK G8 Ahsoka G11 GMY R3
asguardian,771325987,35,1,34,p2: BH 2%: Aurra G8 Greef G8 Bossk G9 Jango G13 Kuiil
asguardian,771325987,35,2,33,p4: Seps (1%): Dooku G9 Jango G13 Geo Spy G11 Geo Soldier G12 GBA G12
Tyundi,697663926,7,1,6,p1: Padme 3%: Padme JKA GK Ahsoka C-3PO G12
Appo,299558514,47,16,31,p1: Padme 3%: Padme G11 5* JKA R1 GK G11 6* Ahsoka G12 GMY G11
