Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dart tds,167654687,8,8,0,Dooku+Asajj: Dooku AV
Dart tds,167654687,15,15,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Colts1stF2P,788625766,15,1,14,Troopers: Veers G8 Piett G10 Gideon G11 Dark Trooper G9 Range Trooper G8
Colts1stF2P,788625766,16,0,16,Dooku+Asajj: Dooku G7 6* AV G1 3*
Colts1stF2P,788625766,10,0,10,Geos: GBA G10 Poggle G10 Geo Soldier G10 Sun Fac G10 Geo Spy G10
Sharper,252122785,19,0,19,Grievous: GG G9 B2 G8 5* B1 G8 3* Droideka G8 4* MagnaGuard G8
Sharper,252122785,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Sharper,252122785,4,0,4,Geos: GBA G11 Poggle G11 Geo Soldier Sun Fac G11 Geo Spy G11
Theboitrash,362529851,14,0,14,Grievous: GG B2 G8 B1 G8 Nute G9 MagnaGuard G9
Theboitrash,362529851,15,0,15,Troopers: Veers G10 Piett G8 5* Gideon G8 Dark Trooper G11 5* Range Trooper G8 5*
Theboitrash,362529851,5,0,5,Dooku+Asajj: Dooku G8 5* AV G11
Theboitrash,362529851,8,0,8,Geos: GBA G11 Poggle G11 Geo Soldier G11 Sun Fac G8 Geo Spy G11
Latch,277395581,0,0,0,Dooku+Asajj: Dooku AV
Latch,277395581,12,1,11,Geos: GBA G9 Poggle G11 Geo Soldier Sun Fac G7 Geo Spy G10
Tyundi,697663926,4,4,0,Grievous: GG B2 B1 Droideka MagnaGuard
Tyundi,697663926,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tyundi,697663926,6,5,1,Dooku+Asajj: Dooku G11 AV
RBS,572837322,3,0,3,Dooku+Asajj: Dooku G9 AV
RBS,572837322,12,0,12,Geos: GBA G10 Poggle G9 Geo Soldier G11 Sun Fac G9 Geo Spy G9
ChiefPheonix1,284131911,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nick Steele,279647222,16,5,11,Dooku+Asajj: Dooku G7 AV G6
Nick Steele,279647222,7,0,7,Geos: GBA G11 Poggle G10 Geo Soldier G11 Sun Fac G10 Geo Spy G11
Gorkken,883535461,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gorkken,883535461,5,1,4,Dooku+Asajj: Dooku G9 AV G11
choozen one,797234779,0,0,0,Dooku+Asajj: Dooku AV
MINI Saber,552155791,4,0,4,Dooku+Asajj: Dooku G10 AV G10
MINI Saber,552155791,12,0,12,Geos: GBA G9 Poggle G9 Geo Soldier G10 Sun Fac G9 Geo Spy G11
ridingred,273374852,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ridingred,273374852,4,1,3,Dooku+Asajj: Dooku AV G9
Sonny,719276917,19,0,19,Grievous: GG G8 B2 G9 B1 G7 Nute G9 MagnaGuard G8
Sonny,719276917,9,2,7,Dooku+Asajj: Dooku G11 AV G6
Sonny,719276917,8,0,8,Geos: GBA G10 Poggle G11 Geo Soldier G11 Sun Fac G9 Geo Spy G11
AnakinSky,124332729,10,8,2,Dooku+Asajj: Dooku G11 AV G11
Dark One,353788573,0,0,0,Dooku+Asajj: Dooku AV
Dark One,353788573,15,0,15,Grievous: GG G11 B2 G8 B1 G8 4* Nute G11 MagnaGuard G7
Dark One,353788573,6,0,6,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac Geo Spy G8
DarthQuasar,332532743,4,3,1,Dooku+Asajj: Dooku AV G11
asguardian,771325987,7,0,7,Dooku+Asajj: Dooku G9 AV G8
asguardian,771325987,10,0,10,Geos: GBA Poggle G8 Geo Soldier Sun Fac G7 Geo Spy G11
Makva,168787679,11,0,11,Dooku+Asajj: Dooku AV G1
DarthxVader,132372324,11,2,9,Dooku+Asajj: Dooku G4 3* AV G11
Nema Ghyron,226226244,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nema Ghyron,226226244,8,2,6,Dooku+Asajj: Dooku G9 AV G9
Rinna,137878672,13,6,7,Grievous: GG G10 B2 G11 B1 Nute G10 MagnaGuard G10
Rinna,137878672,14,7,7,Troopers: Veers Piett G10 Gideon G10 Dark Trooper G9 Range Trooper
Rinna,137878672,7,4,3,Dooku+Asajj: Dooku G9 AV
Rinna,137878672,12,0,12,Geos: GBA G10 Poggle G11 Geo Soldier G10 Sun Fac G9 Geo Spy G8
Ronju Terds,464722161,2,2,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ronju Terds,464722161,1,1,0,Dooku+Asajj: Dooku AV
Ronju Terds,464722161,6,6,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Styckeey Battle,663976847,16,1,15,Grievous: GG G11 B2 G8 B1 G8 Nute G10 MagnaGuard G8
