Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
凯 天行者,198397314,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
BUSTYOAZZ99,215377213,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
ChiefPheonix1,284131911,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Jordan Halaren,474449928,58,0,58,Jedi Master Luke Skywalker: Old Ben JTR G11 C-3PO R3 Mon Mothma G8 5* Chewpio G12 JKL R2-D2 G12 Han R2 Chewbacca R4 Rebel Y-wing 4* Leia G11 HYoda R3 Wedge G12 Biggs G12 Lando R3
HDS15,857258731,34,34,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
SharpChaos,947247942,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
SharpChaos,947247942,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
SharpChaos,947247942,46,46,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Dart tds,167654687,59,21,38,Supreme Leader Kylo Ren: KRU Kylo R3 FOST R3 FOE R3 FOO G12 FOTP Phasma R3 Hux FOSFTP G12 Sith Trooper G12 Vet Han G12 EP G12 Finalizer 0*
Styckeey Battle,663976847,53,39,14,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP G12 Phasma Hux FOSFTP Sith Trooper G12 Vet Han G12 EP Finalizer 0*
Puke Clodhopper,138652831,29,29,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Dark One,353788573,38,19,19,Supreme Leader Kylo Ren: KRU Kylo R5 FOST R2 FOE FOO R1 FOTP G13 Phasma Hux FOSFTP R2 Sith Trooper Vet Han G12 EP R5 Finalizer 0*
BigJill,487462523,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
SUMPTER THE HUT,786696155,31,5,26,Sith Eternal Emperor: EP Vader RG Piett R4 Krennic Sidious G13 Darth Maul Dooku R2 Sith Marauder G13 Imperial TIE Bomber 6* JKA R3 Thrawn R3 Tarkin Veers Starck
Whale,872143324,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
