Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Colts2ndF2P,955591162,16,0,16,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
凯 天行者,198397314,7,0,7,GAS Special: GAS G9 5* Ahsoka
Latch,277395581,19,2,17,ROLO: ROLO G12 Chirrut G8 Leia G11 CLS R2-D2
BUSTYOAZZ99,215377213,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
BUSTYOAZZ99,215377213,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
BUSTYOAZZ99,215377213,12,1,11,GAS Special: GAS G9 6* Ahsoka G12
Ronju Terds,464722161,17,4,13,ROLO: ROLO G11 Chirrut G8 Han CLS Chewbacca
Whale,872143324,14,14,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Colts1stF2P,788625766,20,4,16,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
sonofspaceforce,291761719,0,0,0,GAS Special: GAS Ahsoka
sonofspaceforce,291761719,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
sonofspaceforce,291761719,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Puke Clodhopper,138652831,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Puke Clodhopper,138652831,0,0,0,JKL: JKL HYoda JMLS JKR GK
Dark One,353788573,18,3,15,Shaak Ti: Shaak Ti R1 Rex Echo (501st) G11 ARC Trooper G12 Fives G12
Tyundi,697663926,8,0,8,GAS Special: GAS G8 5* Ahsoka
Tyundi,697663926,20,0,20,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
Terdz 2,772418442,14,13,1,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives R2
DarthTalon,387869794,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthTalon,387869794,0,0,0,JKL: JKL HYoda GMY Jolee GK
DarthTalon,387869794,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthTalon,387869794,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
ChiefPheonix1,284131911,19,10,9,Shaak Ti: Shaak Ti Rex G13 Echo (501st) G13 ARC Trooper G13 Fives
