Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Sonny,719276917,39,6,33,95844,Padme G12 JKA G12 Ahsoka G12 GK G9 GMY G12
PeezieF83,127651797,14,0,14,118182,Padme G8 JKA Ahsoka R3 GK R3 GMY
Ronju Terds,464722161,36,30,6,127452,Padme JKA Ahsoka G12 GK GMY
Sharper,252122785,21,3,18,121723,Padme G12 JKA G12 Ahsoka G12 GK GMY
Nema Ghyron,226226244,65,8,57,52752,Padme G1 6* JKA G1 4* Ahsoka G8 GK R1 GMY G9
Gomer332,964343273,50,14,36,85822,Padme G12 JKA G11 Ahsoka G12 GK G7 6* GMY G12
DarthxVader,132372324,81,12,69,22182,Padme G7 5* JKA G4 3* Ahsoka G8 GK G1 5* GMY G1
Animus313,848892482,37,0,37,74450,Padme G7 JKA G10 Ahsoka G8 GK G12 GMY R3
Dart tds,167654687,69,24,45,66617,Padme G1 5* JKA G12 Ahsoka G12 GK G8 6* GMY G12
Colts2ndF2P,955591162,62,7,55,45116,Padme G1 5* JKA G12 Ahsoka G3 5* GK G7 6* GMY G12
Schmidt Happens,241187192,53,23,30,99191,Padme G11 JKA G12 Ahsoka R1 GK G10 GMY G13
Appo,299558514,73,41,32,85239,Padme G10 5* JKA R1 Ahsoka G12 GK G11 6* GMY G11
Puke Clodhopper,138652831,34,22,12,129845,Padme JKA G12 Ahsoka GK GMY G12
Mol Eliza,943784429,55,2,53,53349,Padme G0 0* JKA G11 6* Ahsoka G8 GK G6 6* GMY G12
Special D,544362218,76,1,75,21001,Padme G1 JKA G1 4* Ahsoka G3 4* GK G0 0* GMY G10 6*
Nick Steele,279647222,60,32,28,96680,Padme G12 JKA G12 Ahsoka R1 GK R1 GMY G10
ridingred,273374852,59,24,35,84851,Padme G0 0* JKA G11 4* Ahsoka G8 GK GMY
Styckeey Battle,663976847,46,0,46,73261,Padme G8 JKA G8 Ahsoka G8 GK G8 GMY G12
Chris Anderson 05051982,165559824,54,14,40,90780,Padme G10 JKA G8 Ahsoka G8 GK G12 GMY G12
KyTheGuy,694385733,56,0,56,54251,Padme G2 JKA G11 Ahsoka G11 GK G9 5* GMY G1 5*
CT5555,774358116,32,0,32,80501,Padme G7 6* JKA Ahsoka G7 GK G8 6* GMY
HDS15,857258731,29,4,25,105777,Padme G12 JKA G12 Ahsoka G11 GK G12 GMY
Brandino,688146787,63,0,63,28300,Padme G0 0* JKA G8 6* Ahsoka G10 6* GK G0 0* GMY G9 5*
DarthQuasar,332532743,40,8,32,90750,Padme G8 5* JKA R3 Ahsoka G12 GK G12 GMY G10
ChiefPheonix1,284131911,85,0,85,29007,Padme G1 JKA G1 4* Ahsoka G1 GK G1 GMY G1
Latch,277395581,35,1,34,97460,Padme G9 JKA G12 Ahsoka G11 GK G8 GMY R3
Dark One,353788573,19,0,19,118696,Padme G12 JKA Ahsoka G11 GK G12 GMY
Whale,872143324,67,44,23,104280,Padme JKA G12 Ahsoka G13 GK R3 GMY G8
Rinna,137878672,12,6,6,127311,Padme JKA Ahsoka GK GMY G12
DarthKrillin,143828918,46,23,23,99904,Padme G6 6* JKA R3 Ahsoka G11 GK R4 GMY R4
RBS,572837322,27,12,15,121927,Padme R1 JKA R1 Ahsoka R2 GK R1 GMY
Colts1stF2P,788625766,57,7,50,46799,Padme G1 5* JKA G12 Ahsoka G8 5* GK G7 6* GMY G12
AnakinSky,124332729,79,46,33,83843,Padme G5 JKA Ahsoka G11 GK G11 6* GMY G12
Alucard,389655178,49,5,44,69762,Padme G8 JKA G8 5* Ahsoka G8 GK G6 6* GMY R3
asguardian,771325987,35,1,34,92831,Padme G9 JKA G12 Ahsoka G11 GK G8 GMY R3
BUSTYOAZZ99,215377213,16,0,16,127831,Padme G12 JKA R1 Ahsoka G12 GK GMY
Gorkken,883535461,64,3,61,40528,Padme G2 6* JKA G8 5* Ahsoka G9 GK G0 0* GMY G10
OldManDan,679213617,57,20,37,83832,Padme G8 JKA G11 Ahsoka G9 GK G9 GMY R3
Mikki and her Ry Ry,846428398,49,3,46,70176,Padme G8 JKA G11 Ahsoka G8 GK G6 GMY G11
Tyundi,697663926,18,12,6,129674,Padme JKA Ahsoka GK GMY G12
sonofspaceforce,291761719,0,0,0,145620,Padme JKA Ahsoka GK GMY
凯 天行者,198397314,13,0,13,119854,Padme R3 JKA R3 Ahsoka R3 GK GMY G11
Terdz 2,772418442,36,12,24,104501,Padme R1 JKA R1 Ahsoka G8 GK GMY G12
OWKApollo,946817773,44,1,43,71847,Padme G8 6* JKA G9 5* Ahsoka G11 GK G8 GMY G11
