Player,Offense,Defense,GP,Name,Squad,Viable
"TheRobertEquation",0,1,80815,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"TheRobertEquation",0,1,84800,BH,"zBossk The Mandalorian, Greef Boba Jango",1
"TheRobertEquation",0,1,68005,Phoenix,"Hera G9, Ezra G9, Kanan G9, Chopper G9, Zeb G9",1
"TheRobertEquation",,,39024,Phasma,"Phasma G7, FOTP G7, FOSFTP G7, KRU G7, Kylo G4",0
"TheRobertEquation",1,0,81024,CLS,"CLS zHan Chewbacca R2-D2 G9, Chewpio",0
"TheRobertEquation",1,1,83832,zEP,"EP zVader Tarkin TFP G8, Mara Jade, The Emperor's Hand G8",0
"TheRobertEquation",1,0,77525,Troopers,"zVeers Starck G9, Range Trooper, Gideon G9, Dark Trooper G9",0
"TheRobertEquation",0,1,72778,BS,"BS G8, GMY JKA GK 6* Ahsoka",0
"Scrooge",0,1,64535,Phoenix,"Hera G9, Ezra G9, Kanan G8, Chopper G9, Zeb G8",1
"Scrooge",1,1,83939,zEP,"zEP zzVader Tarkin G8, TFP G9, Mara Jade, The Emperor's Hand 6* G9",0
"Scrooge",0,1,90401,BH,"zBossk 5* Boba IG-88 zJango Cad",0
"Erotavlas",1,1,100985,zEP,"zzEP zzzVader Tarkin G8, TFP G8, zzMara Jade, The Emperor's Hand",1
"Erotavlas",0,1,76927,Phoenix,"Hera Ezra Kanan G8, zSabine Zeb G8",1
"Erotavlas",0,1,93392,BS,"zBS GMY zJolee Old Ben G9, JKA",1
"Erotavlas",,,54542,Phasma,"Phasma G8, FOE G8, FOO G8, KRU G8, Kylo G8",0
"Erotavlas",1,1,47887,NS_Alt,"MT 6* G8, AV G8, Talia G8, Daka G8, Spirit 6* G8",0
"Erotavlas",0,1,99017,BH,"Bossk The Mandalorian, zBoba Greedo zJango",0
"Erotavlas",1,0,56698,501st,"Rex G8, Clone Sergeant G8, Echo (501st) G8, Fives G8, Ahsoka",0
"Erotavlas",1,0,83211,CLS,"zzzCLS Han Wedge 5* G8, Biggs G8, Chewbacca",0
"Erotavlas",1,0,56736,Troopers,"Veers G8, Starck G7, DT G8, Gideon G8, Snowtrooper G8",0
"Erotavlas",1,1,42373,Rogue1,"Jyn 6* G8, Chirrut 5* G8, Baze 5* G8, Cassian G8, K-2SO G8",0
"Dombo",0,1,115047,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Dombo",1,1,100199,Revan Offense,"zzJKR GMY BS zJolee HYoda",1
"Dombo",1,1,90750,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Dombo",0,1,71580,Phoenix,"Hera G9, Ezra Kanan G8, Chopper Zeb G8",1
"Dombo",,,66932,Phasma,"Phasma G8, FOE G9, FOO G9, zKRU G8, Kylo G8",0
"Dombo",0,1,82663,Geonosians,"zGBA Sun Fac G8, Geo Soldier, Geo Spy, Poggle",0
"Dombo",,,45600,Nute-OR,"Nute G7, Dooku 6* G8, Jango 5* G9, Zaalbar G7, Mission G7",0
"Dombo",1,1,43027,NS_Alt,"MT 5* G8, AV G8, Talia 6* G8, Daka G9, Spirit 6* G8",0
"Dombo",1,1,70010,zEP,"EP Vader Tarkin G8, DT G9, TFP G8",0
"Dombo",0,1,75961,BH,"Bossk 6* Boba IG-88 G9, Greedo Cad G9",0
"Dombo",1,0,56741,Wiggs,"Wedge G8, Biggs G8, CLS G9, Han G6, Leia",0
"Dombo",1,0,55996,Clones,"Cody G8, Rex G8, Echo (501st) G8, Fives G8, Clone Sergeant G8",0
"Dombo",1,0,55013,Troopers,"Veers Starck G6, Stormtrooper G8, Gideon G5, Snowtrooper G8",0
"Dombo",1,1,37988,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 6* G8, K-2SO G8",0
"GamingChips",1,1,155091,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"GamingChips",0,1,123049,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"GamingChips",0,1,100900,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"GamingChips",1,0,127397,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"GamingChips",1,1,116107,Revan Offense,"zzzJKR GMY zBS zJolee zzHYoda",1
"GamingChips",1,1,81154,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"GamingChips",0,1,100244,BH,"zzBossk zThe Mandalorian, zBoba IG-88 Cad",1
"GamingChips",1,0,105840,CLS,"zzzCLS zHan Wedge Biggs zzChewbacca",1
"GamingChips",0,1,69710,Phoenix,"Hera Ezra G8, Kanan G8, Chopper G9, Zeb G8",1
"GamingChips",,,125532,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"GamingChips",,,384660,Negotiator,"Negotiator 5* HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Rex's ARC-170",0
"GamingChips",0,1,65191,Geonosians,"zGBA 4* G7, Sun Fac G4, Geo Soldier, Geo Spy G7, Poggle G8",0
"GamingChips",1,1,81751,JTR,"JTR G9, Scav Rey G9, BB-8 zR2-D2 Finn G9",0
"GamingChips",1,1,85102,NS,"zzMT zAV Daka G9, Zombie G9, Spirit",0
"GamingChips",1,0,97057,Troopers,"Veers Starck zDT 6* G8, Magma G8, zzPiett",0
"GamingChips",1,0,8089,NestSolo (Counter),"Nest 3* G7",0
"DarthGutty",1,0,135412,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"DarthGutty",0,1,104091,padme,"zzPadme zGK zJKA zAhsoka zBarriss G8",1
"DarthGutty",0,1,119119,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper, Thrawn",1
"DarthGutty",,,348968,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"DarthGutty",0,1,92345,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"DarthGutty",0,1,87375,Grievous,"zzGG G9, B2 zB1 Droideka G9, MagnaGuard",1
