Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lillyanna,938276726,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
GamingChips,958661216,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
TCLincoln,193327199,1,1,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
TCLincoln,193327199,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
TCLincoln,193327199,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
GeneralMarkus,789995519,37,0,37,p3: Imperial Troopers 5%: Veers G12 Piett G12 Gideon G11 Starck G9 Dark Trooper G9 6*
GeneralMarkus,789995519,41,1,40,p1: Padme 3%: Padme G7 6* JKA G11 GK G8 6* Ahsoka G12 GMY G12
HarryTheHutt,683648442,9,7,2,p1: Padme 3%: Padme R4 JKA GK Ahsoka R4 GMY
HarryTheHutt,683648442,15,11,4,p2: Shaak 6%: Shaak Ti Fives Rex R3 Echo (501st) R4 ARC Trooper R4
HarryTheHutt,683648442,13,0,13,p4: GG (2%): GG B1 R4 Droideka G12 B2 G12 MagnaGuard
GamingChips,958661216,31,16,15,p1: Padme 3%: Padme G12 JKA GK R4 Ahsoka R3 C-3PO G12
Mol Eliza,695174381,26,0,26,p4: Rebels (2%): CLS R4 Chewbacca G12 Han Chewpio G8 6* C-3PO G9
PotatoKing,775888331,40,1,39,p4: Seps (1%): Dooku G10 5* Jango G9 5* Geo Soldier G11 GBA G10 Poggle G11
IRISHMEN,859629391,30,5,25,p1: Padme 3%: Padme JKA G12 GK G11 6* Ahsoka G12 C-3PO G12
DarthHoratius,899145955,55,0,55,p3: Imperial Troopers 5%: Veers G8 Piett G9 6* Gideon G7 Starck G4 Dark Trooper G7 6*
Lillyanna,938276726,12,6,6,p1: Padme 3%: Padme G12 JKA GK Ahsoka GMY
TheRobertEquation,477473882,35,1,34,p1: Padme 3%: Padme G12 JKA G11 GK G11 6* Ahsoka G12 GMY G10
LawnViking,665687545,46,0,46,p3: BH 2%: Aurra G7 3* Greef G9 6* Bossk G9 4* Jango G8 5* Boba G11
Dombo,825775274,23,1,22,p1: Padme 3%: Padme G12 JKA R4 GK R2 Ahsoka G12 C-3PO G12
Vegas Vic,151842775,39,0,39,p1: Padme 3%: Padme G8 JKA G11 GK G6 6* Ahsoka G11 GMY R2
UncleBClinton,219191199,37,1,36,p4: Seps (1%): Dooku G10 Jango G8 Geo Soldier G12 Geo Spy G12 GBA G12
DarthGutty,357188912,22,21,1,p4: Rebels (2%): CLS Chewbacca Han Chewpio C-3PO R4
Erotavlas,187715758,40,4,36,p1: Padme 3%: Padme G7 6* JKA G12 GK G11 6* Ahsoka G12 GMY G12
Mando bro,917773733,46,19,27,p1: Padme 3%: Padme G12 JKA G11 GK G11 6* Ahsoka G11 GMY
TCLincoln,193327199,1,0,1,p1: Padme 3%: Padme JKA GK Ahsoka R4 GMY
Porg,325919928,27,0,27,p1: Padme 3%: Padme G8 6* JKA G8 GK G11 5* Ahsoka GMY
Cerberus567,145897793,52,0,52,p4: Seps (1%): Dooku G8 5* Jango G9 Sun Fac G7 Geo Spy G7 Poggle G7
