Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
sparky8099,977261125,12,0,12,Dooku+Asajj: Dooku G3 4* AV G9
sparky8099,977261125,3,0,3,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy
GamingChips,958661216,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
GamingChips,958661216,3,3,0,Dooku+Asajj: Dooku AV
ColaKikgBeast,387778898,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Ethan Geilvta,671426777,8,2,6,Dooku+Asajj: Dooku G10 AV G8 5*
TCLincoln,193327199,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TCLincoln,193327199,0,0,0,Dooku+Asajj: Dooku AV
TCLincoln,193327199,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cerberus567,145897793,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 6*
Cerberus567,145897793,19,4,15,Geos: GBA G10 5* Poggle G9 Geo Soldier G11 Sun Fac G7 Geo Spy G8
ShogiBeast,232314461,5,0,5,Dooku+Asajj: Dooku G8 5* AV G11
Mightyone,258922997,6,0,6,Dooku+Asajj: Dooku G11 AV G7
SkinnyWarriorX01,692882845,3,0,3,Dooku+Asajj: Dooku AV G9
SkinnyWarriorX01,692882845,18,0,18,Geos: GBA G8 4* Poggle G11 Geo Soldier G9 Sun Fac G7 Geo Spy G7
HannibalHunter,669271694,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
HannibalHunter,669271694,18,2,16,Geos: GBA G10 4* Poggle G7 Geo Soldier G11 Sun Fac G8 Geo Spy G8
TheRobertEquation,477473882,16,7,9,Geos: GBA G10 Poggle G10 Geo Soldier G11 Sun Fac G10 Geo Spy G10
DarthGutty,357188912,4,4,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthGutty,357188912,16,16,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
DarthGutty,357188912,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthGutty,357188912,0,0,0,Dooku+Asajj: Dooku AV
Erotavlas,187715758,8,8,0,Dooku+Asajj: Dooku AV
