Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Lillyanna,938276726,44,2,42,74416,Shaak Ti G12 Fives G9 Rex G10 Echo (501st) G9 ARC Trooper G8
FinalKryptonian,144826213,90,4,86,5014,Shaak Ti G1 2* Fives G1 5* Rex G1 5* Echo (501st) G1 5* ARC Trooper G0 0*
Ethan Geilvta,671426777,66,2,64,29981,Shaak Ti G0 0* Fives G8 Rex G10 Echo (501st) G8 6* ARC Trooper G0 0*
Vegas Vic,151842775,89,0,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
TheRobertEquation,477473882,90,55,35,79561,Shaak Ti G11 6* Fives G11 Rex G11 Echo (501st) G11 ARC Trooper G11
Erotavlas,187715758,66,14,52,46352,Shaak Ti G6 4* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G8
GeneralMarkus,789995519,66,1,65,26847,Shaak Ti G1 3* Fives G8 Rex G8 6* Echo (501st) G8 6* ARC Trooper G0 0*
DarthHoratius,899145955,90,2,88,1690,Shaak Ti G0 0* Fives G1 3* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
extra hihi,327242484,90,4,86,1791,Shaak Ti G0 0* Fives G0 0* Rex G4 4* Echo (501st) G0 0* ARC Trooper G0 0*
Cerberus567,145897793,65,0,65,27004,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 5* ARC Trooper G0 0*
HannibalHunter,669271694,66,0,66,20508,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Omega99,394524611,90,5,85,2735,Shaak Ti G0 0* Fives G2 3* Rex G3 5* Echo (501st) G0 0* ARC Trooper G0 0*
Razak,521844241,45,10,35,78568,Shaak Ti G7 3* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Porg,325919928,62,6,56,50873,Shaak Ti G0 0* Fives G12 Rex G11 Echo (501st) G11 ARC Trooper G0 0*
GamingChips,958661216,50,5,45,81335,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G1 ARC Trooper G8
Tuftydragon,218965475,70,0,70,21559,Shaak Ti G0 0* Fives G7 Rex G7 Echo (501st) G6 4* ARC Trooper G0 0*
Miketoker,125899287,65,1,64,28109,Shaak Ti G2 2* Fives G8 Rex G8 6* Echo (501st) G8 6* ARC Trooper G0 0*
TK4811,319498394,56,0,56,35596,Shaak Ti G3 2* Fives G8 6* Rex G8 6* Echo (501st) G8 6* ARC Trooper G7 5*
Coolman6456,568778898,46,0,46,65989,Shaak Ti G8 4* Fives G9 Rex G10 Echo (501st) G9 ARC Trooper G8
RedEyeJedi,449715953,72,3,69,18243,Shaak Ti G6 4* Fives G9 Rex G5 5* Echo (501st) G1 3* ARC Trooper G0 0*
DarthGutty,357188912,54,16,38,73473,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G7 4*
Tronibrall,177621662,84,8,76,14377,Shaak Ti G6 2* Fives G0 0* Rex G8 Echo (501st) G0 0* ARC Trooper G0 0*
Feline ALT,192822636,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
natebzta,994951475,79,0,79,10992,Shaak Ti G1 2* Fives G8 Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
PotatoKing,775888331,64,0,64,29769,Shaak Ti G1 3* Fives G8 Rex G8 Echo (501st) G8 5* ARC Trooper G1 4*
Mfdvisualgerm,748117691,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Mightyone,258922997,69,0,69,42819,Shaak Ti G3 3* Fives G11 Rex G4 Echo (501st) G3 ARC Trooper G0 0*
Cylo Jr,942814391,90,25,65,21874,Shaak Ti G1 2* Fives G8 6* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Obi1ablowme,421142431,54,5,49,51316,Shaak Ti G7 5* Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G0 0*
Surfer1027,122824241,40,0,40,73788,Shaak Ti G9 3* Fives G10 Rex G10 Echo (501st) G11 ARC Trooper G10
jackk123,995865924,66,0,66,19677,Shaak Ti G0 0* Fives G8 Rex G6 5* Echo (501st) G6 4* ARC Trooper G4 4*
MeowMeow,258365793,84,0,84,5335,Shaak Ti G0 0* Fives G2 6* Rex G1 4* Echo (501st) G3 4* ARC Trooper G0 0*
Striker,274722957,77,0,77,14186,Shaak Ti G0 0* Fives G6 Rex G5 6* Echo (501st) G1 5* ARC Trooper G1 4*
sparky8099,977261125,68,0,68,19840,Shaak Ti G0 0* Fives G7 Rex G3 5* Echo (501st) G7 5* ARC Trooper G5 4*
ShogiBeast,232314461,65,0,65,30139,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
SkinnyWarriorX01,692882845,34,0,34,84092,Shaak Ti G8 2* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
murkywarf,552923342,66,0,66,30574,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
gingervictus,818367247,65,0,65,36957,Shaak Ti G0 0* Fives G9 Rex G8 6* Echo (501st) G8 6* ARC Trooper G0 0*
