Player,Offense,Defense,GP,Name,Squad,Viable
"Matthew",0,1,93436,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Matthew",0,1,125701,FO,"zzKRU zKylo zHux FOO FOE",1
"Matthew",0,1,60258,Phoenix,"Hera G9, Kanan G8, Zeb G9, Chopper G9, Ezra G9",1
"Bobimus Prime",0,1,103174,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Bobimus Prime",1,1,102355,NS_Alt,"zzMT zzAV Zombie zDaka Talia",1
"Bobimus Prime",,,431824,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Bobimus Prime",1,0,83887,Traya,"zzTraya DN G8, Sion G8, Sith Empire Trooper, Thrawn G8",1
"Bobimus Prime",1,1,110265,JTR,"zzzJTR zScav Rey, BB-8 G9, zzR2-D2 zFinn",1
"Bobimus Prime",0,1,103832,Grievous,"zzGG zB2 Droideka G9, zMagnaGuard zDooku",1
"Bobimus Prime",1,1,105452,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Bobimus Prime",1,1,99061,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca, zCanderous",1
"Bobimus Prime",1,0,99231,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives ARC Trooper G8",1
"Bobimus Prime",0,1,134756,BH,"zzBossk zBoba zDengar zzJango zzThe Mandalorian",1
"Bobimus Prime",1,1,124479,zEP,"zzEP zzzVader zzTarkin TFP G9, zBSF",1
"Bobimus Prime",0,1,99003,Phoenix,"zHera zKanan zZeb zSabine zEzra",1
"Bobimus Prime",1,0,122992,CLS,"zzzCLS zHan zLeia zzOld Ben, zzChewbacca",1
"Bobimus Prime",1,1,84193,Rogue1,"Jyn G9, Chirrut G8, Baze G8, zK-2SO zCassian",1
"Bobimus Prime",1,0,88359,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"Bobimus Prime",1,0,71732,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa Dathcha",1
"Bobimus Prime",,,85413,Phasma,"zPhasma FOTP FOSFTP G8, FOST zKylo",0
"Bobimus Prime",,,370545,Negotiator,"Negotiator 6* BTL-B Y-wing 5*, Anakin's Eta-2, Rex's ARC-170 6*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Bobimus Prime",,,233568,Malevolence,"Malevolence 5* Hyena Bomber 4*, Vulture Droid 3*, Sun Fac SF 6*, Soldier SF, Spy SF",0
"Bobimus Prime",0,1,90148,Geonosians Omicron,"GBA G7, Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Bobimus Prime",,,405169,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Bobimus Prime",1,0,76257,Troopers,"Veers zPiett 6* G8, zzGideon zDark Trooper G7, Range Trooper 5* G6",0
"Bobimus Prime",,,83205,Mon Mothma,"zzMon Mothma 5*, Lando zKyle Katarn G9, zCara Dune, Bistan G8",0
"Bobimus Prime",1,1,108406,Revan Offense,"JKR G9, zzGMY zBS zJolee zzHYoda",0
"Bobimus Prime",,,105169,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar G9, zNest G7, zIG-11 zKuiil",0
"Bobimus Prime",,,58340,Bad Batch,"zHunter 5* G9, Echo G5, zOmega Tech 3* G5, Wrecker G8",0
"Killyouz",1,0,93111,QGJ,"QGJ Aayla JKA GK Ahsoka",1
"Killyouz",,,73592,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"Killyouz",1,1,85185,zEP,"EP Vader Tarkin DT Traya",0
"Killyouz",1,0,76973,Wiggs,"Wedge Biggs Han Fulcrum Leia G6",0
"Killyouz",1,0,85545,zMaul,"Darth Maul, Dooku Sith Assassin, Savage Sith Marauder",0
"MINI Zachary",1,1,95067,zEP,"zzEP Vader G9, Tarkin TFP G8, zSith Trooper",1
"MINI Zachary",1,0,98706,501st,"Rex zARC Trooper, Echo (501st), zzFives Ahsoka",1
"MINI Zachary",0,1,144690,FO,"zzKRU zKylo zFOST zHux FOE",1
"MINI Zachary",0,1,82786,Geonosians Omicron,"zGBA Sun Fac G8, Geo Soldier, Geo Spy, Poggle",0
"MINI Zachary",,,44750,Mon Mothma,"Mon Mothma 4* G8, Lando 6* G8, Jyn 5* G8, Cara Dune 6* G7, Hoth Rebel Scout G8",0
"MINI Zachary",1,1,34013,NS_Alt,"MT 5* G8, AV 5* G8, Daka 5* G8, Spirit 5* G8, Talia 5* G8",0
