Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"CorpseGrinderUSA",762819711,7082727,4198023,2884704,145,-146,212,425,2103977,2083819,117,1,463,4,262,65,85,124,138,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,21,7,6
"TsBag",796587562,4110517,2420513,1690004,143,75,47,162,1334283,1057318,48,1,39,0,184,4,14,45,60,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,7,5,5
"vynle",423513725,5157137,3099313,2057824,150,290,255,348,1893778,1204859,100,9,228,0,205,28,59,75,89,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,14,8,5
"Thunder",163682498,5458499,3272163,2186336,149,171,66,347,1902914,1369249,95,5,269,2,186,35,56,80,111,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,18,9,8
"Rivem",726615128,6081517,3507623,2573894,136,-132,52,267,1759306,1719793,112,4,203,1,245,22,48,74,94,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,17,7,9
"BountyHunterSlave1",441851933,6699142,3958760,2740382,144,106,64,281,2233457,1715646,121,9,267,0,206,40,54,81,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,15,11,8
"DarthBinks",453229764,7574349,4314742,3259607,132,-105,302,355,2211957,2102109,130,9,390,3,271,54,78,113,131,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,24,8,10
"DjangoFett",184168414,4982847,2943550,2039297,144,-226,337,382,1420942,1522608,100,1,257,1,194,29,56,83,99,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,14,11,9
"Ukaiden Wyrs",444777315,5712841,3302928,2409913,137,-110,124,284,1687644,1612625,88,4,197,1,214,24,49,74,104,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,19,10,10
"Vogel",486754244,5689404,3153431,2535973,124,-184,83,185,1554789,1598642,85,2,158,0,225,26,26,48,74,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,15,8,7
"Bobimus Prime",377489587,6265428,3763687,2501741,150,169,37,208,2181906,1572243,132,1,73,0,227,10,18,98,121,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16,10,11
"Pervis the Chisler",422163964,7237418,4267342,2970076,143,84,157,298,2384758,1873713,146,12,279,2,229,36,59,101,138,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,19,12,11
"Buzzkill",399732637,5100656,3200251,1900405,168,228,83,261,1906097,1293478,122,6,203,0,193,26,36,57,75,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,8,5,5
"MINI Zachary",762444814,2406922,1601293,805629,198,-93,26,200,824180,773828,16,0,71,0,63,9,14,20,28,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
"Cornholio",983427889,3977090,2433963,1543127,157,-22,33,279,1290057,1128536,81,3,96,0,161,4,32,60,84,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,6
"Killyouz",397387589,2730338,1590988,1139350,139,259,25,405,954902,626363,4,0,53,0,142,0,38,62,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Nevaira",161174748,2763586,1775696,987890,179,-190,91,188,873132,902564,22,2,30,0,111,5,7,39,54,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
"StarKiIIer",574459387,2761451,1648595,1112856,148,72,70,134,918323,730272,17,1,26,0,116,2,7,25,46,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
"Geno",759237922,6546125,3833035,2713090,141,108,319,432,2168764,1663595,133,12,447,3,230,65,81,113,124,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,19,7,7
"JOEFIEND419",546132624,5872796,3472181,2400615,144,63,21,286,1924497,1543909,96,6,162,0,197,7,51,85,111,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,15,10,7
"Butlicker",961325421,2469329,1401241,1068088,131,-179,11,132,692557,708684,11,1,34,0,103,6,6,20,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"Greek Freak 34",952314183,1690805,1186855,503950,235,-57,55,137,622238,563941,16,0,11,0,93,1,3,18,26,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
"Soundwave Superior",438187725,3612348,2080283,1532065,135,-256,154,295,988771,1091512,61,2,119,1,111,16,26,57,71,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,10,7,5
"Matthew",696351196,1328172,682694,645478,105,-1056,202,182,188733,493961,10,2,21,0,43,3,4,16,23,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"straxus47",334632736,2090197,1172215,917982,127,151,61,120,675463,496076,12,1,6,0,93,1,2,22,42,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
"Hars Barans",472876773,4915429,2854973,2060456,138,194,62,163,1675040,1177139,68,6,41,0,194,2,16,56,89,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10,6,3
"FiveSoup",582961367,2308275,1372550,935725,146,-37,176,243,727081,645469,26,3,61,0,112,9,13,31,47,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
"Julian",867927267,2019896,1234398,785498,157,228,38,88,735539,498859,13,2,19,0,85,3,4,10,25,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"Jordan",279385939,2542059,1551185,990874,156,95,47,75,872399,678099,2,2,6,0,96,1,1,17,44,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
"BigBoy",882256414,1704051,1104837,599214,184,-58,150,118,579012,525149,15,2,11,0,51,2,2,16,28,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"The coletrain",246941436,3582757,2203226,1379531,159,-149,14,98,1105313,1096899,50,2,36,0,167,5,7,21,44,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4
"Bretticus",336774861,4075130,2435166,1639964,148,30,40,148,1331080,1104086,62,2,48,0,183,0,18,33,62,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,6,4
"Clarrow",198152376,2790110,1633290,1156820,141,0,19,174,879104,751831,23,2,43,0,113,6,9,31,38,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"Cup ftw",799439734,1730874,1015948,714926,142,-125,23,70,515590,499580,14,1,6,0,43,0,3,8,22,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Skillfuhl",577951862,2211914,1245249,966665,128,-203,0,78,608375,636874,12,1,2,0,111,0,3,14,31,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1
"Wyatt",753939385,3537742,2253367,1284375,175,326,63,232,1396917,855774,61,1,46,0,141,7,10,63,74,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,6
"CaptainAshton",437239219,2641126,1690454,950672,177,-257,140,236,802861,887593,33,4,77,0,116,10,17,30,47,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4
"Mol Eliza",894469838,4110571,2442325,1668246,146,-108,57,195,1250177,1191472,57,1,101,0,176,13,21,39,65,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3
"Proxinia",416217429,4329337,2734711,1594626,171,-156,68,133,1367398,1366637,93,2,45,0,144,2,17,32,57,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8,6,3
"Pattaflafla",639954162,2263340,1497308,766032,195,218,50,207,886290,607201,23,2,35,0,99,3,10,30,47,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,4
"Makisi",174154859,3895677,2210909,1684768,131,84,66,165,1237896,973013,45,7,43,0,171,8,8,48,79,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4
"CorpseSurfer",745346358,1203092,634939,568153,111,-1,91,64,341905,293034,3,1,4,0,43,0,1,6,14,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"MadBoxxes",918321753,3168126,1872095,1296031,144,-91,123,309,966183,905912,47,1,115,1,118,17,29,46,65,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,5,5
"KingMaciu",484479315,1840358,1108115,732243,151,-164,21,152,551502,555937,13,1,40,0,77,6,8,12,25,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0
"Ratask Dalgery",236196829,3445014,1940274,1504740,128,-174,57,158,961402,978196,30,2,68,0,148,10,14,27,40,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2
"DimmaDome33",448744531,3891299,2229501,1661798,134,-97,75,127,1147384,1081441,39,4,58,0,162,8,12,26,69,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,8
"MrQueen",341758164,1504563,885036,619527,142,-75,27,51,460413,424623,4,0,4,0,47,0,1,6,16,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Dada",369481718,3690954,2334960,1355994,172,0,136,182,1258474,1076486,54,0,57,0,153,6,17,39,77,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,8
"Dimmadome33",627494765,1856868,1160192,696676,166,10,20,82,627591,531200,12,3,7,0,93,1,2,12,33,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Mando Fernandalorian",266468339,4233190,2433942,1799248,135,335,47,107,1514659,919283,69,0,18,0,166,3,4,38,60,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8,6,4
