Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Soundwave Superior,438187725,30,0,30,103810,Padme G12 JKA R3 Ahsoka G11 GK G9 GMY G12
StarKiIIer,574459387,68,0,68,32620,Padme G0 0* JKA G1 4* Ahsoka G10 GK G1 6* GMY G10
vynle,423513725,8,0,8,137476,Padme R2 JKA R2 Ahsoka R3 GK GMY
JOEFIEND419,546132624,5,0,5,130448,Padme R4 JKA R4 Ahsoka R4 GK R4 GMY R4
Buzzkill,399732637,0,0,0,152921,Padme JKA Ahsoka GK GMY
Geno,759237922,0,0,0,156853,Padme JKA Ahsoka GK GMY
Cup ftw,799439734,65,0,65,29320,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G9 6*
Bretticus,336774861,24,1,23,114108,Padme G12 JKA G12 Ahsoka G12 GK R3 GMY R2
Greek Freak 34,952314183,65,1,64,37624,Padme G0 0* JKA G8 5* Ahsoka G7 GK G0 0* GMY G11
Julian,867927267,38,4,34,77448,Padme G7 6* JKA G11 Ahsoka G11 GK G11 5* GMY R3
Wyatt,753939385,36,0,36,95536,Padme G12 JKA G6 Ahsoka G12 GK G12 GMY G12
straxus47,334632736,67,7,60,39902,Padme G6 JKA G9 Ahsoka G10 GK G0 0* GMY G5
Rivem,726615128,12,0,12,124427,Padme R3 JKA Ahsoka R3 GK R4 GMY G11
MadBoxxes,918321753,12,0,12,121207,Padme JKA R2 Ahsoka G12 GK R2 GMY
Jared Villarreal,176275385,86,0,86,6929,Padme G1 5* JKA G1 1* Ahsoka G1 2* GK G1 GMY G0 0*
Ukaiden Wyrs,444777315,17,1,16,125611,Padme R2 JKA G12 Ahsoka G12 GK GMY R4
BigBoy,882256414,75,0,75,17212,Padme G1 5* JKA G1 1* Ahsoka G8 GK G0 0* GMY G5
KingMaciu,484479315,68,0,68,26430,Padme G6 5* JKA G1 2* Ahsoka G7 GK G1 5* GMY G7
BountyHunterSlave1,441851933,31,12,19,118847,Padme G12 JKA G12 Ahsoka GK G12 GMY R4
Pervis the Chisler,422163964,0,0,0,141921,Padme JKA Ahsoka GK GMY
Bobimus Prime,377489587,31,4,27,109358,Padme G12 JKA G12 Ahsoka G11 GK G12 GMY R3
MINI Zachary,762444814,53,0,53,50133,Padme G0 0* JKA G8 5* Ahsoka G10 GK G8 GMY G11
Mando Fernandalorian,266468339,33,0,33,102839,Padme G11 JKA G11 Ahsoka G11 GK G12 GMY G12
Asinum Malum,613212653,27,0,27,109865,Padme G12 JKA G10 Ahsoka G12 GK R4 GMY G12
TsBag,796587562,56,10,46,73819,Padme G9 6* JKA G3 Ahsoka G8 GK G12 GMY G12
FiveSoup,582961367,31,0,31,90358,Padme G12 JKA G12 Ahsoka G12 GK G11 6* GMY G12
Nevaira,161174748,40,0,40,71257,Padme G11 JKA G11 6* Ahsoka G12 GK G8 GMY G8
Cornholio,983427889,47,0,47,71695,Padme G1 6* JKA G11 Ahsoka G12 GK G12 GMY G7
Dimmadome33,627494765,64,11,53,48010,Padme G12 JKA G8 Ahsoka G8 GK G0 0* GMY G9
Jordan,279385939,56,7,49,56585,Padme G7 5* JKA G11 Ahsoka G12 GK G0 0* GMY G11
CorpseAlt,745346358,76,9,67,35268,Padme G0 0* JKA G7 6* Ahsoka G7 GK G0 0* GMY G9
DjangoFett,184168414,5,0,5,132155,Padme R3 JKA R4 Ahsoka GK GMY R3
TexasOutRage,453482288,52,0,52,53067,Padme G1 6* JKA G10 6* Ahsoka G6 GK G12 GMY G9
Matthew,696351196,88,1,87,3413,Padme G1 6* JKA G1 1* Ahsoka G1 2* GK G0 0* GMY G0 0*
Proxinia,416217429,44,8,36,102065,Padme G12 JKA G8 Ahsoka G11 GK G12 GMY G11
Hars Barans,472876773,23,5,18,116106,Padme R3 JKA R3 Ahsoka G12 GK G11 6* GMY R4
Vogel,486754244,39,0,39,92472,Padme G7 JKA G11 Ahsoka G8 GK G7 GMY
Dada,369481718,48,0,48,75215,Padme G2 6* JKA G2 2* Ahsoka G8 GK G12 GMY
Mol Eliza,894469838,25,0,25,103209,Padme G9 JKA R3 Ahsoka G12 GK G10 5* GMY
The coletrain,246941436,53,0,53,58864,Padme G5 6* JKA G4 Ahsoka G8 GK G8 GMY G12
No signal,521219878,67,4,63,34176,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G11
Thunder,163682498,8,2,6,133287,Padme JKA G12 Ahsoka GK GMY
ccccccccccc,123929735,33,9,24,99423,Padme G12 JKA G12 Ahsoka GK G12 GMY G12
CorpseGrinderUSA,762819711,6,0,6,135028,Padme JKA Ahsoka GK GMY G12
Clarrow,198152376,45,0,45,73815,Padme G2 6* JKA G12 Ahsoka GK G1 6* GMY G12
Killyouz,397387589,32,0,32,81815,Padme G0 0* JKA R2 Ahsoka G12 GK R1 GMY R4
Butlicker,961325421,79,0,79,18088,Padme G0 0* JKA G1 1* Ahsoka G5 GK G0 0* GMY G5
DarthBinks,453229764,9,0,9,127374,Padme R4 JKA Ahsoka R3 GK GMY G12
CaptainAshton,437239219,75,0,75,28238,Padme G1 6* JKA G1 3* Ahsoka G1 GK G1 6* GMY G11
Skillfuhl,577951862,66,0,66,26394,Padme G0 0* JKA G8 Ahsoka G8 5* GK G1 6* GMY G7
