Player,Offense,Defense,GP,Name,Squad,Viable
"Flacko Gäb",,,177338,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Flacko Gäb",,,125591,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Flacko Gäb",1,1,157739,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Flacko Gäb",,,169694,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Flacko Gäb",,,158984,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Flacko Gäb",1,1,105525,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Flacko Gäb",,,562340,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Flacko Gäb",1,0,153703,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Flacko Gäb",,,519124,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Flacko Gäb",,,309923,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Flacko Gäb",,,142549,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, Aayla",1
"Flacko Gäb",,,456314,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Flacko Gäb",0,1,98417,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Flacko Gäb",0,1,128253,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Flacko Gäb",1,0,105801,Traya,"zzTraya DN zSion zzEP Sith Empire Trooper G9",1
"Flacko Gäb",1,1,123026,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Flacko Gäb",1,0,114863,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"Flacko Gäb",,,108213,Mon Mothma,"zzMon Mothma, zPao Wedge zCara Dune, Biggs",1
"Flacko Gäb",1,1,92447,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Flacko Gäb",1,0,151552,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Flacko Gäb",1,1,96588,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Flacko Gäb",0,1,148971,BH,"zzBossk zFennec Shand, zDengar zAurra zzJango",1
"Flacko Gäb",,,83477,Iden Troopers,"zIden Versio, zStormtrooper Snowtrooper Magma DT",1
"Flacko Gäb",0,1,82642,Phoenix,"Hera Zeb G8, Kanan G8, Ezra zSabine",1
