Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"DPrice25",358247244,5947014,3333929,2613085,127,380,331,441,2113119,1220134,83,3,429,2,206,64,76,101,116,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,16,5,6
"Koneko",645198681,7316956,4442587,2874369,154,206,151,391,2614790,1809703,180,6,489,2,253,74,80,109,153,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,25,12,12
"Xian Thencal",364735245,7639157,4670280,2968877,157,-38,167,446,2474947,2194657,181,6,545,5,266,74,99,133,157,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,21,8,9
"Nolei",549142231,8879763,5214172,3665591,142,86,284,473,2914368,2280315,223,6,664,5,279,96,125,163,186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,26,11,11
"carnage007",321929779,8022602,4512702,3509900,128,13,499,404,2442463,2056649,164,9,503,2,273,83,89,135,155,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,23,10,9
"Kreacher",228517748,7976461,4768392,3208069,148,-18,264,452,2545033,2212619,177,11,483,3,259,57,115,149,173,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,23,12,11
"havok935",658932824,7755159,4572714,3182445,143,-131,241,467,2315668,2254333,170,4,582,5,255,83,112,134,153,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,19,7,8
"Wal Enetia",632221747,7569996,4371585,3198411,136,-52,359,438,2299239,2067666,168,7,541,3,240,81,104,120,145,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,25,9,9
"DE210",252111674,7269440,4251195,3018245,140,45,100,362,2337372,1905290,159,3,294,1,254,31,85,120,152,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,23,11,11
"Bail Writte SBR",614917386,6984960,4324233,2660727,162,68,139,423,2406006,1918227,168,3,373,3,251,50,77,144,173,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,25,11,10
"JollyRoger99",965654756,6559113,3808993,2750120,138,-96,252,376,1958808,1842201,118,11,391,3,218,55,77,92,119,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,20,10,10
"Kavgill",225559995,7707835,4426932,3280903,134,138,76,463,2539926,1886330,175,1,502,4,258,68,123,134,161,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,20,10,10
"Chubler",144743434,7822924,4764469,3058455,155,-72,208,509,2470825,2269160,198,7,636,5,256,91,119,152,167,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,26,11,10
"Dingleberries",884349413,5798298,3105276,2693022,115,-68,169,302,1622439,1482837,82,6,268,2,207,40,52,70,91,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,15,7,5
"Bäne",961467978,6972967,3921714,3051253,128,-271,164,424,1849718,2069346,151,1,446,3,228,59,90,117,131,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,20,9,8
"Lenders Quizan",132983974,6790897,3956830,2834067,139,-84,154,368,2050260,1903920,139,6,405,2,231,61,75,94,105,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,20,8,10
"RAGNAR777",118722255,7024980,4039350,2985630,135,10,148,433,2189459,1849891,154,4,437,3,221,62,102,115,132,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,22,10,10
"Chim",593656187,5595192,3304142,2291050,144,127,37,387,1885874,1416012,127,1,285,2,199,40,70,90,114,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,19,10,7
"Maong",131681652,8422052,5013004,3409048,147,63,302,467,2777916,2223952,193,6,643,4,254,91,118,147,182,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,24,10,9
"Amun Diin",969738181,6433660,3797986,2635674,144,-94,140,447,1959895,1838091,163,5,355,3,227,44,74,143,151,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,21,9,10
"Freezefiveoh",383311984,8583094,5078842,3504252,144,-43,427,437,2670012,2379937,222,3,566,5,278,74,112,150,171,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,27,10,11
"Lex Skywalkers",941584821,8362020,4949881,3412139,145,66,250,435,2747453,2193667,199,7,579,5,270,77,115,133,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,24,8,11
"AnalkinSkyballer",552289286,7470294,4398052,3072242,143,118,196,432,2502170,1895206,156,5,507,3,262,70,95,127,142,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,21,10,8
"Maldorin",626473749,8934441,5264312,3670129,143,-41,471,524,2777427,2471239,222,10,792,5,272,122,144,166,187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,26,8,9
"Eeotchbay",815697888,7653752,4426319,3227433,137,-105,221,442,2271323,2154320,176,5,532,3,245,68,105,127,156,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,26,11,13
"Defenestrația",844978443,6337462,3733198,2604264,143,62,430,451,2071812,1660710,116,2,405,3,231,55,93,112,139,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,19,10,10
"skyCapt",275781532,7552781,4557455,2995326,152,14,163,441,2473185,2081018,180,6,547,4,249,80,97,127,149,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,22,8,9
"OBI  haaave",821927811,6997233,4424603,2572630,171,-302,238,502,2039069,2357865,183,5,508,4,250,63,110,140,167,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,23,14,12
