Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Soulhunter,191168838,0,0,0,154658,Padme JKA Ahsoka GK GMY
The Great One US,496489926,7,0,7,141894,Padme JKA Ahsoka R4 GK GMY G12
Zeech,541794515,6,5,1,147380,Padme JKA Ahsoka GK GMY R4
Amun Diin,969738181,8,0,8,142454,Padme R3 JKA Ahsoka G12 GK GMY
havok935,658932824,6,6,0,154121,Padme JKA Ahsoka GK GMY
Delmon Ciiid'r,832898899,0,0,0,162880,Padme JKA Ahsoka GK GMY
Kreacher,228517748,3,1,2,142815,Padme JKA Ahsoka R4 GK GMY R4
Mr Bhaumik,156581864,0,0,0,160248,Padme JKA Ahsoka GK GMY
skyCapt,275781532,0,0,0,154671,Padme JKA Ahsoka GK GMY
Defenestrația,844978443,22,22,0,151074,Padme JKA Ahsoka GK GMY
ICEU420,469138648,11,7,4,146866,Padme R3 JKA Ahsoka R3 GK GMY
Nolei,549142231,0,0,0,152768,Padme JKA Ahsoka GK GMY
Bail Writte SBR,614917386,9,0,9,136798,Padme R4 JKA G12 Ahsoka R3 GK GMY
DPrice25,358247244,53,35,18,115088,Padme G12 JKA Ahsoka G12 GK GMY G12
Byrd,843549314,0,0,0,151268,Padme JKA Ahsoka GK GMY
Freezefiveoh,383311984,8,6,2,154391,Padme JKA Ahsoka R3 GK GMY
Fluffy the Destroyer,791691489,0,0,0,157145,Padme JKA Ahsoka GK GMY
Dingleberries,884349413,19,0,19,112777,Padme JKA G12 Ahsoka G12 GK GMY G11
BB8,795495542,0,0,0,154954,Padme JKA Ahsoka GK GMY
OBI  haaave,821927811,5,2,3,138790,Padme JKA Ahsoka R4 GK GMY R3
DLeviticus,458876211,12,0,12,134770,Padme G12 JKA G12 Ahsoka GK GMY
Wal Enetia,632221747,0,0,0,150611,Padme JKA Ahsoka GK GMY
Santosh,245845133,8,0,8,129489,Padme JKA G12 Ahsoka R3 GK GMY
The Great One F2P,816728211,73,28,45,56318,Padme G7 6* JKA G11 5* Ahsoka G8 GK G8 GMY G11
RAGNAR777,118722255,0,0,0,151152,Padme JKA Ahsoka GK GMY
Docbones D2,527897336,0,0,0,157299,Padme JKA Ahsoka GK GMY
Flacko Gäb,916745784,0,0,0,149362,Padme JKA Ahsoka GK GMY
A,914999757,0,0,0,145452,Padme JKA Ahsoka GK GMY
Chubler,144743434,0,0,0,155948,Padme JKA Ahsoka GK GMY
Chim,593656187,0,0,0,137796,Padme JKA Ahsoka GK GMY
carnage007,321929779,0,0,0,149593,Padme JKA Ahsoka GK GMY
Largie,224583578,0,0,0,155615,Padme JKA Ahsoka GK GMY
AnalkinSkyballer,552289286,0,0,0,154387,Padme JKA Ahsoka GK GMY
Kavgill,225559995,0,0,0,151445,Padme JKA Ahsoka GK GMY
Maldorin,626473749,0,0,0,151119,Padme JKA Ahsoka GK GMY
Xian Thencal,364735245,1,1,0,156932,Padme JKA Ahsoka GK GMY
Kushbender,427761749,0,0,0,156678,Padme JKA Ahsoka GK GMY
Maong,131681652,0,0,0,159058,Padme JKA Ahsoka GK GMY
Jace,147722673,0,0,0,157893,Padme JKA Ahsoka GK GMY
Lex Skywalkers,941584821,0,0,0,154468,Padme JKA Ahsoka GK GMY
Eeotchbay,815697888,0,0,0,154462,Padme JKA Ahsoka GK GMY
JollyRoger99,965654756,16,9,7,132384,Padme JKA Ahsoka R4 GK GMY G12
Carl,387674373,0,0,0,151639,Padme JKA Ahsoka GK GMY
DoubleA1977,599659874,1,1,0,147914,Padme JKA Ahsoka GK GMY
Sho Nuff,564944361,5,5,0,151056,Padme JKA Ahsoka GK GMY
DarthBashir,549529937,0,0,0,155536,Padme JKA Ahsoka GK GMY
Lenders Quizan,132983974,0,0,0,149134,Padme JKA Ahsoka GK GMY
Ventress Wannabee,899636471,0,0,0,160435,Padme JKA Ahsoka GK GMY
Koneko,645198681,0,0,0,160331,Padme JKA Ahsoka GK GMY
DE210,252111674,8,3,5,134347,Padme JKA Ahsoka R3 GK GMY R2
